FDNames,GLnames,SameName,OrigFD
Greivis Vasquez,Greivis Vasquez,FALSE,Goran Dragic
"Hardaway Jr., Tim",Harrison Barnes,TRUE,Gordon Hayward
Harrison Barnes,Hassan Whiteside,TRUE,Gorgui Dieng
Hassan Whiteside,Henry Ellenson,TRUE,Greg Monroe
Henry Ellenson,Hollis Thompson,TRUE,Greivis Vasquez
Hollis Thompson,Ian Clark,FALSE,Guillermo Hernangomez
Hollis-Rondae Jefferson,Ian Mahinmi,FALSE,"Hardaway Jr., Tim"
Ian Clark,Iman Shumpert,FALSE,Harrison Barnes
Ian Mahinmi,Isaiah Canaan,FALSE,Hassan Whiteside
Iman Shumpert,Isaiah Thomas,FALSE,Henry Ellenson
Isaiah Canaan,Isaiah Whitehead,FALSE,Hollis Thompson
Isaiah Thomas,Ish Smith,FALSE,Hollis-Rondae Jefferson
Isaiah Whitehead,Ivica Zubac,FALSE,Ian Clark
Ishmael Smith,J.J. Barea,FALSE,Ian Mahinmi
Ivica Zubac,Jabari Parker,FALSE,Iman Shumpert
J Redick.J.,Jae Crowder,FALSE,Isaiah Canaan
J Smith.R.,Jahlil Okafor,FALSE,Isaiah Thomas
Jabari Parker,Jake Layman,FALSE,Isaiah Whitehead
Jae Crowder,Jakob Poeltl,FALSE,Ishmael Smith
Jahlil Okafor,Jamal Crawford,FALSE,Ivica Zubac
Jake Layman,Jamal Murray,FALSE,J Redick.J.
Jakob Poeltl,Jameer Nelson,FALSE,J Smith.R.
Jamal Crawford,James Ennis III,FALSE,Jabari Parker
Jamal Murray,James Harden,FALSE,Jae Crowder
Jameer Nelson,James Johnson,FALSE,Jahlil Okafor
James Ennis,James Jones,FALSE,Jake Layman
James Harden,James Michael McAdoo,FALSE,Jakob Poeltl
James Johnson,James Young,FALSE,Jamal Crawford
James Jones,JaMychal Green,FALSE,Jamal Murray
James McAdoo Michael,Jared Dudley,FALSE,Jameer Nelson
James Young,Jared Sullinger,FALSE,James Ennis
JaMychal Green,Jarell Eddie,FALSE,James Harden
Jared Dudley,Jarell Martin,FALSE,James Johnson
Jared Sullinger,Jarnell Stokes,FALSE,James Jones
Jarell Eddie,Jarrett Jack,FALSE,James McAdoo Michael
Jarell Martin,Jarrod Uthoff,FALSE,James Young
Jarnell Stokes,Jason Smith,FALSE,JaMychal Green
Jarrett Jack,Jason Terry,FALSE,Jared Dudley
Jason Smith,JaVale McGee,FALSE,Jared Sullinger
Jason Terry,Jaylen Brown,FALSE,Jarell Eddie
JaVale McGee,Jeff Green,FALSE,Jarell Martin
Jaylen Brown,Jeff Teague,FALSE,Jarnell Stokes
Jeff Green,Jeff Withey,FALSE,Jarrett Jack
Jeff Teague,Jerami Grant,FALSE,Jason Smith
Jeff Withey,Jeremy Lamb,FALSE,Jason Terry
Jerami Grant,Jeremy Lin,FALSE,JaVale McGee
Jeremy Lamb,Jerian Grant,FALSE,Jaylen Brown
Jeremy Lin,Jerryd Bayless,FALSE,Jeff Green
Jerian Grant,Jimmy Butler,FALSE,Jeff Teague
Jerryd Bayless,JJ Redick,FALSE,Jeff Withey
Jimmy Butler,Joakim Noah,TRUE,Jerami Grant
Joakim Noah,Jodie Meeks,TRUE,Jeremy Lamb
Jodie Meeks,Joe Harris,TRUE,Jeremy Lin
Joe Harris,Joe Ingles,TRUE,Jerian Grant
Joe Ingles,Joe Johnson,TRUE,Jerryd Bayless
Joe Johnson,Joe Young,FALSE,Jimmy Butler
Joel Anthony,Joel Anthony,FALSE,Joakim Noah
Joel Bolomboy,Joel Bolomboy,FALSE,Jodie Meeks
Joel Embiid,Joel Embiid,FALSE,Joe Harris
Joffrey Lauvergne,Joffrey Lauvergne,FALSE,Joe Ingles
John Henson,John Henson,FALSE,Joe Johnson
John Jenkins,John Jenkins,FALSE,Joel Anthony
John Lucas,John Lucas III,FALSE,Joel Bolomboy
John Wall,John Wall,FALSE,Joel Embiid
Jon Leuer,Johnny O'Bryant III,FALSE,Joffrey Lauvergne
Jonas Jerebko,Jon Leuer,FALSE,John Henson
Jonas Valanciunas,Jonas Jerebko,FALSE,John Jenkins
Jonathan Gibson,Jonas Valanciunas,FALSE,John Lucas
Jonathon Simmons,Jonathan Gibson,FALSE,John Wall
Jordan Clarkson,Jonathon Simmons,FALSE,Jon Leuer
Jordan Crawford,Jordan Clarkson,FALSE,Jonas Jerebko
Jordan Farmar,Jordan Crawford,FALSE,Jonas Valanciunas
Jordan Hill,Jordan Farmar,FALSE,Jonathan Gibson
Jordan McRae,Jordan Hill,FALSE,Jonathon Simmons
Jordan Mickey,Jordan McRae,FALSE,Jordan Clarkson
Jose Barea,Jordan Mickey,FALSE,Jordan Crawford
Jose Calderon,Jose Calderon,FALSE,Jordan Farmar
Joseph Young,Josh Huestis,TRUE,Jordan Hill
Josh Huestis,Josh McRoberts,TRUE,Jordan McRae
Josh McRoberts,Josh Richardson,TRUE,Jordan Mickey
Josh Richardson,JR Smith,FALSE,Jose Barea
Jrue Holiday,Jrue Holiday,FALSE,Jose Calderon
Juan Hernangomez,Juan Hernangomez,FALSE,Joseph Young
Julius Randle,Julius Randle,FALSE,Josh Huestis
Justin Anderson,Justin Anderson,FALSE,Josh McRoberts
Justin Hamilton,Justin Hamilton,FALSE,Josh Richardson
Justin Holiday,Justin Harper,FALSE,Jrue Holiday
Justise Winslow,Justin Holiday,FALSE,Juan Hernangomez
Jusuf Nurkic,Justise Winslow,FALSE,Julius Randle
K McDaniels.J.,Jusuf Nurkic,FALSE,Justin Anderson
Karl Towns-Anthony,Karl-Anthony Towns,FALSE,Justin Hamilton
Kawhi Leonard,Kawhi Leonard,FALSE,Justin Holiday
Kay Felder,Kay Felder,FALSE,Justise Winslow
Kelly Olynyk,Kelly Olynyk,FALSE,Jusuf Nurkic
Kelly Oubre,Kelly Oubre Jr.,FALSE,K McDaniels.J.
Kemba Walker,Kemba Walker,FALSE,Karl Towns-Anthony
Kenneth Faried,Kenneth Faried,FALSE,Kawhi Leonard
Kent Bazemore,Kent Bazemore,FALSE,Kay Felder
Kevin Durant,Kentavious Caldwell-Pope,FALSE,Kelly Olynyk
Kevin Love,Kevin Durant,FALSE,Kelly Oubre
Kevin Seraphin,Kevin Love,FALSE,Kemba Walker
Kevon Looney,Kevin Seraphin,FALSE,Kenneth Faried
Khris Middleton,Kevon Looney,FALSE,Kent Bazemore
Kidd-Michael Gilchrist,Khris Middleton,FALSE,Kevin Durant
Klay Thompson,KJ McDaniels,FALSE,Kevin Love
Kosta Koufos,Klay Thompson,FALSE,Kevin Seraphin
Kris Dunn,Kosta Koufos,FALSE,Kevon Looney
Kris Humphries,Kris Dunn,FALSE,Khris Middleton
Kristaps Porzingis,Kris Humphries,FALSE,Kidd-Michael Gilchrist
Kyle Anderson,Kristaps Porzingis,FALSE,Klay Thompson
Kyle Korver,Kyle Anderson,FALSE,Kosta Koufos
Kyle Lowry,Kyle Korver,FALSE,Kris Dunn
Kyle Singler,Kyle Lowry,FALSE,Kris Humphries
Kyle Wiltjer,Kyle O'Quinn,FALSE,Kristaps Porzingis
Kyrie Irving,Kyle Singler,FALSE,Kyle Anderson
Lamar Patterson,Kyle Wiltjer,FALSE,Kyle Korver
LaMarcus Aldridge,Kyrie Irving,FALSE,Kyle Lowry
Lance Stephenson,Lamar Patterson,FALSE,Kyle Singler
Lance Thomas,LaMarcus Aldridge,FALSE,Kyle Wiltjer
Langston Galloway,Lance Stephenson,FALSE,Kyrie Irving
Larry Nance,Lance Thomas,FALSE,Lamar Patterson
Larry Sanders,Langston Galloway,FALSE,LaMarcus Aldridge
Lavoy Allen,Larry Nance Jr.,FALSE,Lance Stephenson
Leandro Barbosa,Larry Sanders,FALSE,Lance Thomas
LeBron James,Lavoy Allen,FALSE,Langston Galloway
Louis Williams,Leandro Barbosa,FALSE,Larry Nance
Lucas Nogueira,LeBron James,FALSE,Larry Sanders
Luis Scola,Lou Williams,FALSE,Lavoy Allen
Luke Babbitt,Luc Mbah a Moute,FALSE,Leandro Barbosa
Luol Deng,Lucas Nogueira,FALSE,LeBron James
Malachi Richardson,Luis Scola,FALSE,Louis Williams
Malcolm Brogdon,Luke Babbitt,FALSE,Lucas Nogueira
Malcolm Delaney,Luol Deng,FALSE,Luis Scola
Malik Beasley,Malachi Richardson,FALSE,Luke Babbitt
Manny Harris,Malcolm Brogdon,FALSE,Luol Deng
Manu Ginobili,Malcolm Delaney,FALSE,Malachi Richardson
Marc Gasol,Malik Beasley,FALSE,Malcolm Brogdon
Marcelo Huertas,Manny Harris,FALSE,Malcolm Delaney
Marcin Gortat,Manu Ginobili,FALSE,Malik Beasley
Marco Belinelli,Marc Gasol,FALSE,Manny Harris
Marcus Morris,Marcelo Huertas,FALSE,Manu Ginobili
Marcus Smart,Marcin Gortat,FALSE,Marc Gasol
Marcus Thornton,Marco Belinelli,FALSE,Marcelo Huertas
Mario Hezonja,Marcus Morris,FALSE,Marcin Gortat
Markieff Morris,Marcus Smart,FALSE,Marco Belinelli
Marquese Chriss,Marcus Thornton,FALSE,Marcus Morris
Marreese Speights,Mario Hezonja,FALSE,Marcus Smart
Marshall Plumlee,Markieff Morris,FALSE,Marcus Thornton
Marvin Williams,Marquese Chriss,FALSE,Mario Hezonja
Mason Plumlee,Marreese Speights,FALSE,Markieff Morris
Matt Barnes,Marshall Plumlee,FALSE,Marquese Chriss
Matthew Dellavedova,Marvin Williams,FALSE,Marreese Speights
Maurice Harkless,Mason Plumlee,FALSE,Marshall Plumlee
Mbah a Luc Moute,Matt Barnes,FALSE,Marvin Williams
Metta Peace World,Matthew Dellavedova,FALSE,Mason Plumlee
Meyers Leonard,Maurice Harkless,FALSE,Matt Barnes
Michael Beasley,Maurice Ndour,FALSE,Matthew Dellavedova
Michael Gbinije,Metta World Peace,FALSE,Maurice Harkless
Mike Conley,Meyers Leonard,FALSE,Mbah a Luc Moute
Mike Dunleavy,Michael Beasley,FALSE,Metta Peace World
Mike Miller,Michael Carter-Williams,FALSE,Meyers Leonard
Mike Muscala,Michael Gbinije,FALSE,Michael Beasley
Mike Scott,Michael Kidd-Gilchrist,FALSE,Michael Gbinije
Mike Tobey,Mike Conley,FALSE,Mike Conley
Miles Plumlee,Mike Dunleavy,FALSE,Mike Dunleavy
Mindaugas Kuzminskas,Mike Miller,FALSE,Mike Miller
Mirza Teletovic,Mike Muscala,FALSE,Mike Muscala
Monta Ellis,Mike Scott,FALSE,Mike Scott
Montrezl Harrell,Mike Tobey,FALSE,Mike Tobey
Myles Turner,Miles Plumlee,FALSE,Miles Plumlee
N'Maurice dour,Mindaugas Kuzminskas,FALSE,Mindaugas Kuzminskas
Nemanja Bjelica,Mirza Teletovic,FALSE,Mirza Teletovic
Nene Hilario,Monta Ellis,FALSE,Monta Ellis
Nerlens Noel,Montrezl Harrell,FALSE,Montrezl Harrell
Nick Collison,Myles Turner,FALSE,Myles Turner
Nick Young,Nemanja Bjelica,FALSE,N'Maurice dour
Nicolas Batum,Nene,FALSE,Nemanja Bjelica
Nicolas Brussino,Nerlens Noel,FALSE,Nene Hilario
Nicolas Laprovittola,Nick Collison,FALSE,Nerlens Noel
Nik Stauskas,Nick Young,FALSE,Nick Collison
Nikola Jokic,Nicolas Batum,FALSE,Nick Young
Nikola Mirotic,Nicolas Brussino,FALSE,Nicolas Batum
Nikola Vucevic,Nicolas Laprovittola,FALSE,Nicolas Brussino
Noah Vonleh,Nik Stauskas,FALSE,Nicolas Laprovittola
Norman Powell,Nikola Jokic,FALSE,Nik Stauskas
Norris Cole,Nikola Mirotic,FALSE,Nikola Jokic
O'Kyle Quinn,Nikola Vucevic,FALSE,Nikola Mirotic
Okaro White,Noah Vonleh,FALSE,Nikola Vucevic
Omer Asik,Norman Powell,FALSE,Noah Vonleh
Omri Casspi,Norris Cole,FALSE,Norman Powell
Otto Porter,Okaro White,FALSE,Norris Cole
P Tucker.J.,Omer Asik,FALSE,O'Kyle Quinn
Pascal Siakam,Omri Casspi,FALSE,Okaro White
Pat Connaughton,Otto Porter Jr.,FALSE,Omer Asik
Patrick Beverley,Pascal Siakam,FALSE,Omri Casspi
Patrick McCaw,Pat Connaughton,FALSE,Otto Porter
Patrick Patterson,Patrick Beverley,FALSE,P Tucker.J.
Patty Mills,Patrick McCaw,FALSE,Pascal Siakam
Pau Gasol,Patrick Patterson,FALSE,Pat Connaughton
Paul George,Patty Mills,FALSE,Patrick Beverley
Paul Millsap,Pau Gasol,FALSE,Patrick McCaw
Paul Pierce,Paul George,FALSE,Patrick Patterson
Paul Zipser,Paul Millsap,FALSE,Patty Mills
Pierre Jackson,Paul Pierce,FALSE,Pau Gasol
Quincy Acy,Paul Zipser,FALSE,Paul George
Quinn Cook,Pierre Jackson,FALSE,Paul Millsap
R Hunter.J.,PJ Tucker,FALSE,Paul Pierce
Rajon Rondo,Quincy Acy,FALSE,Paul Zipser
Rakeem Christmas,Quinn Cook,FALSE,Pierre Jackson
Ramon Sessions,Rajon Rondo,FALSE,Quincy Acy
Randy Foye,Rakeem Christmas,FALSE,Quinn Cook
Rashad Vaughn,Ramon Sessions,FALSE,R Hunter.J.
Raul Neto,Randy Foye,FALSE,Rajon Rondo
Ray McCallum,Rashad Vaughn,FALSE,Rakeem Christmas
Raymond Felton,Raul Neto,FALSE,Ramon Sessions
Reggie Bullock,Raymond Felton,FALSE,Randy Foye
Reggie Jackson,Reggie Bullock,FALSE,Rashad Vaughn
Reggie Williams,Reggie Jackson,FALSE,Raul Neto
Richard Jefferson,Reggie Williams,FALSE,Ray McCallum
Richaun Holmes,Richard Jefferson,FALSE,Raymond Felton
Ricky Rubio,Richaun Holmes,FALSE,Reggie Bullock
Robert Covington,Ricky Rubio,FALSE,Reggie Jackson
Robin Lopez,RJ Hunter,FALSE,Reggie Williams
Rodney Hood,Robert Covington,FALSE,Richard Jefferson
Rodney McGruder,Robin Lopez,FALSE,Richaun Holmes
Rodney Stuckey,Rodney Hood,FALSE,Ricky Rubio
Ron Baker,Rodney McGruder,FALSE,Robert Covington
Ronnie Price,Rodney Stuckey,FALSE,Robin Lopez
Roy Hibbert,Ron Baker,FALSE,Robinson Glenn III
Rudy Gay,Rondae Hollis-Jefferson,FALSE,Rodney Hood
Rudy Gobert,Ronnie Price,FALSE,Rodney McGruder
Russell Westbrook,Roy Hibbert,FALSE,Rodney Stuckey
Ryan Anderson,Rudy Gay,FALSE,Ron Baker
Ryan Kelly,Rudy Gobert,FALSE,Ronnie Price
Salah Mejri,Russell Westbrook,FALSE,Roy Hibbert
Sam Dekker,Ryan Anderson,FALSE,Rudy Gay
Sasha Vujacic,Ryan Kelly,FALSE,Rudy Gobert
Sean Kilpatrick,Salah Mejri,FALSE,Russell Westbrook
Semaj Christon,Sam Dekker,FALSE,Ryan Anderson
Serge Ibaka,Sasha Vujacic,FALSE,Ryan Kelly
Sergio Rodriguez,Sean Kilpatrick,FALSE,Salah Mejri
Seth Curry,Semaj Christon,FALSE,Sam Dekker
Shabazz Muhammad,Serge Ibaka,FALSE,Sasha Vujacic
Shabazz Napier,Sergio Rodriguez,FALSE,Sean Kilpatrick
Shaun Livingston,Seth Curry,FALSE,Semaj Christon
Shawn Long,Shabazz Muhammad,FALSE,Serge Ibaka
Sheldon McClellan,Shabazz Napier,FALSE,Sergio Rodriguez
Shelvin Mack,Shaun Livingston,FALSE,Seth Curry
Skal Labissiere,Shawn Long,FALSE,Shabazz Muhammad
Solomon Hill,Sheldon McClellan,FALSE,Shabazz Napier
Spencer Dinwiddie,Shelvin Mack,FALSE,Shaun Livingston
Spencer Hawes,Skal Labissiere,FALSE,Shawn Long
Stanley Johnson,Solomon Hill,FALSE,Sheldon McClellan
Stephen Curry,Spencer Dinwiddie,FALSE,Shelvin Mack
Stephen Zimmerman,Spencer Hawes,FALSE,Skal Labissiere
Steve Novak,Stanley Johnson,FALSE,Solomon Hill
Steven Adams,Stephen Curry,FALSE,Spencer Dinwiddie
T McConnell.J.,Stephen Zimmerman,FALSE,Spencer Hawes
T Warren.J.,Steve Novak,FALSE,Stanley Johnson
Taj Gibson,Steven Adams,FALSE,Stephen Curry
Tarik Black,T.J. McConnell,FALSE,Stephen Zimmerman
Taurean Prince,Taj Gibson,FALSE,Steve Novak
Terrence Jones,Tarik Black,FALSE,Steven Adams
Terrence Ross,Taurean Prince,FALSE,T McConnell.J.
Terry Rozier,Terrence Jones,FALSE,T Warren.J.
Thabo Sefolosha,Terrence Ross,FALSE,Taj Gibson
Thaddeus Young,Terry Rozier,FALSE,Tarik Black
Thomas Robinson,Thabo Sefolosha,FALSE,Taurean Prince
Thon Maker,Thaddeus Young,FALSE,Terrence Jones
Tiago Splitter,Thomas Robinson,FALSE,Terrence Ross
Tim Frazier,Thon Maker,FALSE,Terry Rozier
Tim Quarterman,Tim Frazier,FALSE,Thabo Sefolosha
Timofey Mozgov,Tim Hardaway Jr.,FALSE,Thaddeus Young
Timothe Luwawu,Tim Quarterman,FALSE,Thomas Robinson
Tobias Harris,Timofey Mozgov,FALSE,Thon Maker
Tomas Satoransky,Timothe Luwawu-Cabarrot,FALSE,Tiago Splitter
Toney Douglas,TJ Warren,FALSE,Tim Frazier
Tony Allen,Tobias Harris,FALSE,Tim Quarterman
Tony Parker,Tomas Satoransky,FALSE,Timofey Mozgov
Tony Snell,Toney Douglas,FALSE,Timothe Luwawu
Treveon Graham,Tony Allen,FALSE,Tobias Harris
Trevor Ariza,Tony Parker,FALSE,Tomas Satoransky
Trevor Booker,Tony Snell,FALSE,Toney Douglas
Trey Burke,Treveon Graham,FALSE,Tony Allen
Trey Lyles,Trevor Ariza,FALSE,Tony Parker
Tristan Thompson,Trevor Booker,FALSE,Tony Snell
Troy Daniels,Trey Burke,FALSE,Treveon Graham
Troy Williams,Trey Lyles,FALSE,Trevor Ariza
Ty Lawson,Tristan Thompson,FALSE,Trevor Booker
Tyler Ennis,Troy Daniels,FALSE,Trey Burke
