"","teams","opp","date","opener.odds","opener.juice","pinn.odds","pinn.juice","opener","totals","totalsjuice"
"64","Seattle Storm","Indiana Fever",2017-05-28,-3.5,-110,-3,-120,82,82,109
"65","San Antonio Stars","Minnesota Lynx",2017-05-28,8,-110,7.5,-115,77.5,79.5,-111
"66","Minnesota Lynx","San Antonio Stars",2017-05-28,-8,-110,-7.5,-105,77.5,79.5,-109
"67","L.A. Sparks","New York Liberty",2017-05-30,-1.5,-105,-1,-116,77,74.5,-112
"68","New York Liberty","L.A. Sparks",2017-05-30,1.5,-115,1,-104,77,74.5,-108
"69","Indiana Fever","Dallas Wings",2017-05-30,1.5,-110,2.5,-105,83.5,83.5,-107
"70","Dallas Wings","Indiana Fever",2017-05-30,-1.5,-110,-2.5,-115,83.5,83.5,-113
"71","Connecticut Sun","Washington Mystics",2017-05-31,3.5,-110,4,-110,80,80,-103
"72","Washington Mystics","Connecticut Sun",2017-05-31,-3.5,-110,-4,-110,80,80,-118
"73","San Antonio Stars","Atlanta Dream",2017-05-31,4,-115,4,-104,79.5,79.5,-103
"74","Atlanta Dream","San Antonio Stars",2017-05-31,-4,-105,-4,-116,79.5,79.5,-118
"75","Phoenix Mercury","Chicago Sky",2017-06-01,-2.5,-120,-2.5,-112,80,79.5,-140
"76","Chicago Sky","Phoenix Mercury",2017-06-01,2.5,100,2.5,-108,80,79.5,115
"77","Dallas Wings","New York Liberty",2017-06-02,2,-110,2,-101,80.5,79,-116
"78","New York Liberty","Dallas Wings",2017-06-02,-2,-110,-2,-120,80.5,79,-104
"79","Dallas Wings","Indiana Fever",2017-06-03,2,-110,2,-105,83,84,109
"80","Indiana Fever","Dallas Wings",2017-06-03,-2,-110,-2,-115,83,84,-132
"81","Connecticut Sun","San Antonio Stars",2017-06-03,-2,-110,-2.5,-112,78.5,76,-130
"82","San Antonio Stars","Connecticut Sun",2017-06-03,2,-110,2.5,-108,78.5,76,107
"83","Minnesota Lynx","Seattle Storm",2017-06-03,-2,-110,-1.5,-118,78.5,82.5,-110
"84","Seattle Storm","Minnesota Lynx",2017-06-03,2,-110,1.5,-103,78.5,82.5,-110
"85","Phoenix Mercury","New York Liberty",2017-06-04,-0.5,-105,-2.5,-108,81,79.5,-133
"86","New York Liberty","Phoenix Mercury",2017-06-04,0.5,-115,2.5,-112,81,79.5,110
"87","Atlanta Dream","Washington Mystics",2017-06-04,2.5,-105,3,-108,80,81,-108
"88","Washington Mystics","Atlanta Dream",2017-06-04,-2.5,-115,-3,-112,80,81,-112
"89","Washington Mystics","Dallas Wings",2017-06-06,-1.5,-110,-2,-110,81,84.5,-125
"90","Dallas Wings","Washington Mystics",2017-06-06,1.5,-110,2,-110,81,84.5,103
"91","Seattle Storm","San Antonio Stars",2017-06-06,-3.5,-110,-4.5,-110,79,77,-105
