"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"22047-67026","SF","Jaylen","Jaylen Brown","Brown","28.258823170381433","17","6500","BOS@DAL","BOS","DAL","","","",""
"22047-23096","SF","Evan","Evan Fournier","Fournier","31.174999237060547","16","6400","IND@ORL","ORL","IND","","","",""
"22047-12355","PG","Eric","Eric Bledsoe","Bledsoe","27.25","8","6300","WAS@MIL","MIL","WAS","","","",""
"22047-14496","PG","Ricky","Ricky Rubio","Rubio","27.856250762939453","16","6300","UTA@PHI","UTA","PHI","","","",""
"22047-14516","C","Enes","Enes Kanter","Kanter","28.80666707356771","15","6300","LAC@NY","NY","LAC","","","",""
"22047-80814","PG","Dennis","Dennis Smith Jr.","Smith Jr.","26.473333740234374","15","6300","BOS@DAL","DAL","BOS","","","",""
"22047-9663","PG","Jrue","Jrue Holiday","Holiday","31.237499237060547","16","6300","OKC@NO","NO","OKC","","","",""
"22047-23169","C","Steven","Steven Adams","Adams","30.791666666666668","12","6200","OKC@NO","OKC","NO","","","",""
"22047-14523","PG","Reggie","Reggie Jackson","Jackson","28.712499618530273","16","6200","CLE@DET","DET","CLE","","","",""
"22047-9570","C","Pau","Pau Gasol","Gasol","29.168750762939453","16","6200","ATL@SA","SA","ATL","","","",""
"22047-9585","SG","Dwyane","Dwyane Wade","Wade","23.49333292643229","15","6200","CLE@DET","CLE","DET","","","",""
"22047-49116","SG","Andrew","Andrew Wiggins","Wiggins","30.512500762939453","16","6200","MIN@CHA","MIN","CHA","","","",""
"22047-12334","SG","Avery","Avery Bradley","Bradley","26.512500762939453","16","6000","CLE@DET","DET","CLE","","","",""
"22047-9662","SG","Lou","Lou Williams","Williams","27.04666748046875","15","6000","LAC@NY","LAC","NY","","","",""
"22047-9666","PF","Thaddeus","Thaddeus Young","Young","27.805883071001837","17","6000","IND@ORL","IND","ORL","","","",""
"22047-23572","SF","Taurean","Taurean Prince","Prince","26.868749618530273","16","5800","ATL@SA","ATL","SA","","","",""
"22047-15904","SG","Rodney","Rodney Hood","Hood","23.559999593098958","15","5800","UTA@PHI","UTA","PHI","","","",""
"22047-17333","SG","Will","Will Barton","Barton","27.131250381469727","16","5800","DEN@SAC","DEN","SAC","","","",""
"22047-9624","PG","Darren","Darren Collison","Collison","28.147058823529413","17","5700","IND@ORL","IND","ORL","","","",""
"22047-80808","PF","Jayson","Jayson Tatum","Tatum","26.511765423943014","17","5700","BOS@DAL","BOS","DAL","","","",""
"22047-24544","SG","Gary","Gary Harris","Harris","25.150000435965403","14","5700","DEN@SAC","DEN","SAC","","","",""
"22047-66108","PG","Jamal","Jamal Murray","Murray","21.774999618530273","16","5600","DEN@SAC","DEN","SAC","","","",""
"22047-19781","SG","Kent","Kent Bazemore","Bazemore","29.431249618530273","16","5600","ATL@SA","ATL","SA","","","",""
"22047-16301","C","Dewayne","Dewayne Dedmon","Dedmon","24.337499618530273","16","5500","ATL@SA","ATL","SA","","","",""
"22047-12342","PF","Al-Farouq","Al-Farouq Aminu","Aminu","27.375","8","5400","POR@MEM","POR","MEM","O","Ankle","",""
"22047-23670","SG","Marcus","Marcus Smart","Smart","25.60666707356771","15","5400","BOS@DAL","BOS","DAL","","","",""
"22047-55056","PF","Dario","Dario Saric","Saric","20.319999186197915","15","5400","UTA@PHI","PHI","UTA","","","",""
"22047-9583","PG","Mario","Mario Chalmers","Chalmers","19.593332926432293","15","5400","POR@MEM","MEM","POR","","","",""
"22047-59318","SF","Joe","Joe Ingles","Ingles","24.217647776884192","17","5400","UTA@PHI","UTA","PHI","","","",""
"22047-59358","PF","Domantas","Domantas Sabonis","Sabonis","27.873333740234376","15","5400","IND@ORL","IND","ORL","","","",""
"22047-23823","C","Willie","Willie Cauley-Stein","Cauley-Stein","23.899999618530273","16","5300","DEN@SAC","SAC","DEN","","","",""
"22047-9655","SG","JJ","JJ Redick","Redick","25.176922137920673","13","5300","UTA@PHI","PHI","UTA","","","",""
"22047-9758","SG","Danny","Danny Green","Green","23.4","15","5200","ATL@SA","SA","ATL","","","",""
"22047-9799","SG","Wesley","Wesley Matthews","Matthews","22.41176470588235","17","5200","BOS@DAL","DAL","BOS","","","",""
"22047-15952","PF","John","John Henson","Henson","21.113334147135415","15","5200","WAS@MIL","MIL","WAS","","","",""
"22047-23716","SF","Kyle","Kyle Anderson","Anderson","24.1875","16","5200","ATL@SA","SA","ATL","","","",""
"22047-9637","SF","Danilo","Danilo Gallinari","Gallinari","23.91111077202691","9","5200","LAC@NY","LAC","NY","GTD","Hip","",""
"22047-16359","SG","Malcolm","Malcolm Brogdon","Brogdon","25.221429007393972","14","5200","WAS@MIL","MIL","WAS","","","",""
"22047-9481","PF","Taj","Taj Gibson","Gibson","24.90625","16","5100","MIN@CHA","MIN","CHA","","","",""
"22047-9615","SF","Courtney","Courtney Lee","Lee","22.686665852864582","15","5100","LAC@NY","NY","LAC","","","",""
"22047-66236","PF","John","John Collins","Collins","23.293750762939453","16","5000","ATL@SA","ATL","SA","","","",""
"22047-9455","PG","Rajon","Rajon Rondo","Rondo","16","3","5000","OKC@NO","NO","OKC","","","",""
"22047-14511","PF","Markieff","Markieff Morris","Morris","18.177778455946182","9","4900","WAS@MIL","WAS","MIL","","","",""
"22047-15559","SG","Jeremy","Jeremy Lamb","Lamb","28.39333292643229","15","4900","MIN@CHA","CHA","MIN","GTD","Hamstring","",""
"22047-15758","SF","Michael","Michael Kidd-Gilchrist","Kidd-Gilchrist","17.099999321831596","9","4900","MIN@CHA","CHA","MIN","","","",""
"22047-9636","SF","Wilson","Wilson Chandler","Chandler","20.024999618530273","16","4900","DEN@SAC","DEN","SAC","","","",""
"22047-14512","PF","Marcus","Marcus Morris","Morris","23.362499237060547","8","4800","BOS@DAL","BOS","DAL","","","",""
"22047-9939","PG","Patty","Patty Mills","Mills","18.287500381469727","16","4800","ATL@SA","SA","ATL","","","",""
"22047-9577","SF","Rudy","Rudy Gay","Gay","23.518749237060547","16","4800","ATL@SA","SA","ATL","","","",""
"22047-80810","PG","De'Aaron","De'Aaron Fox","Fox","22.131250381469727","16","4800","DEN@SAC","SAC","DEN","","","",""
"22047-15405","PF","JaMychal","JaMychal Green","Green","12.166666666666666","3","4700","POR@MEM","MEM","POR","","","",""
"22047-15592","SG","Austin","Austin Rivers","Rivers","22.873333740234376","15","4700","LAC@NY","LAC","NY","","","",""
"22047-9495","SG","J.J.","J.J. Barea","Barea","21.982353659237134","17","4700","BOS@DAL","DAL","BOS","","","",""
"22047-9500","PF","Dirk","Dirk Nowitzki","Nowitzki","20.741176829618567","17","4700","BOS@DAL","DAL","BOS","","","",""
"22047-18821","SF","Jonathon","Jonathon Simmons","Simmons","21.831249237060547","16","4700","IND@ORL","ORL","IND","","","",""
"22047-18393","PG","T.J.","T.J. McConnell","McConnell","20","15","4700","UTA@PHI","PHI","UTA","","","",""
"22047-14554","SG","E'Twaun","E'Twaun Moore","Moore","21.475000381469727","16","4600","OKC@NO","NO","OKC","","","",""
"22047-9579","PF","Zach","Zach Randolph","Randolph","22.028570992606028","14","4600","DEN@SAC","SAC","DEN","","","",""
"22047-9661","C","Marcin","Marcin Gortat","Gortat","25.806249618530273","16","4600","WAS@MIL","WAS","MIL","","","",""
"22047-9703","PG","George","George Hill","Hill","18.285714285714285","14","4500","DEN@SAC","SAC","DEN","","","",""
"22047-16405","SG","Terrence","Terrence Ross","Ross","19.212499618530273","16","4400","IND@ORL","ORL","IND","","","",""
"22047-15583","SG","Seth","Seth Curry","Curry","22.30142822265625","70","4400","BOS@DAL","DAL","BOS","O","Lower leg","",""
"22047-9451","PF","Marvin","Marvin Williams","Williams","18.740000406901043","15","4400","MIN@CHA","CHA","MIN","GTD","Quadriceps","",""
"22047-9475","PG","Derrick","Derrick Rose","Rose","18.514286586216517","7","4400","CLE@DET","CLE","DET","O","Ankle","",""
"22047-40208","PG","Raul","Raul Neto","Neto","11.319999694824219","10","4400","UTA@PHI","UTA","PHI","","","",""
"22047-60233","SF","Dillon","Dillon Brooks","Brooks","19.8","15","4400","POR@MEM","MEM","POR","","","",""
"22047-12348","SF","Wesley","Wesley Johnson","Johnson","17.713334147135416","15","4300","LAC@NY","LAC","NY","","","",""
"22047-23665","SG","Buddy","Buddy Hield","Hield","21.940000406901042","15","4300","DEN@SAC","SAC","DEN","GTD","Ankle","",""
"22047-63124","PG","Emmanuel","Emmanuel Mudiay","Mudiay","21.412500381469727","16","4300","DEN@SAC","DEN","SAC","","","",""
"22047-23831","PF","Jerami","Jerami Grant","Grant","20.54666748046875","15","4300","OKC@NO","OKC","NO","","","",""
"22047-9506","SG","JR","JR Smith","Smith","16.700000762939453","16","4300","CLE@DET","CLE","DET","","","",""
"22047-9609","C","Al","Al Jefferson","Jefferson","17.289999389648436","10","4300","IND@ORL","IND","ORL","","","",""
"22047-9647","SF","Thabo","Thabo Sefolosha","Sefolosha","18.28125","16","4300","UTA@PHI","UTA","PHI","","","",""
"22047-81026","PG","Milos","Milos Teodosic","Teodosic","12.100000381469727","2","4200","LAC@NY","LAC","NY","O","Foot","",""
"22047-14529","PG","Cory","Cory Joseph","Joseph","19.805883071001837","17","4200","IND@ORL","IND","ORL","","","",""
"22047-14530","SF","Bojan","Bojan Bogdanovic","Bogdanovic","21.100000718060663","17","4200","IND@ORL","IND","ORL","","","",""
"22047-14537","SF","Chandler","Chandler Parsons","Parsons","16.169230534480167","13","4200","POR@MEM","MEM","POR","","","",""
"22047-58153","SF","Kelly","Kelly Oubre Jr.","Oubre Jr.","21.78125","16","4200","WAS@MIL","WAS","MIL","","","",""
