"","teams","opp","date","opener.odds","opener.juice","pinn.odds","pinn.juice","opener","totals","totalsjuice"
"65","Connecticut Sun","Phoenix Mercury",2015-06-19,2.5,-110,3.5,-105,72.5,71.5,-108
"66","Phoenix Mercury","Connecticut Sun",2015-06-19,-2.5,-110,-3.5,-105,72.5,71.5,-102
"67","Washington Mystics","Indiana Fever",2015-06-20,0,-110,-0.5,-117,73.5,73,-108
"68","Indiana Fever","Washington Mystics",2015-06-20,0,-110,0.5,106,73.5,73,-102
"69","Chicago Sky","San Antonio Stars",2015-06-20,-2,-115,-2,-104,77,76.5,-104
"70","San Antonio Stars","Chicago Sky",2015-06-20,2,-105,2,-107,77,76.5,-106
"71","New York Liberty","Atlanta Dream",2015-06-21,2.5,-110,2.5,-102,74,73.5,-121
"72","Atlanta Dream","New York Liberty",2015-06-21,-2.5,-110,-2.5,-108,74,73.5,110
"73","Connecticut Sun","L.A. Sparks",2015-06-21,-1.5,-110,-2,-109,67,67,-105
"74","L.A. Sparks","Connecticut Sun",2015-06-21,1.5,-110,2,-101,67,67,-105
"75","Tulsa Shock","Minnesota Lynx",2015-06-21,4.5,-110,4,-103,78,78,-101
"76","Minnesota Lynx","Tulsa Shock",2015-06-21,-4.5,-110,-4,-107,78,78,-109
"77","Phoenix Mercury","Seattle Storm",2015-06-21,-0.5,-115,-1,-109,71,70.5,-124
"78","Seattle Storm","Phoenix Mercury",2015-06-21,0.5,-105,1,-101,71,70.5,113
"79","L.A. Sparks","Washington Mystics",2015-06-23,7.5,-110,6.5,-108,69.5,68.5,-107
"80","Washington Mystics","L.A. Sparks",2015-06-23,-7.5,-110,-6.5,-102,69.5,68.5,-103
"81","Atlanta Dream","Chicago Sky",2015-06-24,4.5,-110,4.5,-104,78,79,-105
"82","Chicago Sky","Atlanta Dream",2015-06-24,-4.5,-110,-4.5,-106,78,79,-105
"83","Phoenix Mercury","San Antonio Stars",2015-06-25,-1,-115,-1,-105,73.5,73.5,-112
"84","San Antonio Stars","Phoenix Mercury",2015-06-25,1,-105,1,-105,73.5,73.5,102
"85","Minnesota Lynx","Seattle Storm",2015-06-25,-5,-110,-5.5,-114,72,72,-114
"86","Seattle Storm","Minnesota Lynx",2015-06-25,5,-110,5.5,103,72,72,103
"87","Chicago Sky","Indiana Fever",2015-06-26,-1,-110,-1.5,-103,81.5,81.5,-109
"88","Indiana Fever","Chicago Sky",2015-06-26,1,-110,1.5,-107,81.5,81.5,-101
"89","L.A. Sparks","Connecticut Sun",2015-06-26,3.5,-110,4,-110,69.5,70,-103
"90","Connecticut Sun","L.A. Sparks",2015-06-26,-3.5,-110,-4,-100,69.5,70,-107
"91","Washington Mystics","Atlanta Dream",2015-06-26,0.5,-110,-1.5,-104,72.5,72.5,-108
"92","Atlanta Dream","Washington Mystics",2015-06-26,-0.5,-110,1.5,-106,72.5,72.5,-102
"93","New York Liberty","Tulsa Shock",2015-06-26,4.5,-105,5,-110,74,75,-105
"94","Tulsa Shock","New York Liberty",2015-06-26,-4.5,-115,-5,-100,74,75,-105
"95","Seattle Storm","San Antonio Stars",2015-06-27,2.5,-105,2.5,-101,71,71,-105
"96","San Antonio Stars","Seattle Storm",2015-06-27,-2.5,-115,-2.5,-109,71,71,-105
"97","Phoenix Mercury","Minnesota Lynx",2015-06-27,4,-115,3,103,75,74.5,-105
"98","Minnesota Lynx","Phoenix Mercury",2015-06-27,-4,-105,-3,-113,75,74.5,-105
"99","L.A. Sparks","New York Liberty",2015-06-28,2,-105,1.5,101,69.5,70,-104
"100","New York Liberty","L.A. Sparks",2015-06-28,-2,-115,-1.5,-111,69.5,70,-106
"101","Chicago Sky","Washington Mystics",2015-06-28,NA,-110,NA,-110,77.5,76.5,-107
"102","Washington Mystics","Chicago Sky",2015-06-28,NA,-110,NA,-110,77.5,76.5,-103
"103","Seattle Storm","Tulsa Shock",2015-06-28,6.5,-110,6.5,-101,74.5,74.5,-113
"104","Tulsa Shock","Seattle Storm",2015-06-28,-6.5,-110,-6.5,-110,74.5,74.5,102
"105","Indiana Fever","Connecticut Sun",2015-06-30,2.5,-110,2,-104,76.5,75.5,103
"106","Connecticut Sun","Indiana Fever",2015-06-30,-2.5,-110,-2,-106,76.5,75.5,-114
"107","New York Liberty","Chicago Sky",2015-06-30,3.5,-105,3,-108,77,75.5,-115
"108","Chicago Sky","New York Liberty",2015-06-30,-3.5,-115,-3,-102,77,75.5,104
"109","San Antonio Stars","Phoenix Mercury",2015-06-30,5,-110,6,-110,74.5,74,-102
"110","Phoenix Mercury","San Antonio Stars",2015-06-30,-5,-110,-6,-100,74.5,74,-108
