"","teams","opp","date","opener.odds","opener.juice","pinn.odds","pinn.juice","opener","totals","totalsjuice"
"1","Minnesota Lynx","Chicago Sky",2016-05-18,-1.5,-110,-2,-102,81.5,82,103
"2","Chicago Sky","Minnesota Lynx",2016-05-18,1.5,-110,2,-108,81.5,82,-114
"3","Dallas Wings","Washington Mystics",2016-05-18,2,-115,2,-113,75,76,-110
"4","Washington Mystics","Dallas Wings",2016-05-18,-2,-105,-2,102,75,76,-100
"5","Phoenix Mercury","Indiana Fever",2016-05-18,-2.5,-115,-2.5,-104,80,80,-115
"6","Indiana Fever","Phoenix Mercury",2016-05-18,2.5,-105,2.5,-106,80,80,104
"7","Connecticut Sun","San Antonio Stars",2016-05-19,-1.5,-110,-2,-105,73.5,75,108
"8","San Antonio Stars","Connecticut Sun",2016-05-19,1.5,-110,2,-105,73.5,75,-119
"9","L.A. Sparks","Washington Mystics",2016-05-20,-3.5,-110,-4,-103,77,78.5,106
"10","Washington Mystics","L.A. Sparks",2016-05-20,3.5,-110,4,-107,77,78.5,-117
"11","Atlanta Dream","Indiana Fever",2016-05-20,3,-105,4,-108,80,82,-101
"12","Indiana Fever","Atlanta Dream",2016-05-20,-3,-115,-4,-102,80,82,-109
"13","Seattle Storm","Phoenix Mercury",2016-05-20,6,-110,6,-101,79,81.5,-102
"14","Phoenix Mercury","Seattle Storm",2016-05-20,-6,-110,-6,-109,79,81.5,-108
"15","L.A. Sparks","New York Liberty",2016-05-21,0.5,-110,-0.5,-104,78,78.5,102
"16","New York Liberty","L.A. Sparks",2016-05-21,-0.5,-110,0.5,-106,78,78.5,-112
"17","Washington Mystics","Connecticut Sun",2016-05-21,3,-105,3,-104,76.5,77.5,-107
"18","Connecticut Sun","Washington Mystics",2016-05-21,-3,-115,-3,-106,76.5,77.5,-103
"19","San Antonio Stars","Dallas Wings",2016-05-21,6.5,-115,6.5,-102,74.5,73,-102
"20","Dallas Wings","San Antonio Stars",2016-05-21,-6.5,-105,-6.5,-108,74.5,73,-108
"21","Chicago Sky","Atlanta Dream",2016-05-22,-2,-110,-2,-116,85,84.5,-110
"22","Atlanta Dream","Chicago Sky",2016-05-22,2,-110,2,105,85,84.5,100
"23","Minnesota Lynx","Seattle Storm",2016-05-22,-5,-110,-5,-105,78.5,79,-114
"24","Seattle Storm","Minnesota Lynx",2016-05-22,5,-110,5,-105,78.5,79,103
"25","Atlanta Dream","New York Liberty",2016-05-24,3.5,-105,3.5,103,76.5,78.5,-115
"26","New York Liberty","Atlanta Dream",2016-05-24,-3.5,-115,-3.5,-114,76.5,78.5,104
"27","L.A. Sparks","Chicago Sky",2016-05-24,-1.5,-110,-2,-104,83,82,100
"28","Chicago Sky","L.A. Sparks",2016-05-24,1.5,-110,2,-106,83,82,-110
"29","Minnesota Lynx","Phoenix Mercury",2016-05-25,-2,-110,-2,-108,82.5,82.5,-117
"30","Phoenix Mercury","Minnesota Lynx",2016-05-25,2,-110,2,-102,82.5,82.5,106
