"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",12700,"OKC@Was 08:00PM ET",64.464,"OKC"
"C","Anthony Davis",11000,"NO@Pho 09:00PM ET",53.887,"NO"
"PG","John Wall",10500,"OKC@Was 08:00PM ET",49.098,"Was"
"PG/SF","Giannis Antetokounmpo",10100,"Det@Mil 08:00PM ET",49.654,"Mil"
"PG","Stephen Curry",10000,"GS@Den 09:00PM ET",44.580,"GS"
"SF","Kevin Durant",9900,"GS@Den 09:00PM ET",49.523,"GS"
"PG","Isaiah Thomas",9700,"Bos@Dal 08:30PM ET",45.020,"Bos"
"C","Nikola Jokic",9200,"GS@Den 09:00PM ET",36.431,"Den"
"PF","Blake Griffin",9000,"LAC@Uta 09:00PM ET",42.978,"LAC"
"SF","Kawhi Leonard",8900,"SA@Ind 07:00PM ET",43.418,"SA"
"PG","Jrue Holiday",8800,"NO@Pho 09:00PM ET",36.456,"NO"
"PG","Damian Lillard",8600,"Atl@Por 10:30PM ET",43.153,"Por"
"C","Hassan Whiteside",8100,"Orl@Mia 07:30PM ET",40.795,"Mia"
"C","Joel Embiid",8000,"Phi@Cha 07:00PM ET",38.992,"Phi"
"PG","Chris Paul",8000,"LAC@Uta 09:00PM ET",43.917,"LAC"
"C","Andre Drummond",7900,"Det@Mil 08:00PM ET",39.477,"Det"
"SG/SF","Nicolas Batum",7900,"Phi@Cha 07:00PM ET",36.172,"Cha"
"PF/C","Draymond Green",7800,"GS@Den 09:00PM ET",39.368,"GS"
"PG/SG","C.J. McCollum",7800,"Atl@Por 10:30PM ET",36.981,"Por"
"PG","Mike Conley",7700,"Mem@Bkn 07:30PM ET",36.648,"Mem"
"PG","Goran Dragic",7700,"Orl@Mia 07:30PM ET",36.489,"Mia"
"SF","Gordon Hayward",7700,"LAC@Uta 09:00PM ET",37.521,"Uta"
"PG","Eric Bledsoe",7700,"NO@Pho 09:00PM ET",39.389,"Pho"
"PG","Kemba Walker",7600,"Phi@Cha 07:00PM ET",38.698,"Cha"
"C","Marc Gasol",7600,"Mem@Bkn 07:30PM ET",39.264,"Mem"
"PF","Paul Millsap",7600,"Atl@Por 10:30PM ET",38.333,"Atl"
"SF","Paul George",7500,"SA@Ind 07:00PM ET",38.899,"Ind"
"SG","Bradley Beal",7300,"OKC@Was 08:00PM ET",34.510,"Was"
"C","Nikola Vucevic",7100,"Orl@Mia 07:30PM ET",34.415,"Orl"
"C","Rudy Gobert",7000,"LAC@Uta 09:00PM ET",36.868,"Uta"
"PG","Jeff Teague",6900,"SA@Ind 07:00PM ET",36.269,"Ind"
"C","Dwight Howard",6900,"Atl@Por 10:30PM ET",35.653,"Atl"
"SG","Devin Booker",6900,"NO@Pho 09:00PM ET",31.250,"Pho"
"SF/PF","Markieff Morris",6800,"OKC@Was 08:00PM ET",29.118,"Was"
"SG","Klay Thompson",6700,"GS@Den 09:00PM ET",32.854,"GS"
"SF/PF","Wilson Chandler",6700,"GS@Den 09:00PM ET",29.690,"Den"
"SG/SF","Dion Waiters",6700,"Orl@Mia 07:30PM ET",28.586,"Mia"
"PF","LaMarcus Aldridge",6700,"SA@Ind 07:00PM ET",32.980,"SA"
"PG","Dennis Schroder",6600,"Atl@Por 10:30PM ET",31.713,"Atl"
"C","Al Horford",6500,"Bos@Dal 08:30PM ET",35.815,"Bos"
"C","DeAndre Jordan",6500,"LAC@Uta 09:00PM ET",35.375,"LAC"
"SG/SF","Will Barton",6400,"GS@Den 09:00PM ET",26.713,"Den"
"C","Brook Lopez",6400,"Mem@Bkn 07:30PM ET",35.020,"Bkn"
"SF/PF","Otto Porter",6400,"OKC@Was 08:00PM ET",30.142,"Was"
"SG","Victor Oladipo",6300,"OKC@Was 08:00PM ET",29.207,"OKC"
"SF","Robert Covington",6200,"Phi@Cha 07:00PM ET",27.219,"Phi"
"PF/C","Serge Ibaka",6200,"Orl@Mia 07:30PM ET",29.982,"Orl"
"PF","James Johnson",6200,"Orl@Mia 07:30PM ET",26.910,"Mia"
"C","Marcin Gortat",6100,"OKC@Was 08:00PM ET",32.108,"Was"
"PG","George Hill",6100,"LAC@Uta 09:00PM ET",31.275,"Uta"
"C","Steven Adams",6000,"OKC@Was 08:00PM ET",27.571,"OKC"
"SG","Evan Fournier",6000,"Orl@Mia 07:30PM ET",27.068,"Orl"
"SG/SF","Wesley Matthews",6000,"Bos@Dal 08:30PM ET",26.941,"Dal"
"SF/PF","Harrison Barnes",6000,"Bos@Dal 08:30PM ET",31.042,"Dal"
"SF","Jae Crowder",5900,"Bos@Dal 08:30PM ET",27.483,"Bos"
"C","Mason Plumlee",5900,"Atl@Por 10:30PM ET",30.782,"Por"
"PG/SG","Tim Hardaway Jr.",5800,"Atl@Por 10:30PM ET",21.048,"Atl"
"PG","Reggie Jackson",5700,"Det@Mil 08:00PM ET",27.596,"Det"
"PF/C","Frank Kaminsky",5700,"Phi@Cha 07:00PM ET",21.558,"Cha"
"C","Myles Turner",5700,"SA@Ind 07:00PM ET",32.104,"Ind"
"PF/C","Zach Randolph",5600,"Mem@Bkn 07:30PM ET",28.547,"Mem"
"PF/C","Dirk Nowitzki",5600,"Bos@Dal 08:30PM ET",26.080,"Dal"
"SF","Danilo Gallinari",5500,"GS@Den 09:00PM ET",28.778,"Den"
"PG","Tyler Johnson",5500,"Orl@Mia 07:30PM ET",27.910,"Mia"
"PG/SG","Marcus Smart",5500,"Bos@Dal 08:30PM ET",25.569,"Bos"
"PF","Al-Farouq Aminu",5500,"Atl@Por 10:30PM ET",22.865,"Por"
"PG","Jameer Nelson",5400,"GS@Den 09:00PM ET",20.227,"Den"
"PF","Ersan Ilyasova",5400,"Phi@Cha 07:00PM ET",26.977,"Phi"
"SG","Avery Bradley",5400,"Bos@Dal 08:30PM ET",33.458,"Bos"
"PF","Thaddeus Young",5400,"SA@Ind 07:00PM ET",26.097,"Ind"
"PF/C","Terrence Jones",5400,"NO@Pho 09:00PM ET",24.113,"NO"
"PF/C","Nerlens Noel",5300,"Phi@Cha 07:00PM ET",20.000,"Phi"
"SG","Kentavious Caldwell-Pope",5200,"Det@Mil 08:00PM ET",26.230,"Det"
"SF/PF","Tobias Harris",5200,"Det@Mil 08:00PM ET",27.905,"Det"
"SF","Marcus Morris",5200,"Det@Mil 08:00PM ET",25.310,"Det"
"SF/PF","Dario Saric",5200,"Phi@Cha 07:00PM ET",21.875,"Phi"
"PG","Elfrid Payton",5200,"Orl@Mia 07:30PM ET",28.393,"Orl"
"SG","Gary Harris",5100,"GS@Den 09:00PM ET",23.683,"Den"
"C","Tyson Chandler",5100,"NO@Pho 09:00PM ET",25.967,"Pho"
"PF","Jabari Parker",5000,"Det@Mil 08:00PM ET",34.618,"Mil"
"PG","T.J. McConnell",5000,"Phi@Cha 07:00PM ET",21.283,"Phi"
"SF","Michael Kidd-Gilchrist",5000,"Phi@Cha 07:00PM ET",23.929,"Cha"
"C","Enes Kanter",5000,"OKC@Was 08:00PM ET",26.154,"OKC"
"PG","Yogi Ferrell",5000,"Bos@Dal 08:30PM ET",18.764,"Dal"
"PG/SG","Austin Rivers",5000,"LAC@Uta 09:00PM ET",20.990,"LAC"
"SF/PF","T.J. Warren",5000,"NO@Pho 09:00PM ET",22.560,"Pho"
"C","Greg Monroe",4900,"Det@Mil 08:00PM ET",25.534,"Mil"
"C","Cody Zeller",4900,"Phi@Cha 07:00PM ET",24.212,"Cha"
"PG","Jeremy Lin",4900,"Mem@Bkn 07:30PM ET",30.313,"Bkn"
"PF","Trevor Booker",4900,"Mem@Bkn 07:30PM ET",27.383,"Bkn"
"C","Pau Gasol",4900,"SA@Ind 07:00PM ET",28.686,"SA"
"C","Dewayne Dedmon",4900,"SA@Ind 07:00PM ET",16.604,"SA"
"PF/C","Derrick Favors",4900,"LAC@Uta 09:00PM ET",21.487,"Uta"
"PG/SG","Malcolm Brogdon",4800,"Det@Mil 08:00PM ET",21.552,"Mil"
"SF/PF","Aaron Gordon",4800,"Orl@Mia 07:30PM ET",22.144,"Orl"
"SG","Jamal Crawford",4800,"LAC@Uta 09:00PM ET",20.750,"LAC"
"SG/SF","Kent Bazemore",4800,"Atl@Por 10:30PM ET",22.615,"Atl"
"SF/PF","Michael Beasley",4700,"Det@Mil 08:00PM ET",16.122,"Mil"
"PF","Marvin Williams",4700,"Phi@Cha 07:00PM ET",23.115,"Cha"
"PF","JaMychal Green",4700,"Mem@Bkn 07:30PM ET",22.556,"Mem"
"SG","Seth Curry",4700,"Bos@Dal 08:30PM ET",21.705,"Dal"
"PF","Kenneth Faried",4600,"GS@Den 09:00PM ET",24.005,"Den"
"SG","Tony Allen",4600,"Mem@Bkn 07:30PM ET",22.474,"Mem"
"PF/C","David Lee",4600,"SA@Ind 07:00PM ET",18.033,"SA"
"SG/SF","Evan Turner",4600,"Atl@Por 10:30PM ET",21.465,"Por"
"SF","Maurice Harkless",4600,"Atl@Por 10:30PM ET",21.765,"Por"
"SF/PF","P.J. Tucker",4600,"NO@Pho 09:00PM ET",19.832,"Pho"
"C","Jahlil Okafor",4500,"Phi@Cha 07:00PM ET",21.297,"Phi"
"PG","Deron Williams",4500,"Bos@Dal 08:30PM ET",28.204,"Dal"
"SG","J.J. Redick",4500,"LAC@Uta 09:00PM ET",22.402,"LAC"
"C","Alex Len",4500,"NO@Pho 09:00PM ET",18.928,"Pho"
"PF","Jon Leuer",4400,"Det@Mil 08:00PM ET",22.168,"Det"
"PG/SF","Raymond Felton",4400,"LAC@Uta 09:00PM ET",17.726,"LAC"
"PG","Emmanuel Mudiay",4300,"GS@Den 09:00PM ET",23.994,"Den"
"SG/SF","Bojan Bogdanovic",4300,"Mem@Bkn 07:30PM ET",22.236,"Bkn"
"SG/SF","Tyreke Evans",4300,"NO@Pho 09:00PM ET",20.406,"NO"
"SG","Wayne Ellington",4200,"Orl@Mia 07:30PM ET",18.436,"Mia"
"SG/SF","Allen Crabbe",4200,"Atl@Por 10:30PM ET",17.824,"Por"
"C","Jusuf Nurkic",4100,"GS@Den 09:00PM ET",19.044,"Den"
"PF","Rondae Hollis-Jefferson",4100,"Mem@Bkn 07:30PM ET",19.615,"Bkn"
"SF","Andre Roberson",4100,"OKC@Was 08:00PM ET",19.100,"OKC"
"PG","Tony Parker",4100,"SA@Ind 07:00PM ET",20.848,"SA"
"SG/SF","C.J. Miles",4100,"SA@Ind 07:00PM ET",18.448,"Ind"
"SG/SF","Joe Ingles",4100,"LAC@Uta 09:00PM ET",15.964,"Uta"
"SG","Buddy Hield",4100,"NO@Pho 09:00PM ET",15.373,"NO"
"PG","Ish Smith",4000,"Det@Mil 08:00PM ET",20.940,"Det"
"SG/SF","Josh Richardson",4000,"Orl@Mia 07:30PM ET",22.473,"Mia"
"SF","Rodney McGruder",4000,"Orl@Mia 07:30PM ET",14.725,"Mia"
"C","Willie Reed",4000,"Orl@Mia 07:30PM ET",13.701,"Mia"
"PF/C","Kelly Olynyk",4000,"Bos@Dal 08:30PM ET",19.915,"Bos"
