PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,PTS_DRIVE,FGP_DRIVE,PTS_CLOSE,FGP_CLOSE,PTS_CATCH_SHOOT,FGP_CATCH_SHOOT,PTS_PULL_UP,FGP_PULL_UP,FGA_DRIVE,FGA_CLOSE,FGA_CATCH_SHOOT,FGA_PULL_UP,EFG_PCT,CFGM,CFGA,CFGP,UFGM,UFGA,UFGP,CFG3M,CFG3A,CFG3P,UFG3M,UFG3A,UFG3P,X
203109,Jae Crowder,Jae,Crowder,BOS,71,32.5,13.8,1.3,0.61,1.8,0.732,5.8,0.403,2.0,0.341,0.6,1.0,5.0,2.4,0.571,0.7,2.1,0.322,2.2,5.5,0.405,0.4,1.3,0.305,1.8,4.1,0.428,NA
2594,Kyle Korver,Kyle,Korver,ATL,32,27.9,9.5,0.1,0.2,0.5,0.8,5.8,0.441,2.3,0.405,0.2,0.3,4.8,2.3,0.571,1.2,3.0,0.417,1.8,4.2,0.429,0.5,1.7,0.321,1.5,3.3,0.453,NA
203500,Steven Adams,Steven,Adams,OKC,78,30.1,11.4,0.1,1.0,5.5,0.62,0.5,0.432,0.0,0.077,0.0,3.8,0.6,0.2,0.569,0.1,0.4,0.29,0.2,0.4,0.414,0.0,0.0,0.0,0.0,0.0,0.0,NA
1891,Jason Terry,Jason,Terry,MIL,72,18.6,4.0,0.5,0.48,0.0,0.5,2.6,0.426,0.5,0.366,0.3,0.0,2.1,0.6,0.568,0.2,0.7,0.333,0.9,2.0,0.434,0.2,0.5,0.342,0.8,1.8,0.437,NA
201229,Anthony Tolliver,Anthony,Tolliver,SAC,64,22.8,7.0,0.5,0.5,1.0,0.622,4.3,0.394,0.1,0.286,0.3,0.6,3.8,0.2,0.568,0.2,0.5,0.344,1.4,3.6,0.391,0.1,0.3,0.35,1.3,3.2,0.393,NA
201563,Michael Beasley,Michael,Beasley,MIL,54,16.4,9.4,2.0,0.537,1.4,0.582,1.6,0.456,1.5,0.471,1.5,1.0,1.5,1.6,0.567,0.6,1.4,0.479,0.9,1.9,0.447,0.0,0.1,0.333,0.3,0.7,0.444,NA
203488,Mike Muscala,Mike,Muscala,ATL,68,17.6,6.1,0.2,0.444,1.7,0.703,3.0,0.428,0.1,0.333,0.1,1.1,2.8,0.2,0.567,0.1,0.3,0.278,1.2,2.7,0.432,0.0,0.0,0.0,0.6,1.5,0.419,NA
202691,Klay Thompson,Klay,Thompson,GSW,77,34.1,22.5,1.9,0.481,2.4,0.678,11.6,0.456,3.5,0.378,1.4,1.5,9.4,4.2,0.567,2.2,5.8,0.383,3.8,8.1,0.469,0.8,2.2,0.347,2.7,6.1,0.441,NA
203078,Bradley Beal,Bradley,Beal,WAS,77,34.7,23.1,4.5,0.5,1.0,0.674,7.0,0.442,5.9,0.449,3.3,0.6,5.6,5.7,0.566,1.3,3.1,0.413,3.8,8.4,0.452,0.4,1.2,0.358,2.4,5.9,0.412,NA
200768,Kyle Lowry,Kyle,Lowry,TOR,58,37.7,22.6,6.8,0.55,0.2,0.571,4.1,0.417,7.4,0.424,4.5,0.1,3.3,6.5,0.566,1.4,3.8,0.361,2.8,6.3,0.445,0.9,2.6,0.329,2.4,5.3,0.452,NA
