"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"18599-42148","SF","Rondae","Rondae Hollis-Jefferson","Hollis-Jefferson","19.793242583403718","74","4700","BKN@ORL","BKN","ORL","","","",""
"18599-9661","C","Marcin","Marcin Gortat","Gortat","26.528204502203526","78","4700","WAS@NY","WAS","NY","","","",""
"18599-9666","PF","Thaddeus","Thaddeus Young","Young","22.981427873883927","70","4700","MIL@IND","IND","MIL","","","",""
"18599-9615","SG","Courtney","Courtney Lee","Lee","20.08493083797089","73","4600","WAS@NY","NY","WAS","","","",""
"18599-9526","SG","Monta","Monta Ellis","Ellis","17.954286411830356","70","4500","MIL@IND","IND","MIL","","","",""
"18599-19781","SF","Kent","Kent Bazemore","Bazemore","20.55142822265625","70","4500","BOS@ATL","ATL","BOS","GTD","Knee","",""
"18599-71420","PG","Sergio","Sergio Rodriguez","Rodriguez","17.829412123736212","68","4500","CHI@PHI","PHI","CHI","O","Hamstring","",""
"18599-12350","PF","Trevor","Trevor Booker","Booker","23.77428501674107","70","4400","BKN@ORL","BKN","ORL","","","",""
"18599-16405","SF","Terrence","Terrence Ross","Ross","18.002702042863177","74","4300","BKN@ORL","ORL","BKN","","","",""
"18599-23572","SF","Taurean","Taurean Prince","Prince","11.140740288628471","54","4200","BOS@ATL","ATL","BOS","","","",""
"18599-12368","PF","Nemanja","Nemanja Bjelica","Bjelica","13.466153658353365","65","4200","MIN@POR","MIN","POR","O","Foot","",""
"18599-23744","SF","Justin","Justin Anderson","Anderson","12.73943661971831","71","4100","CHI@PHI","PHI","CHI","","","",""
"18599-9669","PF","Jason","Jason Smith","Smith","11.915713936941964","70","4100","WAS@NY","WAS","NY","","","",""
"18599-16859","SF","Lance","Lance Thomas","Thomas","11.41087009595788","46","4100","WAS@NY","NY","WAS","GTD","Hip","",""
"18599-17384","C","Kyle","Kyle O'Quinn","O'Quinn","17.807999674479166","75","4100","WAS@NY","NY","WAS","","","",""
"18599-23802","SG","Kris","Kris Dunn","Dunn","11.620547777985873","73","4100","MIN@POR","MIN","POR","","","",""
"18599-22541","C","Kelly","Kelly Olynyk","Olynyk","18.1535214706206","71","4000","BOS@ATL","BOS","ATL","","","",""
"18599-12359","SF","Evan","Evan Turner","Turner","19.03114794121414","61","4000","MIN@POR","POR","MIN","","","",""
