"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SF","Giannis Antetokounmpo",10800,"LAL@Mil 08:00PM ET",49.250,"Mil"
"PF/C","DeMarcus Cousins",10700,"Atl@Sac 10:30PM ET",53.843,"Sac"
"PG","John Wall",10400,"Ind@Was 08:00PM ET",49.005,"Was"
"C","Anthony Davis",10100,"NO@Min 08:00PM ET",53.622,"NO"
"PF/C","Karl-Anthony Towns",10000,"NO@Min 08:00PM ET",47.646,"Min"
"PG","Stephen Curry",9500,"GS@Mem 08:00PM ET",44.652,"GS"
"SF","Kevin Durant",9400,"GS@Mem 08:00PM ET",49.659,"GS"
"C","Nikola Jokic",9200,"Den@NY 07:30PM ET",35.483,"Den"
"SG/SF","Jimmy Butler",9000,"Chi@Pho 10:30PM ET",43.781,"Chi"
"C","Hassan Whiteside",8500,"Mia@Bkn 07:30PM ET",41.089,"Mia"
"SF","Kawhi Leonard",8200,"SA@Det 07:30PM ET",42.941,"SA"
"SF/PF","Paul George",8000,"Ind@Was 08:00PM ET",39.128,"Ind"
"PG","Goran Dragic",7900,"Mia@Bkn 07:30PM ET",36.439,"Mia"
"PG","Jrue Holiday",7800,"NO@Min 08:00PM ET",35.480,"NO"
"SG","Dwyane Wade",7800,"Chi@Pho 10:30PM ET",34.426,"Chi"
"C","Andre Drummond",7700,"SA@Det 07:30PM ET",39.500,"Det"
"SF/PF","Carmelo Anthony",7700,"Den@NY 07:30PM ET",37.764,"NY"
"PF","Paul Millsap",7600,"Atl@Sac 10:30PM ET",38.280,"Atl"
"PF/C","Draymond Green",7500,"GS@Mem 08:00PM ET",38.883,"GS"
"PG","Jeff Teague",7400,"Ind@Was 08:00PM ET",36.697,"Ind"
"SG","Bradley Beal",7400,"Ind@Was 08:00PM ET",34.557,"Was"
"C","Marc Gasol",7400,"GS@Mem 08:00PM ET",39.298,"Mem"
"PG","Mike Conley",7300,"GS@Mem 08:00PM ET",36.413,"Mem"
"SF","Andrew Wiggins",7200,"NO@Min 08:00PM ET",33.146,"Min"
"PG","Eric Bledsoe",7200,"Chi@Pho 10:30PM ET",39.392,"Pho"
"SF/PF","Wilson Chandler",7100,"Den@NY 07:30PM ET",29.750,"Den"
"PF","Jabari Parker",7000,"LAL@Mil 08:00PM ET",34.618,"Mil"
"PF","Kristaps Porzingis",6900,"Den@NY 07:30PM ET",35.141,"NY"
"C","Brook Lopez",6800,"Mia@Bkn 07:30PM ET",34.823,"Bkn"
"SG/SF","Dion Waiters",6700,"Mia@Bkn 07:30PM ET",28.586,"Mia"
"C","Dwight Howard",6700,"Atl@Sac 10:30PM ET",35.922,"Atl"
"SF/PF","Markieff Morris",6600,"Ind@Was 08:00PM ET",28.740,"Was"
"SF/PF","Otto Porter",6600,"Ind@Was 08:00PM ET",30.365,"Was"
"PG","Dennis Schroder",6600,"Atl@Sac 10:30PM ET",31.717,"Atl"
"SG","Devin Booker",6500,"Chi@Pho 10:30PM ET",31.240,"Pho"
"PG","Ricky Rubio",6400,"NO@Min 08:00PM ET",28.819,"Min"
"PF","LaMarcus Aldridge",6400,"SA@Det 07:30PM ET",32.931,"SA"
"PG","Derrick Rose",6300,"Den@NY 07:30PM ET",30.378,"NY"
"SG","Klay Thompson",6200,"GS@Mem 08:00PM ET",32.662,"GS"
"C","Marcin Gortat",6100,"Ind@Was 08:00PM ET",31.986,"Was"
"SG/SF","Will Barton",6100,"Den@NY 07:30PM ET",26.467,"Den"
"PF","James Johnson",6000,"Mia@Bkn 07:30PM ET",26.292,"Mia"
"PG","D'Angelo Russell",5900,"LAL@Mil 08:00PM ET",28.904,"LAL"
