"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",12000,"Ind@Hou 09:30PM ET",60.152,"Hou"
"SF","LeBron James",10900,"Mil@Cle 07:00PM ET",52.218,"Cle"
"PF/C","Karl-Anthony Towns",10800,"Min@Sac 10:30PM ET",48.008,"Min"
"PG/SF","Giannis Antetokounmpo",10700,"Mil@Cle 07:00PM ET",49.618,"Mil"
"SF","Kevin Durant",10000,"GS@Phi 07:00PM ET",49.737,"GS"
"PG","Stephen Curry",9900,"GS@Phi 07:00PM ET",44.315,"GS"
"PG","Kyrie Irving",9000,"Mil@Cle 07:00PM ET",41.034,"Cle"
"SG","DeMar DeRozan",8900,"Tor@NY 07:00PM ET",41.458,"Tor"
"PG","Isaiah Thomas",8700,"Atl@Bos 07:30PM ET",44.438,"Bos"
"SF","Carmelo Anthony",8500,"Tor@NY 07:00PM ET",37.869,"NY"
"SF","Andrew Wiggins",8200,"Min@Sac 10:30PM ET",34.436,"Min"
"PG","Kyle Lowry",8100,"Tor@NY 07:00PM ET",42.825,"Tor"
"C","Hassan Whiteside",8000,"Mia@Dal 08:30PM ET",40.884,"Mia"
"C","Joel Embiid",7800,"GS@Phi 07:00PM ET",38.992,"Phi"
"SF","Paul George",7700,"Ind@Hou 09:30PM ET",37.491,"Ind"
"PF/C","Kevin Love",7700,"Mil@Cle 07:00PM ET",40.500,"Cle"
"PF/C","Draymond Green",7700,"GS@Phi 07:00PM ET",37.701,"GS"
"PF","Dario Saric",7600,"GS@Phi 07:00PM ET",23.246,"Phi"
"SF/PF","Robert Covington",7300,"GS@Phi 07:00PM ET",28.524,"Phi"
"PF","Paul Millsap",7200,"Atl@Bos 07:30PM ET",37.371,"Atl"
"SG","Klay Thompson",7000,"GS@Phi 07:00PM ET",32.978,"GS"
"C","Dwight Howard",6900,"Atl@Bos 07:30PM ET",35.462,"Atl"
"PG","Jeff Teague",6900,"Ind@Hou 09:30PM ET",35.746,"Ind"
"PG","Goran Dragic",6800,"Mia@Dal 08:30PM ET",36.132,"Mia"
"C","Guillermo Hernangomez",6800,"Tor@NY 07:00PM ET",17.593,"NY"
"SG/SF","Dion Waiters",6700,"Mia@Dal 08:30PM ET",29.819,"Mia"
"PG","Ricky Rubio",6600,"Min@Sac 10:30PM ET",29.925,"Min"
"PF","Kristaps Porzingis",6400,"Tor@NY 07:00PM ET",34.565,"NY"
"PG","Dennis Schroder",6300,"Atl@Bos 07:30PM ET",31.706,"Atl"
"PG/SG","Darren Collison",6300,"Min@Sac 10:30PM ET",25.015,"Sac"
"PG","Derrick Rose",6300,"Tor@NY 07:00PM ET",30.200,"NY"
"PF/C","Serge Ibaka",6200,"Tor@NY 07:00PM ET",30.220,"Tor"
"C","Myles Turner",6100,"Ind@Hou 09:30PM ET",32.172,"Ind"
"SF/PF","Harrison Barnes",6000,"Mia@Dal 08:30PM ET",30.905,"Dal"
"PF","James Johnson",6000,"Mia@Dal 08:30PM ET",26.870,"Mia"
"C","Al Horford",5900,"Atl@Bos 07:30PM ET",34.266,"Bos"
"C","Greg Monroe",5900,"Mil@Cle 07:00PM ET",26.393,"Mil"
"C","Jahlil Okafor",5800,"GS@Phi 07:00PM ET",21.600,"Phi"
"C","Tristan Thompson",5700,"Mil@Cle 07:00PM ET",25.219,"Cle"
"SG","Seth Curry",5700,"Mia@Dal 08:30PM ET",22.444,"Dal"
"PG/SG","Marcus Smart",5600,"Atl@Bos 07:30PM ET",26.058,"Bos"
"PF/C","Dirk Nowitzki",5600,"Mia@Dal 08:30PM ET",27.352,"Dal"
"PG/SG","Patrick Beverley",5500,"Ind@Hou 09:30PM ET",27.592,"Hou"
