PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,PTS_TOT,X
202397,Ish Smith,Ish,Smith,DET,77,23.8,3.3,1.6,4.0,0.395,0.1,0.5,0.143,0.404,251,NA
202323,Evan Turner,Evan,Turner,POR,61,25.5,3.3,1.6,3.9,0.411,0.1,0.2,0.385,0.422,199,NA
203095,Evan Fournier,Evan,Fournier,ORL,65,32.8,3.2,1.4,3.7,0.372,0.5,1.5,0.33,0.441,211,NA
1627741,Buddy Hield,Buddy,Hield,TOTAL,78,22.5,3.2,1.3,3.4,0.394,0.5,1.5,0.35,0.473,250,NA
201943,Brandon Jennings,Brandon,Jennings,NYK,58,24.7,3.2,1.3,3.8,0.33,0.7,2.2,0.328,0.423,187,NA
2749,Jameer Nelson,Jameer,Nelson,DEN,74,27.1,3.2,1.3,3.6,0.366,0.5,1.6,0.322,0.437,234,NA
203082,Terrence Ross,Terrence,Ross,ORL,20,32.4,3.2,1.5,3.8,0.39,0.2,1.3,0.192,0.422,65,NA
201569,Eric Gordon,Eric,Gordon,HOU,72,31.2,3.1,1.1,2.9,0.383,0.8,2.1,0.407,0.529,221,NA
201956,Omri Casspi,Omri,Casspi,NOP,1,23.7,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3,NA
202699,Tobias Harris,Tobias,Harris,DET,78,31.5,3.0,1.5,3.2,0.47,0.0,0.2,0.083,0.472,233,NA
201584,Courtney Lee,Courtney,Lee,NYK,73,32.2,3.0,1.4,3.2,0.439,0.2,0.5,0.371,0.466,221,NA
2757,Beno Udrih,Beno,Udrih,DET,37,14.1,3.0,1.4,3.2,0.442,0.2,0.5,0.333,0.467,112,NA
203933,TJ Warren,TJ,Warren,PHX,61,31.1,3.0,1.5,3.9,0.372,0.0,0.2,0.214,0.379,181,NA
200752,Rudy Gay,Rudy,Gay,SAC,30,33.7,2.9,1.3,4.2,0.317,0.2,0.8,0.292,0.345,87,NA
201937,Ricky Rubio,Ricky,Rubio,MIN,71,32.8,2.9,1.4,3.4,0.427,0.1,0.3,0.19,0.435,208,NA
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,MIL,77,35.4,2.8,1.3,3.9,0.328,0.2,0.8,0.25,0.355,212,NA
203145,Kent Bazemore,Kent,Bazemore,ATL,70,27.1,2.8,1.2,3.1,0.396,0.3,0.9,0.348,0.449,195,NA
203115,Will Barton,Will,Barton,DEN,59,28.3,2.8,1.1,3.2,0.354,0.5,1.4,0.383,0.437,165,NA
201163,Wilson Chandler,Wilson,Chandler,DEN,67,30.8,2.8,1.3,3.4,0.373,0.3,0.9,0.295,0.413,186,NA
201943,Brandon Jennings,Brandon,Jennings,TOTAL,77,22.1,2.8,1.1,3.4,0.317,0.6,1.9,0.3,0.402,213,NA
204001,Kristaps Porzingis,Kristaps,Porzingis,NYK,66,32.8,2.8,1.3,3.3,0.41,0.1,0.2,0.333,0.422,183,NA
201573,Jerryd Bayless,Jerryd,Bayless,PHI,3,23.9,2.7,1.0,4.7,0.214,0.7,1.0,0.667,0.286,8,NA
2225,Tony Parker,Tony,Parker,SAS,59,25.2,2.7,1.4,3.2,0.433,0.0,0.1,0.0,0.433,162,NA
202362,Lance Stephenson,Lance,Stephenson,NOP,6,27.1,2.7,1.3,3.7,0.364,0.0,0.7,0.0,0.364,16,NA
201158,Marco Belinelli,Marco,Belinelli,CHA,74,24.1,2.6,1.1,3.0,0.377,0.4,1.2,0.286,0.435,194,NA
203501,Tim Hardaway Jr.,Tim,Hardaway Jr.,ATL,75,27.0,2.6,1.1,3.1,0.361,0.4,1.3,0.327,0.43,198,NA
2207,Joe Johnson,Joe,Johnson,UTA,74,23.5,2.6,1.2,3.1,0.377,0.2,0.7,0.36,0.416,192,NA
201951,Ty Lawson,Ty,Lawson,SAC,67,24.9,2.6,1.2,3.1,0.393,0.1,0.5,0.25,0.415,175,NA
203085,Austin Rivers,Austin,Rivers,LAC,74,27.8,2.6,1.0,2.8,0.371,0.5,1.5,0.339,0.463,190,NA
201571,D.J. Augustin,D.J.,Augustin,ORL,75,19.8,2.5,1.0,2.9,0.341,0.5,1.6,0.299,0.42,185,NA
1627098,Malcolm Delaney,Malcolm,Delaney,ATL,69,17.0,2.5,1.2,3.0,0.404,0.1,0.4,0.192,0.416,173,NA
201961,Wayne Ellington,Wayne,Ellington,MIA,58,24.1,2.5,1.0,2.6,0.386,0.5,1.3,0.359,0.477,146,NA
201936,Tyreke Evans,Tyreke,Evans,SAC,13,22.6,2.5,0.9,3.1,0.3,0.6,1.7,0.364,0.4,32,NA
202709,Cory Joseph,Cory,Joseph,TOR,76,25.3,2.5,1.2,3.1,0.386,0.1,0.4,0.207,0.398,188,NA
203930,Sean Kilpatrick,Sean,Kilpatrick,BKN,69,25.1,2.5,1.0,2.9,0.35,0.5,1.3,0.344,0.429,174,NA
200794,Paul Millsap,Paul,Millsap,ATL,66,34.1,2.5,1.2,2.7,0.436,0.1,0.3,0.286,0.453,164,NA
1627750,Jamal Murray,Jamal,Murray,DEN,77,20.8,2.5,1.1,3.3,0.321,0.4,1.5,0.271,0.385,194,NA
1717,Dirk Nowitzki,Dirk,Nowitzki,DAL,50,26.6,2.4,1.2,3.0,0.399,0.1,0.4,0.211,0.412,122,NA
1626196,Josh Richardson,Josh,Richardson,MIA,49,29.7,2.4,1.1,2.7,0.417,0.2,0.5,0.32,0.447,118,NA
1626188,Quinn Cook,Quinn,Cook,TOTAL,10,9.0,2.3,0.9,1.2,0.75,0.5,0.6,0.833,0.958,23,NA
201936,Tyreke Evans,Tyreke,Evans,TOTAL,39,19.7,2.3,0.9,2.7,0.318,0.5,1.6,0.344,0.416,89,NA
203898,Tyler Ennis,Tyler,Ennis,LAL,18,15.5,2.3,0.9,2.3,0.405,0.4,1.2,0.381,0.5,42,NA
201933,Blake Griffin,Blake,Griffin,LAC,58,34.2,2.3,1.1,2.9,0.392,0.1,0.3,0.211,0.404,134,NA
201568,Danilo Gallinari,Danilo,Gallinari,DEN,60,33.9,2.3,1.1,3.1,0.344,0.2,0.7,0.244,0.371,138,NA
2594,Kyle Korver,Kyle,Korver,TOTAL,63,26.3,2.3,0.9,2.0,0.46,0.5,1.1,0.426,0.577,143,NA
2594,Kyle Korver,Kyle,Korver,ATL,32,27.9,2.3,0.9,2.3,0.405,0.4,1.2,0.333,0.493,73,NA
2594,Kyle Korver,Kyle,Korver,CLE,31,24.7,2.3,0.9,1.6,0.54,0.5,0.9,0.552,0.7,70,NA
202734,E'Twaun Moore,E'Twaun,Moore,NOP,71,25.2,2.3,1.1,2.7,0.402,0.2,0.4,0.429,0.434,164,NA
202714,Shelvin Mack,Shelvin,Mack,UTA,51,21.4,2.3,1.0,2.7,0.372,0.3,1.0,0.3,0.427,117,NA
202326,DeMarcus Cousins,DeMarcus,Cousins,SAC,55,34.4,2.2,1.0,3.0,0.331,0.2,0.6,0.355,0.365,119,NA
203584,Troy Daniels,Troy,Daniels,MEM,64,17.8,2.2,0.8,2.1,0.402,0.5,1.2,0.459,0.53,140,NA
201936,Tyreke Evans,Tyreke,Evans,NOP,26,18.2,2.2,0.8,2.6,0.328,0.5,1.5,0.333,0.425,57,NA
203953,Jabari Parker,Jabari,Parker,MIL,51,33.8,2.2,1.0,2.9,0.347,0.2,0.4,0.409,0.377,113,NA
202697,Iman Shumpert,Iman,Shumpert,CLE,72,25.6,2.2,1.0,2.1,0.448,0.2,0.6,0.429,0.506,156,NA
201583,Ryan Anderson,Ryan,Anderson,HOU,68,29.8,2.1,0.9,2.6,0.343,0.4,1.2,0.298,0.414,145,NA
203504,Trey Burke,Trey,Burke,WAS,55,12.1,2.1,1.0,2.3,0.427,0.1,0.3,0.389,0.456,113,NA
203109,Jae Crowder,Jae,Crowder,BOS,68,32.4,2.1,0.8,2.4,0.343,0.4,1.1,0.359,0.428,142,NA
1627742,Brandon Ingram,Brandon,Ingram,LAL,75,28.9,2.1,1.0,2.7,0.356,0.1,0.4,0.276,0.376,154,NA
2733,Shaun Livingston,Shaun,Livingston,GSW,73,17.6,2.1,1.0,2.2,0.469,0.0,0.0,0.0,0.469,150,NA
203087,Jeremy Lamb,Jeremy,Lamb,CHA,59,18.0,2.1,0.9,2.8,0.339,0.2,0.7,0.209,0.367,121,NA
1627747,Caris LeVert,Caris,LeVert,BKN,52,21.5,2.1,0.8,2.1,0.396,0.4,1.2,0.312,0.486,108,NA
1626184,Chasson Randle,Chasson,Randle,PHI,8,9.3,2.1,0.9,1.5,0.583,0.4,0.8,0.5,0.708,17,NA
202362,Lance Stephenson,Lance,Stephenson,TOTAL,14,19.5,2.1,1.1,3.0,0.357,0.0,0.3,0.0,0.357,30,NA
200746,LaMarcus Aldridge,LaMarcus,Aldridge,SAS,68,32.5,2.0,1.0,2.9,0.347,0.0,0.1,0.25,0.349,139,NA
202711,Bojan Bogdanovic,Bojan,Bogdanovic,BKN,54,27.1,2.0,0.8,2.7,0.303,0.4,1.4,0.282,0.379,110,NA
202326,DeMarcus Cousins,DeMarcus,Cousins,TOTAL,72,34.2,2.0,0.9,2.8,0.332,0.2,0.6,0.357,0.369,147,NA
203915,Spencer Dinwiddie,Spencer,Dinwiddie,BKN,54,22.5,2.0,0.8,2.2,0.378,0.3,0.9,0.36,0.454,108,NA
101145,Monta Ellis,Monta,Ellis,IND,69,27.1,2.0,0.9,2.5,0.366,0.1,0.3,0.389,0.386,135,NA
101109,Raymond Felton,Raymond,Felton,LAC,77,21.4,2.0,0.9,2.6,0.342,0.2,0.7,0.281,0.381,154,NA
201188,Marc Gasol,Marc,Gasol,MEM,71,34.5,2.0,1.0,2.5,0.403,0.0,0.1,0.333,0.409,144,NA
203932,Aaron Gordon,Aaron,Gordon,ORL,76,28.5,2.0,0.9,3.0,0.305,0.2,0.8,0.226,0.336,152,NA
201945,Gerald Henderson,Gerald,Henderson,PHI,68,23.2,2.0,1.0,2.6,0.377,0.1,0.3,0.217,0.391,137,NA
1627741,Buddy Hield,Buddy,Hield,NOP,57,20.4,2.0,0.8,2.7,0.308,0.4,1.3,0.263,0.372,116,NA
1626166,Cameron Payne,Cameron,Payne,OKC,20,16.0,2.0,0.9,3.1,0.29,0.2,1.0,0.158,0.315,39,NA
NA,Rodney Stuckey,Rodney,Stuckey,IND,39,17.8,2.0,0.9,2.6,0.35,0.2,0.4,0.429,0.379,78,NA
202362,Lance Stephenson,Lance,Stephenson,IND,2,21.6,2.0,1.0,4.0,0.25,0.0,0.0,0.0,0.25,4,NA
203917,Nik Stauskas,Nik,Stauskas,PHI,76,27.4,2.0,0.8,2.5,0.306,0.5,1.6,0.282,0.396,153,NA
1627819,Isaiah Taylor,Isaiah,Taylor,HOU,1,15.4,2.0,1.0,2.0,0.5,0.0,1.0,0.0,0.5,2,NA
101114,Deron Williams,Deron,Williams,CLE,20,19.6,2.0,1.0,2.3,0.413,0.2,0.6,0.25,0.446,41,NA
201166,Aaron Brooks,Aaron,Brooks,IND,60,13.4,1.9,0.8,1.8,0.418,0.4,0.9,0.396,0.514,113,NA
202711,Bojan Bogdanovic,Bojan,Bogdanovic,TOTAL,76,25.8,1.9,0.8,2.3,0.337,0.4,1.2,0.308,0.416,148,NA
203521,Matthew Dellavedova,Matthew,Dellavedova,MIL,73,26.1,1.9,0.8,2.3,0.363,0.2,0.7,0.333,0.411,138,NA
204025,Tim Frazier,Tim,Frazier,NOP,62,23.5,1.9,0.8,2.3,0.352,0.3,1.0,0.305,0.414,120,NA
NA,Jonathan Gibson,Jonathan,Gibson,DAL,17,13.6,1.9,0.8,2.5,0.333,0.2,1.0,0.235,0.381,32,NA
203901,Elfrid Payton,Elfrid,Payton,ORL,78,29.3,1.9,0.9,2.4,0.38,0.1,0.2,0.389,0.399,147,NA
1626166,Cameron Payne,Cameron,Payne,TOTAL,30,15.4,1.9,0.9,2.9,0.295,0.2,1.0,0.207,0.33,58,NA
1626166,Cameron Payne,Cameron,Payne,CHI,10,14.0,1.9,0.8,2.6,0.308,0.3,1.0,0.3,0.365,19,NA
NA,Marcus Thornton,Marcus,Thornton,WAS,33,17.4,1.9,0.8,2.2,0.347,0.4,0.9,0.4,0.431,62,NA
201167,Arron Afflalo,Arron,Afflalo,SAC,59,25.8,1.8,0.9,2.3,0.381,0.1,0.4,0.318,0.407,109,NA
202692,Alec Burks,Alec,Burks,UTA,39,15.9,1.8,0.8,2.1,0.412,0.2,0.6,0.273,0.45,72,NA
1627763,Malcolm Brogdon,Malcolm,Brogdon,MIL,73,26.4,1.8,0.8,2.1,0.382,0.2,0.6,0.356,0.434,132,NA
204020,Tyler Johnson,Tyler,Johnson,MIA,69,29.8,1.8,0.9,2.7,0.333,0.1,0.2,0.25,0.344,126,NA
202711,Bojan Bogdanovic,Bojan,Bogdanovic,WAS,22,22.6,1.7,0.7,1.5,0.485,0.3,0.6,0.462,0.576,38,NA
NA,Toney Douglas,Toney,Douglas,MEM,24,16.4,1.7,0.8,2.6,0.29,0.2,1.2,0.179,0.331,41,NA
1627812,Yogi Ferrell,Yogi,Ferrell,BKN,10,15.2,1.7,0.7,2.5,0.28,0.3,1.4,0.214,0.34,17,NA
101141,Ersan Ilyasova,Ersan,Ilyasova,PHI,53,27.3,1.7,0.7,2.3,0.308,0.3,1.1,0.25,0.367,88,NA
203077,Michael Kidd-Gilchrist,Michael,Kidd-Gilchrist,CHA,78,29.2,1.7,0.9,2.2,0.394,0.0,0.0,0.0,0.394,134,NA
204456,T.J. McConnell,T.J.,McConnell,PHI,77,26.2,1.7,0.8,2.1,0.399,0.0,0.2,0.118,0.405,128,NA
203926,Doug McDermott,Doug,McDermott,CHI,44,24.6,1.7,0.8,2.0,0.416,0.0,0.1,0.333,0.427,76,NA
1626144,Emmanuel Mudiay,Emmanuel,Mudiay,DEN,52,25.7,1.7,0.8,2.9,0.257,0.2,0.9,0.188,0.286,87,NA
202362,Lance Stephenson,Lance,Stephenson,MIN,6,11.2,1.7,0.8,2.0,0.417,0.0,0.0,0.0,0.417,10,NA
NA,Greivis Vasquez,Greivis,Vasquez,BKN,3,12.9,1.7,0.7,1.7,0.4,0.3,0.7,0.5,0.5,5,NA
201228,C.J. Watson,C.J.,Watson,ORL,61,16.4,1.7,0.7,1.7,0.437,0.3,0.6,0.471,0.515,106,NA
1626159,Justise Winslow,Justise,Winslow,MIA,18,34.7,1.7,0.8,2.8,0.3,0.1,0.2,0.25,0.31,31,NA
2571,Leandro Barbosa,Leandro,Barbosa,PHX,65,14.3,1.6,0.8,2.0,0.374,0.1,0.4,0.348,0.405,106,NA
202326,DeMarcus Cousins,DeMarcus,Cousins,NOP,17,33.7,1.6,0.7,2.1,0.333,0.2,0.6,0.364,0.389,28,NA
203459,Allen Crabbe,Allen,Crabbe,POR,78,28.5,1.6,0.8,1.7,0.452,0.0,0.2,0.188,0.463,125,NA
101123,Gerald Green,Gerald,Green,BOS,45,11.4,1.6,0.7,1.9,0.393,0.2,0.6,0.286,0.44,74,NA
204038,Langston Galloway,Langston,Galloway,SAC,15,17.3,1.6,0.8,2.1,0.387,0.0,0.2,0.0,0.387,24,NA
1626170,Jerian Grant,Jerian,Grant,CHI,59,15.6,1.6,0.7,1.8,0.38,0.2,0.6,0.364,0.435,94,NA
201949,James Johnson,James,Johnson,MIA,72,26.9,1.6,0.7,2.0,0.361,0.1,0.7,0.191,0.392,113,NA
201572,Brook Lopez,Brook,Lopez,BKN,72,29.6,1.6,0.7,2.0,0.366,0.2,0.5,0.424,0.415,118,NA
