"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF/C","DeMarcus Cousins",12100,"Sac@LAL 10:30PM ET",53.892,"Sac"
"SF","LeBron James",10500,"Cle@Min 08:00PM ET",52.540,"Cle"
"PF/C","Karl-Anthony Towns",10000,"Cle@Min 08:00PM ET",47.445,"Min"
"SG/SF","Jimmy Butler",8600,"Tor@Chi 08:00PM ET",43.617,"Chi"
"PG","Kyrie Irving",8400,"Cle@Min 08:00PM ET",40.218,"Cle"
"PG","Kyle Lowry",8100,"Tor@Chi 08:00PM ET",43.338,"Tor"
"SG","DeMar DeRozan",8000,"Tor@Chi 08:00PM ET",42.005,"Tor"
"PF/C","Kevin Love",7900,"Cle@Min 08:00PM ET",40.543,"Cle"
"SF","Andrew Wiggins",7600,"Cle@Min 08:00PM ET",33.559,"Min"
"PG/SG","Darren Collison",7100,"Sac@LAL 10:30PM ET",24.686,"Sac"
"PG","Ricky Rubio",6900,"Cle@Min 08:00PM ET",29.423,"Min"
"SG","Dwyane Wade",6700,"Tor@Chi 08:00PM ET",34.417,"Chi"
"PF","Julius Randle",5900,"Sac@LAL 10:30PM ET",29.969,"LAL"
"PG","D'Angelo Russell",5600,"Sac@LAL 10:30PM ET",28.888,"LAL"
"C","Tristan Thompson",5500,"Cle@Min 08:00PM ET",24.821,"Cle"
"C","Jonas Valanciunas",5400,"Tor@Chi 08:00PM ET",28.170,"Tor"
"SG","Lou Williams",5400,"Sac@LAL 10:30PM ET",28.406,"LAL"
"PF/C","Gorgui Dieng",5300,"Cle@Min 08:00PM ET",26.795,"Min"
"PG","Michael Carter-Williams",5200,"Tor@Chi 08:00PM ET",19.927,"Chi"
"SF/PF","Matt Barnes",5100,"Sac@LAL 10:30PM ET",20.159,"Sac"
"PF/C","Taj Gibson",5000,"Tor@Chi 08:00PM ET",24.453,"Chi"
"PF/C","Channing Frye",4900,"Cle@Min 08:00PM ET",16.804,"Cle"
"C","Robin Lopez",4800,"Tor@Chi 08:00PM ET",22.914,"Chi"
"PG","Rajon Rondo",4700,"Tor@Chi 08:00PM ET",25.033,"Chi"
"SG","Ben McLemore",4500,"Sac@LAL 10:30PM ET",10.688,"Sac"
"SG/SF","Kyle Korver",4400,"Cle@Min 08:00PM ET",18.495,"Cle"
"SG","Nick Young",4300,"Sac@LAL 10:30PM ET",21.546,"LAL"
"SF","DeMarre Carroll",4200,"Tor@Chi 08:00PM ET",19.595,"Tor"
"PG","Ty Lawson",4200,"Sac@LAL 10:30PM ET",20.745,"Sac"
"SF","Brandon Ingram",4100,"Sac@LAL 10:30PM ET",17.563,"LAL"
"SF/PF","Larry Nance Jr.",4000,"Sac@LAL 10:30PM ET",19.432,"LAL"
"SG/SF","Norman Powell",3900,"Tor@Chi 08:00PM ET",12.809,"Tor"
"PF","Nikola Mirotic",3900,"Tor@Chi 08:00PM ET",20.047,"Chi"
"SF/PF","Anthony Tolliver",3900,"Sac@LAL 10:30PM ET",15.395,"Sac"
"PF/C","Tarik Black",3900,"Sac@LAL 10:30PM ET",15.585,"LAL"
"SG/SF","Shabazz Muhammad",3800,"Cle@Min 08:00PM ET",14.353,"Min"
"SF","Doug McDermott",3800,"Tor@Chi 08:00PM ET",16.089,"Chi"
"C","Ivica Zubac",3800,"Sac@LAL 10:30PM ET",13.762,"LAL"
"PG/SG","Jordan Clarkson",3700,"Sac@LAL 10:30PM ET",22.777,"LAL"
"PG/SF","Garrett Temple",3700,"Sac@LAL 10:30PM ET",17.735,"Sac"
"PG/SG","Iman Shumpert",3600,"Cle@Min 08:00PM ET",16.745,"Cle"
"PG","Jerian Grant",3600,"Tor@Chi 08:00PM ET",11.767,"Chi"
"SG","Arron Afflalo",3600,"Sac@LAL 10:30PM ET",13.234,"Sac"
"C","Willie Cauley-Stein",3600,"Sac@LAL 10:30PM ET",11.089,"Sac"
"SG","J.R. Smith",3500,"Cle@Min 08:00PM ET",17.321,"Cle"
"PF","Bobby Portis",3500,"Tor@Chi 08:00PM ET",9.595,"Chi"
"SF","Omri Casspi",3500,"Sac@LAL 10:30PM ET",13.614,"Sac"
"C","Kosta Koufos",3500,"Sac@LAL 10:30PM ET",15.886,"Sac"
"SG","DeAndre Liggins",3400,"Cle@Min 08:00PM ET",8.795,"Cle"
"C","Lucas Nogueira",3400,"Tor@Chi 08:00PM ET",17.957,"Tor"
"SF","Derrick Williams",3300,"Cle@Min 08:00PM ET",11.370,"Cle"
"SG/SF","Terrence Ross",3300,"Tor@Chi 08:00PM ET",18.083,"Tor"
"PF","Patrick Patterson",3300,"Tor@Chi 08:00PM ET",18.888,"Tor"
"SF/PF","Richard Jefferson",3200,"Cle@Min 08:00PM ET",10.394,"Cle"
"PF","Nemanja Bjelica",3200,"Cle@Min 08:00PM ET",13.127,"Min"
"PG","Cory Joseph",3200,"Tor@Chi 08:00PM ET",17.420,"Tor"
"SF","Luol Deng",3200,"Sac@LAL 10:30PM ET",19.423,"LAL"
"PG","Kris Dunn",3100,"Cle@Min 08:00PM ET",12.186,"Min"
"PG","Kay Felder",3000,"Cle@Min 08:00PM ET",8.581,"Cle"
"PG","Tyus Jones",3000,"Cle@Min 08:00PM ET",9.176,"Min"
