"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",13400,"Por@OKC 08:00PM ET",64.844,"OKC"
"PG","John Wall",11000,"Was@Pho 09:00PM ET",48.871,"Was"
"PG","Damian Lillard",8800,"Por@OKC 08:00PM ET",43.478,"Por"
"PG","Eric Bledsoe",8200,"Was@Pho 09:00PM ET",40.097,"Pho"
"SG","Bradley Beal",7800,"Was@Pho 09:00PM ET",35.136,"Was"
"PG/SG","C.J. McCollum",7100,"Por@OKC 08:00PM ET",36.619,"Por"
"PG","D'Angelo Russell",7000,"LAL@Dal 08:30PM ET",29.601,"LAL"
"C","Jusuf Nurkic",6800,"Por@OKC 08:00PM ET",21.034,"Por"
"C","Alan Williams",6700,"Was@Pho 09:00PM ET",14.164,"Pho"
"SG","Seth Curry",6600,"LAL@Dal 08:30PM ET",23.263,"Dal"
"PF","Markieff Morris",6500,"Was@Pho 09:00PM ET",29.246,"Was"
"SF/PF","Harrison Barnes",6400,"LAL@Dal 08:30PM ET",30.891,"Dal"
"SF/PF","Otto Porter",6400,"Was@Pho 09:00PM ET",29.955,"Was"
"SG","Devin Booker",6300,"Was@Pho 09:00PM ET",30.919,"Pho"
"PF","Julius Randle",6100,"LAL@Dal 08:30PM ET",30.468,"LAL"
"SF/PF","T.J. Warren",5900,"Was@Pho 09:00PM ET",23.105,"Pho"
"PF/C","Dirk Nowitzki",5800,"LAL@Dal 08:30PM ET",27.431,"Dal"
"SG","Victor Oladipo",5700,"Por@OKC 08:00PM ET",28.750,"OKC"
"C","Enes Kanter",5700,"Por@OKC 08:00PM ET",26.297,"OKC"
"C","Nerlens Noel",5600,"LAL@Dal 08:30PM ET",21.397,"Dal"
"PF","Al-Farouq Aminu",5400,"Por@OKC 08:00PM ET",23.589,"Por"
"SF","Maurice Harkless",5300,"Por@OKC 08:00PM ET",22.640,"Por"
"C","Steven Adams",5200,"Por@OKC 08:00PM ET",27.291,"OKC"
"PG/SG","Jordan Clarkson",5200,"LAL@Dal 08:30PM ET",23.167,"LAL"
"C","Marcin Gortat",5200,"Was@Pho 09:00PM ET",30.824,"Was"
"SG/SF","Wesley Matthews",5100,"LAL@Dal 08:30PM ET",26.430,"Dal"
"PG","Yogi Ferrell",5000,"LAL@Dal 08:30PM ET",19.779,"Dal"
"SG/SF","Bojan Bogdanovic",4900,"Was@Pho 09:00PM ET",22.160,"Was"
"SG/SF","Brandon Ingram",4800,"LAL@Dal 08:30PM ET",17.782,"LAL"
"PF","Marquese Chriss",4700,"Was@Pho 09:00PM ET",16.250,"Pho"
"PG","Tyler Ulis",4600,"Was@Pho 09:00PM ET",9.000,"Pho"
"SG/SF","Evan Turner",4300,"Por@OKC 08:00PM ET",21.465,"Por"
"SG","Nick Young",4000,"LAL@Dal 08:30PM ET",20.808,"LAL"
"PF","Taj Gibson",3900,"Por@OKC 08:00PM ET",23.631,"OKC"
"C","Ivica Zubac",3800,"LAL@Dal 08:30PM ET",13.648,"LAL"
"SF","Andre Roberson",3700,"Por@OKC 08:00PM ET",18.798,"OKC"
"SG/SF","Allen Crabbe",3600,"Por@OKC 08:00PM ET",17.258,"Por"
"PF","Larry Nance Jr.",3600,"LAL@Dal 08:30PM ET",19.097,"LAL"
"SG/SF","Doug McDermott",3500,"Por@OKC 08:00PM ET",16.125,"OKC"
"SG","Alex Abrines",3400,"Por@OKC 08:00PM ET",9.587,"OKC"
"C","Alex Len",3400,"Was@Pho 09:00PM ET",18.846,"Pho"
"PG","J.J. Barea",3300,"LAL@Dal 08:30PM ET",24.167,"Dal"
