"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",13000,"LAL@OKC 08:00PM ET",64.159,"OKC"
"C","Nikola Jokic",10800,"Bkn@Den 09:00PM ET",36.905,"Den"
"PF/C","Karl-Anthony Towns",10500,"Dal@Min 08:00PM ET",47.504,"Min"
"PG","John Wall",10100,"Was@Phi 07:00PM ET",48.625,"Was"
"PG/SF","Giannis Antetokounmpo",9600,"Uta@Mil 08:00PM ET",49.332,"Mil"
"SG/SF","Jimmy Butler",9400,"Pho@Chi 08:00PM ET",43.183,"Chi"
"PG","Isaiah Thomas",9000,"Bos@Tor 08:00PM ET",44.625,"Bos"
"SF","Kawhi Leonard",8700,"SA@LAC 10:30PM ET",42.832,"SA"
"PF","Blake Griffin",8600,"SA@LAC 10:30PM ET",42.858,"LAC"
"PG","Eric Bledsoe",8500,"Pho@Chi 08:00PM ET",40.058,"Pho"
"PG","Kyle Lowry",8400,"Bos@Tor 08:00PM ET",42.825,"Tor"
"PF/C","Joel Embiid",8100,"Was@Phi 07:00PM ET",38.992,"Phi"
"C","Hassan Whiteside",8000,"Mia@Atl 08:00PM ET",41.115,"Mia"
"PG","Chris Paul",8000,"SA@LAC 10:30PM ET",43.972,"LAC"
"SF","Andrew Wiggins",7900,"Dal@Min 08:00PM ET",34.211,"Min"
"SF","Paul George",7900,"Mem@Ind 07:00PM ET",38.225,"Ind"
"SG","DeMar DeRozan",7800,"Bos@Tor 08:00PM ET",41.059,"Tor"
"C","Marc Gasol",7700,"Mem@Ind 07:00PM ET",39.513,"Mem"
"SG/SF","Will Barton",7600,"Bkn@Den 09:00PM ET",27.471,"Den"
"PG","Mike Conley",7500,"Mem@Ind 07:00PM ET",36.614,"Mem"
"PF","Paul Millsap",7400,"Mia@Atl 08:00PM ET",37.787,"Atl"
"SF","Gordon Hayward",7300,"Uta@Mil 08:00PM ET",36.784,"Uta"
"SG","Dwyane Wade",7200,"Pho@Chi 08:00PM ET",34.417,"Chi"
"C","Rudy Gobert",7100,"Uta@Mil 08:00PM ET",36.719,"Uta"
"SG","Bradley Beal",7100,"Was@Phi 07:00PM ET",34.328,"Was"
"PG","Jeff Teague",7000,"Mem@Ind 07:00PM ET",35.934,"Ind"
"PF","Markieff Morris",7000,"Was@Phi 07:00PM ET",29.401,"Was"
"SG/SF","Dion Waiters",6900,"Mia@Atl 08:00PM ET",29.404,"Mia"
"SF/PF","Wilson Chandler",6900,"Bkn@Den 09:00PM ET",29.775,"Den"
"C","Brook Lopez",6900,"Bkn@Den 09:00PM ET",35.426,"Bkn"
"PG","Goran Dragic",6800,"Mia@Atl 08:00PM ET",36.214,"Mia"
"C","Dwight Howard",6800,"Mia@Atl 08:00PM ET",35.897,"Atl"
"PG","Jameer Nelson",6700,"Bkn@Den 09:00PM ET",21.232,"Den"
"SG","Devin Booker",6700,"Pho@Chi 08:00PM ET",31.263,"Pho"
"PG","D'Angelo Russell",6600,"LAL@OKC 08:00PM ET",28.667,"LAL"
"SG","Victor Oladipo",6500,"LAL@OKC 08:00PM ET",28.750,"OKC"
"PG","Ricky Rubio",6500,"Dal@Min 08:00PM ET",29.490,"Min"
"C","Steven Adams",6400,"LAL@OKC 08:00PM ET",27.455,"OKC"
"SF/PF","Otto Porter",6400,"Was@Phi 07:00PM ET",30.514,"Was"
"SF/PF","Dario Saric",6400,"Was@Phi 07:00PM ET",22.513,"Phi"
"C","Marcin Gortat",6400,"Was@Phi 07:00PM ET",31.877,"Was"
"PF","LaMarcus Aldridge",6400,"SA@LAC 10:30PM ET",33.000,"SA"
"C","Al Horford",6400,"Bos@Tor 08:00PM ET",34.839,"Bos"
"SF/PF","Robert Covington",6300,"Was@Phi 07:00PM ET",27.640,"Phi"
"PG","Dennis Schroder",6200,"Mia@Atl 08:00PM ET",31.714,"Atl"
"PG","George Hill",6100,"Uta@Mil 08:00PM ET",30.602,"Uta"
"PF","Julius Randle",6000,"LAL@OKC 08:00PM ET",29.895,"LAL"
"SF/PF","Harrison Barnes",6000,"Dal@Min 08:00PM ET",30.879,"Dal"
"C","DeAndre Jordan",6000,"SA@LAC 10:30PM ET",35.000,"LAC"
"PF","Serge Ibaka",6000,"Bos@Tor 08:00PM ET",30.045,"Tor"
"PF","James Johnson",5900,"Mia@Atl 08:00PM ET",26.841,"Mia"
"PG/SG","Marcus Smart",5800,"Bos@Tor 08:00PM ET",25.986,"Bos"
"PG/SG","Tim Hardaway Jr.",5700,"Mia@Atl 08:00PM ET",21.417,"Atl"
"SG/SF","Wesley Matthews",5600,"Dal@Min 08:00PM ET",26.958,"Dal"
"C","Greg Monroe",5500,"Uta@Mil 08:00PM ET",26.315,"Mil"
"SG","Gary Harris",5500,"Bkn@Den 09:00PM ET",24.220,"Den"
"SF","Danilo Gallinari",5500,"Bkn@Den 09:00PM ET",28.794,"Den"
"PF/C","Nerlens Noel",5500,"Dal@Min 08:00PM ET",20.931,"Dal"
"C","Dirk Nowitzki",5500,"Dal@Min 08:00PM ET",27.075,"Dal"
"PG","Michael Carter-Williams",5500,"Pho@Chi 08:00PM ET",19.942,"Chi"
"C","Myles Turner",5500,"Mem@Ind 07:00PM ET",32.138,"Ind"
"PG","T.J. McConnell",5500,"Was@Phi 07:00PM ET",21.723,"Phi"
"SG","Avery Bradley",5400,"Bos@Tor 08:00PM ET",33.458,"Bos"
"SF","Jae Crowder",5400,"Bos@Tor 08:00PM ET",27.048,"Bos"
"C","Mason Plumlee",5300,"Bkn@Den 09:00PM ET",30.504,"Den"
"C","Enes Kanter",5300,"LAL@OKC 08:00PM ET",26.154,"OKC"
"PG","Yogi Ferrell",5300,"Dal@Min 08:00PM ET",19.200,"Dal"
"PF/C","Zach Randolph",5300,"Mem@Ind 07:00PM ET",28.235,"Mem"
"PF/C","Gorgui Dieng",5200,"Dal@Min 08:00PM ET",26.746,"Min"
"PF","Thaddeus Young",5200,"Mem@Ind 07:00PM ET",26.031,"Ind"
"C","Jahlil Okafor",5200,"Was@Phi 07:00PM ET",21.197,"Phi"
"C","Jonas Valanciunas",5200,"Bos@Tor 08:00PM ET",28.041,"Tor"
"PG/SG","Austin Rivers",5100,"SA@LAC 10:30PM ET",21.295,"LAC"
"PG/SG","Tyler Johnson",5000,"Mia@Atl 08:00PM ET",27.923,"Mia"
"PF/C","Derrick Favors",5000,"Uta@Mil 08:00PM ET",21.431,"Uta"
"PG","Jeremy Lin",5000,"Bkn@Den 09:00PM ET",30.313,"Bkn"
"SF/PF","Rondae Hollis-Jefferson",5000,"Bkn@Den 09:00PM ET",19.712,"Bkn"
"PF/C","Taj Gibson",5000,"LAL@OKC 08:00PM ET",24.377,"OKC"
"PF","Bobby Portis",5000,"Pho@Chi 08:00PM ET",10.186,"Chi"
"C","Tyson Chandler",5000,"Pho@Chi 08:00PM ET",25.830,"Pho"
"PF/C","Kelly Olynyk",5000,"Bos@Tor 08:00PM ET",20.525,"Bos"
"PF","Ersan Ilyasova",4900,"Mia@Atl 08:00PM ET",26.580,"Atl"
"SF/PF","Michael Beasley",4900,"Uta@Mil 08:00PM ET",16.739,"Mil"
"C","Pau Gasol",4900,"SA@LAC 10:30PM ET",28.686,"SA"
"PF","Juancho Hernangomez",4800,"Bkn@Den 09:00PM ET",10.183,"Den"
"PG/SG","Jordan Clarkson",4800,"LAL@OKC 08:00PM ET",22.741,"LAL"
"PG","Deron Williams",4800,"Dal@Min 08:00PM ET",27.550,"Dal"
"C","Dewayne Dedmon",4800,"SA@LAC 10:30PM ET",16.945,"SA"
"C","Robin Lopez",4700,"Pho@Chi 08:00PM ET",22.969,"Chi"
"SF","DeMarre Carroll",4700,"Bos@Tor 08:00PM ET",19.885,"Tor"
"PF","Trevor Booker",4600,"Bkn@Den 09:00PM ET",27.230,"Bkn"
"PF","Kenneth Faried",4600,"Bkn@Den 09:00PM ET",23.677,"Den"
"SG","Nick Young",4600,"LAL@OKC 08:00PM ET",21.314,"LAL"
"SF/PF","T.J. Warren",4600,"Pho@Chi 08:00PM ET",22.125,"Pho"
"SG/SF","Kent Bazemore",4500,"Mia@Atl 08:00PM ET",22.468,"Atl"
"SG","Seth Curry",4500,"Dal@Min 08:00PM ET",21.865,"Dal"
"PG","Rajon Rondo",4500,"Pho@Chi 08:00PM ET",24.880,"Chi"
"SF","Khris Middleton",4400,"Uta@Mil 08:00PM ET",23.000,"Mil"
"PF","Richaun Holmes",4400,"Was@Phi 07:00PM ET",15.419,"Phi"
"SF/PF","P.J. Tucker",4400,"Bos@Tor 08:00PM ET",19.991,"Tor"
"PG","Emmanuel Mudiay",4300,"Bkn@Den 09:00PM ET",23.994,"Den"
"SG","Sean Kilpatrick",4300,"Bkn@Den 09:00PM ET",23.291,"Bkn"
"SG","J.J. Redick",4300,"SA@LAC 10:30PM ET",22.190,"LAC"
