"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",11600,"Hou@Chi 08:00PM ET",59.814,"Hou"
"PF/C","Karl-Anthony Towns",10600,"GS@Min 08:00PM ET",48.222,"Min"
"C","Nikola Jokic",10300,"Bos@Den 09:00PM ET",37.664,"Den"
"PG/SF","Giannis Antetokounmpo",10100,"Ind@Mil 08:00PM ET",49.349,"Mil"
"PG","John Wall",10000,"Was@Sac 10:30PM ET",49.129,"Was"
"PG","Stephen Curry",9900,"GS@Min 08:00PM ET",44.277,"GS"
"SF","Jimmy Butler",9400,"Hou@Chi 08:00PM ET",43.072,"Chi"
"PG","Isaiah Thomas",8700,"Bos@Den 09:00PM ET",44.190,"Bos"
"SG","DeMar DeRozan",8500,"Tor@Atl 08:00PM ET",41.138,"Tor"
"SF","Kevin Durant",8400,"GS@Min 08:00PM ET",48.813,"GS"
"PG","Kemba Walker",8100,"Orl@Cha 07:00PM ET",39.535,"Cha"
"PF/C","Draymond Green",8000,"GS@Min 08:00PM ET",38.056,"GS"
"SF","Paul George",7800,"Ind@Mil 08:00PM ET",37.957,"Ind"
"PG","Kyle Lowry",7600,"Tor@Atl 08:00PM ET",42.825,"Tor"
"SG","Bradley Beal",7500,"Was@Sac 10:30PM ET",35.114,"Was"
"PF/C","Paul Millsap",7400,"Tor@Atl 08:00PM ET",37.734,"Atl"
"SF","Andrew Wiggins",7400,"GS@Min 08:00PM ET",34.230,"Min"
"C","Nikola Vucevic",7300,"Orl@Cha 07:00PM ET",34.860,"Orl"
"SF/PF","Wilson Chandler",7100,"Bos@Den 09:00PM ET",30.121,"Den"
"SG","Klay Thompson",7000,"GS@Min 08:00PM ET",32.627,"GS"
"PG","Elfrid Payton",7000,"Orl@Cha 07:00PM ET",29.285,"Orl"
"C","Dwight Howard",6900,"Tor@Atl 08:00PM ET",35.686,"Atl"
"PG","Ricky Rubio",6900,"GS@Min 08:00PM ET",30.789,"Min"
