"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",12600,"LAL@Hou 08:00PM ET",59.949,"Hou"
"PF/C","Karl-Anthony Towns",10900,"Min@Bos 07:30PM ET",48.523,"Min"
"PF/C","Anthony Davis",10400,"NO@Mia 07:30PM ET",53.199,"NO"
"SF","Kawhi Leonard",9800,"Por@SA 08:00PM ET",43.417,"SA"
"PG","John Wall",9700,"Dal@Was 07:00PM ET",49.077,"Was"
"PG/SF","Giannis Antetokounmpo",9600,"Mil@LAC 10:30PM ET",48.867,"Mil"
"PF/C","DeMarcus Cousins",9500,"NO@Mia 07:30PM ET",51.938,"NO"
"SF","Jimmy Butler",8800,"Mem@Chi 08:00PM ET",42.738,"Chi"
"PG","Kemba Walker",8600,"Cha@Ind 07:00PM ET",39.653,"Cha"
"PG","Isaiah Thomas",8500,"Min@Bos 07:30PM ET",43.836,"Bos"
"PG/SG","Eric Bledsoe",8400,"Sac@Pho 10:00PM ET",39.621,"Pho"
"SF","Paul George",8300,"Cha@Ind 07:00PM ET",38.242,"Ind"
"PG","Damian Lillard",8300,"Por@SA 08:00PM ET",43.344,"Por"
"PG","Chris Paul",8200,"Mil@LAC 10:30PM ET",43.201,"LAC"
"C","Hassan Whiteside",8100,"NO@Mia 07:30PM ET",41.101,"Mia"
"PF/C","Blake Griffin",7900,"Mil@LAC 10:30PM ET",42.160,"LAC"
"SG","Bradley Beal",7700,"Dal@Was 07:00PM ET",35.722,"Was"
"PG","Mike Conley",7600,"Mem@Chi 08:00PM ET",37.118,"Mem"
"C","Marc Gasol",7600,"Mem@Chi 08:00PM ET",38.792,"Mem"
"PG","D'Angelo Russell",7500,"LAL@Hou 08:00PM ET",29.922,"LAL"
"PG","Ricky Rubio",7400,"Min@Bos 07:30PM ET",31.596,"Min"
"PF/C","Julius Randle",7300,"LAL@Hou 08:00PM ET",31.042,"LAL"
"SF","Gordon Hayward",7200,"Uta@Det 07:30PM ET",36.373,"Uta"
"PG","Goran Dragic",7200,"NO@Mia 07:30PM ET",35.978,"Mia"
"SG/SF","Dion Waiters",7100,"NO@Mia 07:30PM ET",29.625,"Mia"
"PG","Jrue Holiday",7000,"NO@Mia 07:30PM ET",35.702,"NO"
"SG/SF","Nicolas Batum",7000,"Cha@Ind 07:00PM ET",35.643,"Cha"
"PG/SG","C.J. McCollum",7000,"Por@SA 08:00PM ET",36.246,"Por"
"SF","Andrew Wiggins",6900,"Min@Bos 07:30PM ET",33.807,"Min"
"C","Rudy Gobert",6900,"Uta@Det 07:30PM ET",37.030,"Uta"
"C","Andre Drummond",6800,"Uta@Det 07:30PM ET",39.277,"Det"
"C","Jusuf Nurkic",6700,"Por@SA 08:00PM ET",22.455,"Por"
"SG","Devin Booker",6700,"Sac@Pho 10:00PM ET",31.424,"Pho"
"C","DeAndre Jordan",6600,"Mil@LAC 10:30PM ET",35.063,"LAC"
"PG","Jeff Teague",6500,"Cha@Ind 07:00PM ET",35.093,"Ind"
"PF","Marvin Williams",6500,"Cha@Ind 07:00PM ET",24.959,"Cha"
"SF/PF","Harrison Barnes",6400,"Dal@Was 07:00PM ET",30.678,"Dal"
"PF","LaMarcus Aldridge",6400,"Por@SA 08:00PM ET",32.815,"SA"
"SG","Seth Curry",6300,"Dal@Was 07:00PM ET",23.129,"Dal"
"C","Alan Williams",6300,"Sac@Pho 10:00PM ET",16.053,"Pho"
"SG","Dwyane Wade",6200,"Mem@Chi 08:00PM ET",33.987,"Chi"
"PF/C","Dirk Nowitzki",6200,"Dal@Was 07:00PM ET",28.219,"Dal"
"PG","Darren Collison",6200,"Sac@Pho 10:00PM ET",25.233,"Sac"
"SF/PF","Otto Porter",6100,"Dal@Was 07:00PM ET",29.985,"Was"
"SF","Khris Middleton",6100,"Mil@LAC 10:30PM ET",27.143,"Mil"
"PG","George Hill",6000,"Uta@Det 07:30PM ET",30.694,"Uta"
"PF","Markieff Morris",6000,"Dal@Was 07:00PM ET",28.789,"Was"
"SF/PF","T.J. Warren",6000,"Sac@Pho 10:00PM ET",23.796,"Pho"
"PG/SG","Patrick Beverley",5900,"LAL@Hou 08:00PM ET",27.599,"Hou"
"PG/SG","Jordan Clarkson",5900,"LAL@Hou 08:00PM ET",23.810,"LAL"
"SG","Avery Bradley",5800,"Min@Bos 07:30PM ET",31.727,"Bos"
"PF/C","James Johnson",5800,"NO@Mia 07:30PM ET",27.016,"Mia"
"C","Al Horford",5700,"Min@Bos 07:30PM ET",33.774,"Bos"
"SF/PF","Tobias Harris",5700,"Uta@Det 07:30PM ET",27.899,"Det"
"PG/SG","Lou Williams",5700,"LAL@Hou 08:00PM ET",28.063,"Hou"
"PF/C","Frank Kaminsky",5700,"Cha@Ind 07:00PM ET",23.067,"Cha"
"C","Myles Turner",5700,"Cha@Ind 07:00PM ET",31.617,"Ind"
"SG/SF","Tyreke Evans",5700,"Sac@Pho 10:00PM ET",22.136,"Sac"
"SG","Jeremy Lamb",5600,"Cha@Ind 07:00PM ET",18.410,"Cha"
"C","Pau Gasol",5600,"Por@SA 08:00PM ET",28.668,"SA"
"PF/C","Willie Cauley-Stein",5600,"Sac@Pho 10:00PM ET",14.171,"Sac"
"SF","Jae Crowder",5500,"Min@Bos 07:30PM ET",27.123,"Bos"
"C","Nerlens Noel",5500,"Dal@Was 07:00PM ET",21.786,"Dal"
"C","Clint Capela",5500,"LAL@Hou 08:00PM ET",26.707,"Hou"
"PG","Tyler Johnson",5500,"NO@Mia 07:30PM ET",27.405,"Mia"
"PF/C","David Lee",5500,"Por@SA 08:00PM ET",18.427,"SA"
"PG","Reggie Jackson",5400,"Uta@Det 07:30PM ET",27.179,"Det"
"SF/PF","Marcus Morris",5400,"Uta@Det 07:30PM ET",26.133,"Det"
"PF/C","Zach Randolph",5400,"Mem@Chi 08:00PM ET",28.199,"Mem"
"SG","Eric Gordon",5400,"LAL@Hou 08:00PM ET",27.143,"Hou"
"PG","Rajon Rondo",5300,"Mem@Chi 08:00PM ET",25.189,"Chi"
"C","Ivica Zubac",5300,"LAL@Hou 08:00PM ET",15.333,"LAL"
"PG","Patty Mills",5300,"Por@SA 08:00PM ET",19.238,"SA"
"PF/C","Gorgui Dieng",5200,"Min@Bos 07:30PM ET",26.515,"Min"
"C","Greg Monroe",5200,"Mil@LAC 10:30PM ET",26.423,"Mil"
"PG/SG","Marcus Smart",5100,"Min@Bos 07:30PM ET",25.883,"Bos"
"SG","Kentavious Caldwell-Pope",5100,"Uta@Det 07:30PM ET",25.774,"Det"
"SF/PF","Trevor Ariza",5100,"LAL@Hou 08:00PM ET",26.828,"Hou"
"SF","Michael Kidd-Gilchrist",5100,"Cha@Ind 07:00PM ET",24.326,"Cha"
"C","Cody Zeller",5100,"Cha@Ind 07:00PM ET",24.245,"Cha"
"PF","Al-Farouq Aminu",5100,"Por@SA 08:00PM ET",23.452,"Por"
"PF/C","Derrick Favors",5000,"Uta@Det 07:30PM ET",22.053,"Uta"
"C","Marcin Gortat",5000,"Dal@Was 07:00PM ET",30.170,"Was"
"SF","Brandon Ingram",5000,"LAL@Hou 08:00PM ET",18.228,"LAL"
"SG/SF","Wesley Matthews",4900,"Dal@Was 07:00PM ET",25.934,"Dal"
"PF","Ryan Anderson",4900,"LAL@Hou 08:00PM ET",23.802,"Hou"
"PF","Marquese Chriss",4900,"Sac@Pho 10:00PM ET",16.672,"Pho"
"PG","Yogi Ferrell",4800,"Dal@Was 07:00PM ET",20.233,"Dal"
"PG/SG","Malcolm Brogdon",4800,"Mil@LAC 10:30PM ET",21.855,"Mil"
"PG","Ty Lawson",4800,"Sac@Pho 10:00PM ET",21.121,"Sac"
"SG","Rodney Hood",4700,"Uta@Det 07:30PM ET",22.448,"Uta"
"SG/SF","Josh Richardson",4700,"NO@Mia 07:30PM ET",20.414,"Mia"
"PG","Tyler Ulis",4700,"Sac@Pho 10:00PM ET",9.832,"Pho"
"SF","Maurice Harkless",4600,"Por@SA 08:00PM ET",22.206,"Por"
"SG","Buddy Hield",4600,"Sac@Pho 10:00PM ET",16.410,"Sac"
"SG/SF","Bojan Bogdanovic",4500,"Dal@Was 07:00PM ET",22.174,"Was"
"PF","Nemanja Bjelica",4400,"Min@Bos 07:30PM ET",14.750,"Min"
"SF/PF","Michael Beasley",4400,"Mil@LAC 10:30PM ET",17.030,"Mil"
"SG","Jordan Crawford",4300,"NO@Mia 07:30PM ET",24.063,"NO"
"PF","Thaddeus Young",4300,"Cha@Ind 07:00PM ET",24.525,"Ind"
