"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",10900,"Uta@Hou 08:00PM ET",59.935,"Hou"
"PG","John Wall",10700,"Was@Den 09:00PM ET",49.094,"Was"
"PF/C","Karl-Anthony Towns",10600,"LAC@Min 08:00PM ET",48.177,"Min"
"C","Nikola Jokic",10300,"Was@Den 09:00PM ET",37.664,"Den"
"PF/C","Anthony Davis",10200,"Tor@NO 08:00PM ET",53.484,"NO"
"PG","Stephen Curry",10100,"Bos@GS 10:30PM ET",44.357,"GS"
"SF","Kawhi Leonard",10000,"Sac@SA 08:30PM ET",43.711,"SA"
"PF/C","DeMarcus Cousins",9900,"Tor@NO 08:00PM ET",52.565,"NO"
"PG/SF","Giannis Antetokounmpo",9800,"NY@Mil 08:00PM ET",48.988,"Mil"
"SG/SF","Jimmy Butler",9200,"Chi@Orl 07:00PM ET",43.082,"Chi"
"PG","Isaiah Thomas",8800,"Bos@GS 10:30PM ET",44.324,"Bos"
"SG","DeMar DeRozan",8700,"Tor@NO 08:00PM ET",41.377,"Tor"
"PF","Blake Griffin",8600,"LAC@Min 08:00PM ET",42.948,"LAC"
"PG","Chris Paul",8500,"LAC@Min 08:00PM ET",43.375,"LAC"
"SF","Kevin Durant",8400,"Bos@GS 10:30PM ET",48.813,"GS"
"PF/C","Draymond Green",8200,"Bos@GS 10:30PM ET",38.074,"GS"
"SF","Paul George",8100,"Det@Ind 08:00PM ET",38.009,"Ind"
"PG","Kemba Walker",8000,"Cha@Mia 07:30PM ET",39.456,"Cha"
"SF","Gordon Hayward",7900,"Uta@Hou 08:00PM ET",36.634,"Uta"
"SG","Bradley Beal",7800,"Was@Den 09:00PM ET",35.095,"Was"
"PF/C","Paul Millsap",7700,"Bkn@Atl 07:30PM ET",37.746,"Atl"
"C","Hassan Whiteside",7700,"Cha@Mia 07:30PM ET",40.894,"Mia"
"SF/PF","Carmelo Anthony",7600,"NY@Mil 08:00PM ET",37.579,"NY"
"C","Rudy Gobert",7600,"Uta@Hou 08:00PM ET",37.074,"Uta"
"PG","Kyle Lowry",7600,"Tor@NO 08:00PM ET",42.825,"Tor"
"SF","Andrew Wiggins",7500,"LAC@Min 08:00PM ET",34.323,"Min"
"C","Andre Drummond",7500,"Det@Ind 08:00PM ET",39.133,"Det"
"C","Dwight Howard",7400,"Bkn@Atl 07:30PM ET",35.690,"Atl"
"C","Nikola Vucevic",7300,"Chi@Orl 07:00PM ET",34.860,"Orl"
"PG","Goran Dragic",7200,"Cha@Mia 07:30PM ET",35.969,"Mia"
"PF/C","Kristaps Porzingis",7100,"NY@Mil 08:00PM ET",34.671,"NY"
"SG/SF","Nicolas Batum",7100,"Cha@Mia 07:30PM ET",35.500,"Cha"
"SG","Klay Thompson",7000,"Bos@GS 10:30PM ET",32.476,"GS"
"PF/C","Frank Kaminsky",6900,"Cha@Mia 07:30PM ET",23.322,"Cha"
"SF/PF","Wilson Chandler",6800,"Was@Den 09:00PM ET",30.044,"Den"
"PG","Jrue Holiday",6800,"Tor@NO 08:00PM ET",36.066,"NO"
"PG","Dennis Schroder",6700,"Bkn@Atl 07:30PM ET",31.766,"Atl"
"C","DeAndre Jordan",6700,"LAC@Min 08:00PM ET",34.945,"LAC"
"SG","Dwyane Wade",6700,"Chi@Orl 07:00PM ET",34.340,"Chi"
"PG","Jeff Teague",6700,"Det@Ind 08:00PM ET",35.647,"Ind"
"SF","Khris Middleton",6600,"NY@Mil 08:00PM ET",26.875,"Mil"
"PG","George Hill",6600,"Uta@Hou 08:00PM ET",30.829,"Uta"
"PF/C","Serge Ibaka",6600,"Tor@NO 08:00PM ET",30.319,"Tor"
"PF","Markieff Morris",6500,"Was@Den 09:00PM ET",28.950,"Was"
"PG","Ricky Rubio",6500,"LAC@Min 08:00PM ET",30.527,"Min"
"PF","LaMarcus Aldridge",6500,"Sac@SA 08:30PM ET",32.965,"SA"
"PG","Derrick Rose",6400,"NY@Mil 08:00PM ET",30.455,"NY"
"SF/PF","Otto Porter",6400,"Was@Den 09:00PM ET",29.677,"Was"
"SG/SF","Dion Waiters",6300,"Cha@Mia 07:30PM ET",29.085,"Mia"
"C","Brook Lopez",6200,"Bkn@Atl 07:30PM ET",34.649,"Bkn"
"PG","Elfrid Payton",6100,"Chi@Orl 07:00PM ET",28.605,"Orl"
"SF","Danilo Gallinari",6000,"Was@Den 09:00PM ET",29.113,"Den"
"PF","Aaron Gordon",6000,"Chi@Orl 07:00PM ET",22.911,"Orl"
"SF/PF","Marcus Morris",6000,"Det@Ind 08:00PM ET",26.448,"Det"
"C","Greg Monroe",5900,"NY@Mil 08:00PM ET",26.336,"Mil"
"PF/C","James Johnson",5800,"Cha@Mia 07:30PM ET",26.987,"Mia"
"SG","Tim Hardaway Jr.",5700,"Bkn@Atl 07:30PM ET",22.008,"Atl"
"C","Al Horford",5600,"Bos@GS 10:30PM ET",34.010,"Bos"
"PG","Tyler Johnson",5600,"Cha@Mia 07:30PM ET",28.109,"Mia"
"C","Myles Turner",5600,"Det@Ind 08:00PM ET",31.694,"Ind"
"PG/SG","Malcolm Brogdon",5500,"NY@Mil 08:00PM ET",21.839,"Mil"
"C","Guillermo Hernangomez",5500,"NY@Mil 08:00PM ET",17.787,"NY"
"SF","Jae Crowder",5500,"Bos@GS 10:30PM ET",27.250,"Bos"
"SG","Evan Fournier",5500,"Chi@Orl 07:00PM ET",27.029,"Orl"
"C","Bismack Biyombo",5500,"Chi@Orl 07:00PM ET",19.464,"Orl"
"PF/C","Derrick Favors",5500,"Uta@Hou 08:00PM ET",22.053,"Uta"
"SG","Kentavious Caldwell-Pope",5500,"Det@Ind 08:00PM ET",26.405,"Det"
"SG","Andre Iguodala",5400,"Bos@GS 10:30PM ET",19.869,"GS"
"PF","Marvin Williams",5400,"Cha@Mia 07:30PM ET",23.465,"Cha"
"C","Cody Zeller",5400,"Cha@Mia 07:30PM ET",24.262,"Cha"
"SF/PF","Tobias Harris",5400,"Det@Ind 08:00PM ET",27.484,"Det"
"C","Pau Gasol",5400,"Sac@SA 08:30PM ET",28.833,"SA"
"SG","Gary Harris",5300,"Was@Den 09:00PM ET",24.346,"Den"
"SF","Terrence Ross",5300,"Chi@Orl 07:00PM ET",19.008,"Orl"
"PG/SG","Cory Joseph",5300,"Tor@NO 08:00PM ET",18.102,"Tor"
"C","Marcin Gortat",5200,"Was@Den 09:00PM ET",30.540,"Was"
"PG/SG","Marcus Smart",5200,"Bos@GS 10:30PM ET",26.025,"Bos"
"C","Mason Plumlee",5100,"Was@Den 09:00PM ET",29.698,"Den"
"PF/C","Gorgui Dieng",5100,"LAC@Min 08:00PM ET",26.645,"Min"
"SG","Avery Bradley",5100,"Bos@GS 10:30PM ET",31.931,"Bos"
"PG","Reggie Jackson",5100,"Det@Ind 08:00PM ET",27.232,"Det"
"SG/SF","Bojan Bogdanovic",5000,"Was@Den 09:00PM ET",22.476,"Was"
"PG/SG","Patrick Beverley",5000,"Uta@Hou 08:00PM ET",27.890,"Hou"
"SF","Michael Kidd-Gilchrist",5000,"Cha@Mia 07:30PM ET",24.448,"Cha"
"PG/SG","Darren Collison",5000,"Sac@SA 08:30PM ET",24.964,"Sac"
"SG","Courtney Lee",4900,"NY@Mil 08:00PM ET",20.831,"NY"
"PG","Jameer Nelson",4900,"Was@Den 09:00PM ET",21.141,"Den"
"PG","Rajon Rondo",4900,"Chi@Orl 07:00PM ET",25.217,"Chi"
"PG","Ty Lawson",4900,"Sac@SA 08:30PM ET",21.351,"Sac"
"PF/C","Willie Cauley-Stein",4900,"Sac@SA 08:30PM ET",13.170,"Sac"
"SG/SF","Will Barton",4800,"Was@Den 09:00PM ET",26.816,"Den"
"PG/SF","Tyreke Evans",4800,"Sac@SA 08:30PM ET",21.427,"Sac"
"SG","Rodney Hood",4700,"Uta@Hou 08:00PM ET",22.833,"Uta"
"C","Clint Capela",4700,"Uta@Hou 08:00PM ET",26.490,"Hou"
"SG/SF","Kent Bazemore",4600,"Bkn@Atl 07:30PM ET",22.258,"Atl"
"SG","Sean Kilpatrick",4600,"Bkn@Atl 07:30PM ET",23.172,"Bkn"
"PF/C","Trevor Booker",4600,"Bkn@Atl 07:30PM ET",26.904,"Bkn"
"PF","Bobby Portis",4600,"Chi@Orl 07:00PM ET",11.833,"Chi"
"PG/SG","Lou Williams",4600,"Uta@Hou 08:00PM ET",28.254,"Hou"
"PG","Ish Smith",4600,"Det@Ind 08:00PM ET",21.448,"Det"
"PF","Jon Leuer",4600,"Det@Ind 08:00PM ET",22.289,"Det"
"PG","Jeremy Lin",4500,"Bkn@Atl 07:30PM ET",27.208,"Bkn"
"SF/PF","Michael Beasley",4500,"NY@Mil 08:00PM ET",17.030,"Mil"
"SG/SF","Joe Ingles",4500,"Uta@Hou 08:00PM ET",16.516,"Uta"
"PF","Rondae Hollis-Jefferson",4400,"Bkn@Atl 07:30PM ET",20.241,"Bkn"
"C","Jonas Valanciunas",4400,"Tor@NO 08:00PM ET",27.098,"Tor"
"PF/C","Ersan Ilyasova",4300,"Bkn@Atl 07:30PM ET",25.790,"Atl"
"SG","Eric Gordon",4300,"Uta@Hou 08:00PM ET",27.392,"Hou"
"SF/PF","Trevor Ariza",4300,"Uta@Hou 08:00PM ET",26.773,"Hou"
"SG/SF","Jaylen Brown",4200,"Bos@GS 10:30PM ET",12.463,"Bos"
"PF/C","Amir Johnson",4200,"Bos@GS 10:30PM ET",17.250,"Bos"
"C","Robin Lopez",4200,"Chi@Orl 07:00PM ET",22.885,"Chi"
"SG/SF","Josh Richardson",4200,"Cha@Mia 07:30PM ET",20.679,"Mia"
"PF","Lance Thomas",4100,"NY@Mil 08:00PM ET",11.526,"NY"
"PF","Kenneth Faried",4100,"Was@Den 09:00PM ET",23.546,"Den"
"PG","Tony Parker",4100,"Sac@SA 08:30PM ET",20.776,"SA"
"SG/SF","Thabo Sefolosha",4000,"Bkn@Atl 07:30PM ET",19.554,"Atl"
"C","Kyle O'Quinn",4000,"NY@Mil 08:00PM ET",18.774,"NY"
"SG","J.J. Redick",4000,"LAC@Min 08:00PM ET",21.683,"LAC"
"SF/PF","Nemanja Bjelica",4000,"LAC@Min 08:00PM ET",14.142,"Min"
"PF","Nikola Mirotic",4000,"Chi@Orl 07:00PM ET",20.162,"Chi"
"PF","Ryan Anderson",4000,"Uta@Hou 08:00PM ET",23.627,"Hou"
"SG/SF","C.J. Miles",4000,"Det@Ind 08:00PM ET",18.649,"Ind"
"PF","Thaddeus Young",4000,"Det@Ind 08:00PM ET",24.773,"Ind"
"SF","P.J. Tucker",4000,"Tor@NO 08:00PM ET",19.563,"Tor"
"PG/SG","Matthew Dellavedova",3900,"NY@Mil 08:00PM ET",18.969,"Mil"
"PG/SG","Jamal Murray",3900,"Was@Den 09:00PM ET",16.325,"Den"
"SG","Jamal Crawford",3900,"LAC@Min 08:00PM ET",20.325,"LAC"
"C","Zaza Pachulia",3900,"Bos@GS 10:30PM ET",18.995,"GS"
"PG","Michael Carter-Williams",3900,"Chi@Orl 07:00PM ET",18.964,"Chi"
"SG","Monta Ellis",3900,"Det@Ind 08:00PM ET",18.859,"Ind"
"PF","Terrence Jones",3800,"NY@Mil 08:00PM ET",24.113,"Mil"
"PG/SG","Austin Rivers",3800,"LAC@Min 08:00PM ET",20.943,"LAC"
"PF/C","Kelly Olynyk",3800,"Bos@GS 10:30PM ET",19.482,"Bos"
"PG/SG","Alec Burks",3800,"Uta@Hou 08:00PM ET",12.286,"Uta"
"SF","DeMarre Carroll",3800,"Tor@NO 08:00PM ET",19.349,"Tor"
"SG","Buddy Hield",3800,"Sac@SA 08:30PM ET",15.806,"Sac"
"C","Kosta Koufos",3800,"Sac@SA 08:30PM ET",16.317,"Sac"
"SG/SF","Tony Snell",3700,"NY@Mil 08:00PM ET",16.250,"Mil"
"PG","Emmanuel Mudiay",3700,"Was@Den 09:00PM ET",23.440,"Den"
"SF","Patrick McCaw",3700,"Bos@GS 10:30PM ET",8.042,"GS"
"PG","Shelvin Mack",3700,"Uta@Hou 08:00PM ET",15.304,"Uta"
"C","Willie Reed",3700,"Cha@Mia 07:30PM ET",13.410,"Mia"
"SG/SF","Norman Powell",3700,"Tor@NO 08:00PM ET",13.826,"Tor"
"PF/C","David Lee",3700,"Sac@SA 08:30PM ET",18.029,"SA"
"C","Dewayne Dedmon",3700,"Sac@SA 08:30PM ET",16.848,"SA"
"PF","Juancho Hernangomez",3600,"Was@Den 09:00PM ET",9.984,"Den"
"C","Nene Hilario",3600,"Uta@Hou 08:00PM ET",17.199,"Hou"
"SF","Wayne Ellington",3600,"Cha@Mia 07:30PM ET",18.023,"Mia"
"PG/SG","E'Twaun Moore",3600,"Tor@NO 08:00PM ET",18.228,"NO"
"SG","Danny Green",3600,"Sac@SA 08:30PM ET",18.329,"SA"
"SF","Caris LeVert",3500,"Bkn@Atl 07:30PM ET",15.973,"Bkn"
"C","Joakim Noah",3500,"NY@Mil 08:00PM ET",21.799,"NY"
"PG/SF","Raymond Felton",3500,"LAC@Min 08:00PM ET",17.344,"LAC"
"SF/PF","Matt Barnes",3500,"Bos@GS 10:30PM ET",20.092,"GS"
"SF/PF","Sam Dekker",3500,"Uta@Hou 08:00PM ET",15.387,"Hou"
"SF","Joe Johnson",3500,"Uta@Hou 08:00PM ET",16.046,"Uta"
"C","Aron Baynes",3500,"Det@Ind 08:00PM ET",11.279,"Det"
"SG","Jordan Crawford",3500,"Tor@NO 08:00PM ET",30.250,"NO"
"PG","Patty Mills",3500,"Sac@SA 08:30PM ET",18.602,"SA"
"PG","Dejounte Murray",3500,"Sac@SA 08:30PM ET",6.693,"SA"
"SG","Garrett Temple",3500,"Sac@SA 08:30PM ET",17.890,"Sac"
"PF","Skal Labissiere",3500,"Sac@SA 08:30PM ET",9.696,"Sac"
"PG/SG","Spencer Dinwiddie",3400,"Bkn@Atl 07:30PM ET",16.673,"Bkn"
"C","John Henson",3400,"NY@Mil 08:00PM ET",18.128,"Mil"
"SF/PF","Jeff Green",3400,"Chi@Orl 07:00PM ET",16.391,"Orl"
"SG/SF","Marco Belinelli",3400,"Cha@Mia 07:30PM ET",18.172,"Cha"
"SG","Jeremy Lamb",3400,"Cha@Mia 07:30PM ET",17.651,"Cha"
"PG","Tim Frazier",3400,"Tor@NO 08:00PM ET",20.729,"NO"
"PG","Dante Exum",3300,"Uta@Hou 08:00PM ET",11.740,"Uta"
"SG/SF","Jonathon Simmons",3300,"Sac@SA 08:30PM ET",12.853,"SA"
"SG","Kyle Anderson",3300,"Sac@SA 08:30PM ET",9.602,"SA"
"SF","Arron Afflalo",3300,"Sac@SA 08:30PM ET",13.457,"Sac"
"SG/SF","Justin Holiday",3200,"NY@Mil 08:00PM ET",15.316,"NY"
"SG/SF","Shabazz Muhammad",3200,"LAC@Min 08:00PM ET",14.297,"Min"
"PG","Shaun Livingston",3200,"Bos@GS 10:30PM ET",11.091,"GS"
"SF","Ben McLemore",3200,"Sac@SA 08:30PM ET",11.351,"Sac"
"PF","Anthony Tolliver",3200,"Sac@SA 08:30PM ET",15.201,"Sac"
"C","Spencer Hawes",3100,"NY@Mil 08:00PM ET",16.763,"Mil"
"PG","Brandon Jennings",3100,"Was@Den 09:00PM ET",20.320,"Was"
"PF","Darrell Arthur",3100,"Was@Den 09:00PM ET",13.765,"Den"
"SG/SF","Rodney McGruder",3100,"Cha@Mia 07:30PM ET",14.721,"Mia"
"SG","Manu Ginobili",3100,"Sac@SA 08:30PM ET",16.880,"SA"
"PG","Jose Calderon",3000,"Bkn@Atl 07:30PM ET",8.720,"Atl"
"PG","Malcolm Delaney",3000,"Bkn@Atl 07:30PM ET",12.409,"Atl"
"PG","Isaiah Whitehead",3000,"Bkn@Atl 07:30PM ET",15.991,"Bkn"
"SG","Randy Foye",3000,"Bkn@Atl 07:30PM ET",12.495,"Bkn"
"SF/PF","Quincy Acy",3000,"Bkn@Atl 07:30PM ET",9.920,"Bkn"
"SF","Mike Dunleavy",3000,"Bkn@Atl 07:30PM ET",10.268,"Atl"
"SF","Ryan Kelly",3000,"Bkn@Atl 07:30PM ET",4.200,"Atl"
"SF","Joe Harris",3000,"Bkn@Atl 07:30PM ET",15.072,"Bkn"
"SF","K.J. McDaniels",3000,"Bkn@Atl 07:30PM ET",5.068,"Bkn"
"SF","Taurean Prince",3000,"Bkn@Atl 07:30PM ET",8.994,"Atl"
"SF","DeAndre' Bembry",3000,"Bkn@Atl 07:30PM ET",6.052,"Atl"
"PF","Kris Humphries",3000,"Bkn@Atl 07:30PM ET",10.778,"Atl"
"PF","Andrew Nicholson",3000,"Bkn@Atl 07:30PM ET",5.400,"Bkn"
"PF","Mike Muscala",3000,"Bkn@Atl 07:30PM ET",15.745,"Atl"
"C","Justin Hamilton",3000,"Bkn@Atl 07:30PM ET",16.181,"Bkn"
"PG/SG","Ron Baker",3000,"NY@Mil 08:00PM ET",8.456,"NY"
"PG","Jason Terry",3000,"NY@Mil 08:00PM ET",9.315,"Mil"
"PG","Chasson Randle",3000,"NY@Mil 08:00PM ET",8.750,"NY"
"SG","Sasha Vujacic",3000,"NY@Mil 08:00PM ET",5.558,"NY"
"SG","Rashad Vaughn",3000,"NY@Mil 08:00PM ET",6.750,"Mil"
"SF","Mindaugas Kuzminskas",3000,"NY@Mil 08:00PM ET",10.755,"NY"
"SF","Mirza Teletovic",3000,"NY@Mil 08:00PM ET",11.351,"Mil"
"PF","Jabari Parker",3000,"NY@Mil 08:00PM ET",34.578,"Mil"
"PF","Maurice Ndour",3000,"NY@Mil 08:00PM ET",4.568,"NY"
"C","Marshall Plumlee",3000,"NY@Mil 08:00PM ET",4.350,"NY"
"C","Thon Maker",3000,"NY@Mil 08:00PM ET",7.223,"Mil"
"PG","Trey Burke",3000,"Was@Den 09:00PM ET",8.792,"Was"
"PG","Tomas Satoransky",3000,"Was@Den 09:00PM ET",8.444,"Was"
"PG","Malik Beasley",3000,"Was@Den 09:00PM ET",4.153,"Den"
"SG/SF","Kelly Oubre Jr.",3000,"Was@Den 09:00PM ET",12.533,"Was"
"SG","Mike Miller",3000,"Was@Den 09:00PM ET",3.891,"Den"
"SG","Sheldon McClellan",3000,"Was@Den 09:00PM ET",5.685,"Was"
"PF/C","Jason Smith",3000,"Was@Den 09:00PM ET",11.531,"Was"
"PF","Chris McCullough",3000,"Was@Den 09:00PM ET",4.383,"Was"
"C","Roy Hibbert",3000,"Was@Den 09:00PM ET",12.198,"Den"
"C","Ian Mahinmi",3000,"Was@Den 09:00PM ET",14.125,"Was"
"C","Daniel Ochefu",3000,"Was@Den 09:00PM ET",2.417,"Was"
"PG/SG","Tyus Jones",3000,"LAC@Min 08:00PM ET",9.894,"Min"
"PG","Kris Dunn",3000,"LAC@Min 08:00PM ET",12.000,"Min"
"SG","Alan Anderson",3000,"LAC@Min 08:00PM ET",5.160,"LAC"
"SG","Brandon Rush",3000,"LAC@Min 08:00PM ET",9.857,"Min"
"SG","Zach LaVine",3000,"LAC@Min 08:00PM ET",30.149,"Min"
"SF/PF","Luc Richard Mbah a Moute",3000,"LAC@Min 08:00PM ET",12.738,"LAC"
"SF","Paul Pierce",3000,"LAC@Min 08:00PM ET",6.654,"LAC"
"SF","Wesley Johnson",3000,"LAC@Min 08:00PM ET",9.450,"LAC"
"PF/C","Marreese Speights",3000,"LAC@Min 08:00PM ET",18.127,"LAC"
"PF","Jordan Hill",3000,"LAC@Min 08:00PM ET",5.350,"Min"
"PF","Adreian Payne",3000,"LAC@Min 08:00PM ET",7.875,"Min"
"PF","Brice Johnson",3000,"LAC@Min 08:00PM ET",2.000,"LAC"
"C","Brandon Bass",3000,"LAC@Min 08:00PM ET",10.006,"LAC"
"C","Cole Aldrich",3000,"LAC@Min 08:00PM ET",7.268,"Min"
"C","Nikola Pekovic",3000,"LAC@Min 08:00PM ET",0,"Min"
"C","Diamond Stone",3000,"LAC@Min 08:00PM ET",2.643,"LAC"
"PG/SG","Ian Clark",3000,"Bos@GS 10:30PM ET",11.129,"GS"
"PG","Demetrius Jackson",3000,"Bos@GS 10:30PM ET",4.000,"Bos"
"PG","Terry Rozier",3000,"Bos@GS 10:30PM ET",13.869,"Bos"
"SG","James Young",3000,"Bos@GS 10:30PM ET",4.860,"Bos"
"SF","Gerald Green",3000,"Bos@GS 10:30PM ET",9.709,"Bos"
"PF","David West",3000,"Bos@GS 10:30PM ET",12.842,"GS"
"PF","Jonas Jerebko",3000,"Bos@GS 10:30PM ET",11.060,"Bos"
"PF","James Michael McAdoo",3000,"Bos@GS 10:30PM ET",6.786,"GS"
"PF","Jordan Mickey",3000,"Bos@GS 10:30PM ET",4.536,"Bos"
"PF","Kevon Looney",3000,"Bos@GS 10:30PM ET",7.878,"GS"
"C","JaVale McGee",3000,"Bos@GS 10:30PM ET",11.414,"GS"
"C","Tyler Zeller",3000,"Bos@GS 10:30PM ET",9.431,"Bos"
"C","Damian Jones",3000,"Bos@GS 10:30PM ET",3.531,"GS"
"PG/SG","D.J. Augustin",3000,"Chi@Orl 07:00PM ET",15.635,"Orl"
"PG","C.J. Watson",3000,"Chi@Orl 07:00PM ET",10.352,"Orl"
"PG","Isaiah Canaan",3000,"Chi@Orl 07:00PM ET",9.757,"Chi"
"PG","Jerian Grant",3000,"Chi@Orl 07:00PM ET",11.803,"Chi"
"PG","Cameron Payne",3000,"Chi@Orl 07:00PM ET",11.540,"Chi"
"SG/SF","Paul Zipser",3000,"Chi@Orl 07:00PM ET",9.250,"Chi"
"SG","Anthony Morrow",3000,"Chi@Orl 07:00PM ET",8.577,"Chi"
"SG","Jodie Meeks",3000,"Chi@Orl 07:00PM ET",16.792,"Orl"
"SG","C.J. Wilcox",3000,"Chi@Orl 07:00PM ET",2.544,"Orl"
"SF","Denzel Valentine",3000,"Chi@Orl 07:00PM ET",8.967,"Chi"
"SF","Mario Hezonja",3000,"Chi@Orl 07:00PM ET",8.830,"Orl"
"PF/C","Joffrey Lauvergne",3000,"Chi@Orl 07:00PM ET",12.332,"Chi"
"PF","Damjan Rudez",3000,"Chi@Orl 07:00PM ET",4.223,"Orl"
"C","Cristiano Felicio",3000,"Chi@Orl 07:00PM ET",13.097,"Chi"
"C","Stephen Zimmerman Jr.",3000,"Chi@Orl 07:00PM ET",3.614,"Orl"
"PG","Bobby Brown",3000,"Uta@Hou 08:00PM ET",1.592,"Hou"
"PG","Raul Neto",3000,"Uta@Hou 08:00PM ET",4.664,"Uta"
"PF/C","Boris Diaw",3000,"Uta@Hou 08:00PM ET",10.259,"Uta"
"PF","Kyle Wiltjer",3000,"Uta@Hou 08:00PM ET",2.306,"Hou"
"PF","Joel Bolomboy",3000,"Uta@Hou 08:00PM ET",2.833,"Uta"
"PF","Trey Lyles",3000,"Uta@Hou 08:00PM ET",14.426,"Uta"
"C","Jeff Withey",3000,"Uta@Hou 08:00PM ET",7.235,"Uta"
"C","Montrezl Harrell",3000,"Uta@Hou 08:00PM ET",17.378,"Hou"
"C","Chinanu Onuaku",3000,"Uta@Hou 08:00PM ET",6.625,"Hou"
"PG","Brian Roberts",3000,"Cha@Mia 07:30PM ET",5.954,"Cha"
"PG","Ramon Sessions",3000,"Cha@Mia 07:30PM ET",12.805,"Cha"
"PG","Briante Weber",3000,"Cha@Mia 07:30PM ET",4.125,"Cha"
"SF","Treveon Graham",3000,"Cha@Mia 07:30PM ET",2.888,"Cha"
"PF","Chris Bosh",3000,"Cha@Mia 07:30PM ET",0,"Mia"
"PF","Udonis Haslem",3000,"Cha@Mia 07:30PM ET",5.859,"Mia"
"PF","Josh McRoberts",3000,"Cha@Mia 07:30PM ET",13.523,"Mia"
"PF","Luke Babbitt",3000,"Cha@Mia 07:30PM ET",9.568,"Mia"
"PF","Okaro White",3000,"Cha@Mia 07:30PM ET",9.774,"Mia"
"PF","Johnny O'Bryant III",3000,"Cha@Mia 07:30PM ET",6.975,"Cha"
"PF","Christian Wood",3000,"Cha@Mia 07:30PM ET",6.429,"Cha"
"PF","Justise Winslow",3000,"Cha@Mia 07:30PM ET",25.833,"Mia"
"C","Miles Plumlee",3000,"Cha@Mia 07:30PM ET",6.885,"Cha"
"PG","Aaron Brooks",3000,"Det@Ind 08:00PM ET",10.536,"Ind"
"PG","Beno Udrih",3000,"Det@Ind 08:00PM ET",12.033,"Det"
"PG","Rodney Stuckey",3000,"Det@Ind 08:00PM ET",14.718,"Ind"
"SG/SF","Glenn Robinson III",3000,"Det@Ind 08:00PM ET",13.869,"Ind"
"SG/SF","Stanley Johnson",3000,"Det@Ind 08:00PM ET",11.102,"Det"
"SG","Reggie Bullock",3000,"Det@Ind 08:00PM ET",8.912,"Det"
"SG","Joe Young",3000,"Det@Ind 08:00PM ET",4.037,"Ind"
"SG","Darrun Hilliard",3000,"Det@Ind 08:00PM ET",5.955,"Det"
"SF","Michael Gbinije",3000,"Det@Ind 08:00PM ET",1.194,"Det"
"PF","Lavoy Allen",3000,"Det@Ind 08:00PM ET",9.625,"Ind"
"PF","Kevin Seraphin",3000,"Det@Ind 08:00PM ET",9.959,"Ind"
"PF","Georges Niang",3000,"Det@Ind 08:00PM ET",2.386,"Ind"
"PF","Henry Ellenson",3000,"Det@Ind 08:00PM ET",2.964,"Det"
"C","Al Jefferson",3000,"Det@Ind 08:00PM ET",15.864,"Ind"
"C","Boban Marjanovic",3000,"Det@Ind 08:00PM ET",9.163,"Det"
