"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",11500,"Hou@SA 08:30PM ET",59.883,"Hou"
"SF","LeBron James",11200,"Mia@Cle 07:00PM ET",52.689,"Cle"
"PG","Stephen Curry",10400,"GS@Atl 07:30PM ET",44.387,"GS"
"PF/C","Karl-Anthony Towns",10300,"Por@Min 08:00PM ET",48.177,"Min"
"C","Nikola Jokic",10100,"Sac@Den 09:00PM ET",37.700,"Den"
"PG/SF","Giannis Antetokounmpo",10000,"Mil@Phi 07:00PM ET",48.918,"Mil"
"PF/C","DeMarcus Cousins",9700,"NO@Uta 09:00PM ET",52.934,"NO"
"SF","Kawhi Leonard",9600,"Hou@SA 08:30PM ET",43.377,"SA"
"PF/C","Anthony Davis",9500,"NO@Uta 09:00PM ET",53.708,"NO"
"PG","Chris Paul",9000,"Bos@LAC 10:30PM ET",43.476,"LAC"
"PG","Kyrie Irving",8900,"Mia@Cle 07:00PM ET",41.591,"Cle"
"PG","Isaiah Thomas",8900,"Bos@LAC 10:30PM ET",44.254,"Bos"
"PG","Damian Lillard",8800,"Por@Min 08:00PM ET",43.478,"Por"
"PF","Blake Griffin",8700,"Bos@LAC 10:30PM ET",43.006,"LAC"
"SG/SF","Jimmy Butler",8600,"Chi@Det 07:30PM ET",43.026,"Chi"
"SF","Kevin Durant",8500,"GS@Atl 07:30PM ET",48.813,"GS"
"C","Marc Gasol",8300,"Bkn@Mem 08:00PM ET",39.238,"Mem"
"PF/C","Draymond Green",8200,"GS@Atl 07:30PM ET",38.058,"GS"
"PG","Kemba Walker",8200,"Ind@Cha 08:00PM ET",39.294,"Cha"
"PG","Mike Conley",8100,"Bkn@Mem 08:00PM ET",37.118,"Mem"
"C","Andre Drummond",8000,"Chi@Det 07:30PM ET",39.328,"Det"
"SF","Paul George",7900,"Ind@Cha 08:00PM ET",37.661,"Ind"
"SF/PF","Carmelo Anthony",7800,"NY@Orl 07:00PM ET",37.619,"NY"
"PF/C","Kevin Love",7700,"Mia@Cle 07:00PM ET",40.500,"Cle"
"C","Hassan Whiteside",7700,"Mia@Cle 07:00PM ET",41.000,"Mia"
"PG/SG","C.J. McCollum",7600,"Por@Min 08:00PM ET",36.619,"Por"
"SF","Andrew Wiggins",7600,"Por@Min 08:00PM ET",34.323,"Min"
"SF","Gordon Hayward",7500,"NO@Uta 09:00PM ET",36.640,"Uta"
"PF","Paul Millsap",7400,"GS@Atl 07:30PM ET",37.667,"Atl"
"PF/C","Dario Saric",7400,"Mil@Phi 07:00PM ET",24.032,"Phi"
"SG","Klay Thompson",7300,"GS@Atl 07:30PM ET",32.689,"GS"
"C","Nikola Vucevic",7300,"NY@Orl 07:00PM ET",34.860,"Orl"
