"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",13100,"OKC@Pho 09:00PM ET",64.673,"OKC"
"SF","LeBron James",11200,"Cle@Atl 07:00PM ET",52.384,"Cle"
"PG/SF","Giannis Antetokounmpo",10000,"LAC@Mil 08:00PM ET",49.013,"Mil"
"PG","John Wall",9700,"Tor@Was 07:00PM ET",48.772,"Was"
"PF/C","Anthony Davis",9400,"SA@NO 09:30PM ET",53.793,"NO"
"PG","Isaiah Thomas",9300,"Bos@LAL 10:30PM ET",44.349,"Bos"
"PF/C","DeMarcus Cousins",9200,"SA@NO 09:30PM ET",52.975,"NO"
"PF","Blake Griffin",9100,"LAC@Mil 08:00PM ET",43.300,"LAC"
"PG","Chris Paul",9000,"LAC@Mil 08:00PM ET",43.994,"LAC"
"SG","DeMar DeRozan",8900,"Tor@Was 07:00PM ET",41.450,"Tor"
"SF","Kawhi Leonard",8800,"SA@NO 09:30PM ET",42.695,"SA"
"PG","Eric Bledsoe",8500,"OKC@Pho 09:00PM ET",39.996,"Pho"
"PG","Kyrie Irving",8400,"Cle@Atl 07:00PM ET",41.065,"Cle"
"C","Hassan Whiteside",8100,"Mia@Orl 07:00PM ET",41.040,"Mia"
"C","Marc Gasol",7900,"Mem@Dal 08:30PM ET",39.424,"Mem"
"PG","Mike Conley",7800,"Mem@Dal 08:30PM ET",36.837,"Mem"
"PF/C","Kevin Love",7700,"Cle@Atl 07:00PM ET",40.500,"Cle"
"PG","Kyle Lowry",7600,"Tor@Was 07:00PM ET",42.825,"Tor"
"SF","Gordon Hayward",7600,"Bkn@Uta 09:00PM ET",36.791,"Uta"
"SF/PF","Carmelo Anthony",7500,"NY@Phi 07:00PM ET",37.779,"NY"
"PF/C","Dario Saric",7400,"NY@Phi 07:00PM ET",23.492,"Phi"
"C","Rudy Gobert",7300,"Bkn@Uta 09:00PM ET",36.775,"Uta"
