"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF/C","Karl-Anthony Towns",10600,"Was@Min 08:00PM ET",48.304,"Min"
"C","Nikola Jokic",10400,"LAL@Den 10:30PM ET",38.061,"Den"
"PG","John Wall",10200,"Was@Min 08:00PM ET",49.297,"Was"
"SF","Kawhi Leonard",9900,"Atl@SA 08:00PM ET",43.403,"SA"
"PG/SF","Giannis Antetokounmpo",9800,"Mil@Mem 08:00PM ET",49.131,"Mil"
"SF","Jimmy Butler",9300,"Chi@Cha 07:00PM ET",42.512,"Chi"
"SG","DeMar DeRozan",8400,"Dal@Tor 07:30PM ET",41.033,"Tor"
"PF/C","Blake Griffin",8300,"LAC@Uta 09:00PM ET",42.484,"LAC"
"PG","Chris Paul",8200,"LAC@Uta 09:00PM ET",42.939,"LAC"
"PG","Kemba Walker",8100,"Chi@Cha 07:00PM ET",39.602,"Cha"
"PG","Mike Conley",7800,"Mil@Mem 08:00PM ET",36.995,"Mem"
"PG","D'Angelo Russell",7700,"LAL@Den 10:30PM ET",30.030,"LAL"
"SG","Bradley Beal",7600,"Was@Min 08:00PM ET",35.664,"Was"
"PF","Julius Randle",7500,"LAL@Den 10:30PM ET",31.207,"LAL"
"PG","Kyle Lowry",7500,"Dal@Tor 07:30PM ET",42.825,"Tor"
"SF","Gordon Hayward",7400,"LAC@Uta 09:00PM ET",36.358,"Uta"
"C","Marc Gasol",7300,"Mil@Mem 08:00PM ET",38.840,"Mem"
"SF/PF","Wilson Chandler",7200,"LAL@Den 10:30PM ET",29.983,"Den"
"SG/SF","Nicolas Batum",7200,"Chi@Cha 07:00PM ET",35.643,"Cha"
"C","Rudy Gobert",7200,"LAC@Uta 09:00PM ET",37.123,"Uta"
"SF","Andrew Wiggins",7100,"Was@Min 08:00PM ET",33.946,"Min"
"PG","Elfrid Payton",7000,"Orl@Sac 10:30PM ET",29.388,"Orl"
"C","Nikola Vucevic",6900,"Orl@Sac 10:30PM ET",34.988,"Orl"
"PF/C","Paul Millsap",6900,"Atl@SA 08:00PM ET",37.824,"Atl"
"PG","Ricky Rubio",6800,"Was@Min 08:00PM ET",31.076,"Min"
"SG","Dwyane Wade",6700,"Chi@Cha 07:00PM ET",33.927,"Chi"
"PF","Markieff Morris",6500,"Was@Min 08:00PM ET",28.877,"Was"
"C","DeAndre Jordan",6500,"LAC@Uta 09:00PM ET",35.216,"LAC"
"SG","Seth Curry",6500,"Dal@Tor 07:30PM ET",23.299,"Dal"
"SF/PF","Otto Porter",6400,"Was@Min 08:00PM ET",30.050,"Was"
"PF/C","Frank Kaminsky",6400,"Chi@Cha 07:00PM ET",23.322,"Cha"
"SF/PF","Harrison Barnes",6400,"Dal@Tor 07:30PM ET",30.773,"Dal"
"PF","LaMarcus Aldridge",6400,"Atl@SA 08:00PM ET",32.836,"SA"
"SF","Khris Middleton",6300,"Mil@Mem 08:00PM ET",27.558,"Mil"
"SF","Danilo Gallinari",6200,"LAL@Den 10:30PM ET",29.118,"Den"
"PG","George Hill",6200,"LAC@Uta 09:00PM ET",30.429,"Uta"
"PF/C","Dirk Nowitzki",6200,"Dal@Tor 07:30PM ET",28.064,"Dal"
"C","Dwight Howard",6200,"Atl@SA 08:00PM ET",35.683,"Atl"
"C","Mason Plumlee",6100,"LAL@Den 10:30PM ET",29.835,"Den"
"PG","Dennis Schroder",6100,"Atl@SA 08:00PM ET",32.258,"Atl"
"PF","Marvin Williams",5900,"Chi@Cha 07:00PM ET",24.592,"Cha"
"PF/C","Serge Ibaka",5900,"Dal@Tor 07:30PM ET",30.131,"Tor"
"SG","Gary Harris",5800,"LAL@Den 10:30PM ET",24.810,"Den"
"PF","Aaron Gordon",5800,"Orl@Sac 10:30PM ET",22.977,"Orl"
"PF/C","Zach Randolph",5600,"Mil@Mem 08:00PM ET",28.267,"Mem"
"PG/SG","Darren Collison",5600,"Orl@Sac 10:30PM ET",24.897,"Sac"
"SG","Evan Fournier",5600,"Orl@Sac 10:30PM ET",27.050,"Orl"
"PG/SG","Jordan Clarkson",5500,"LAL@Den 10:30PM ET",23.758,"LAL"
"C","Greg Monroe",5500,"Mil@Mem 08:00PM ET",26.488,"Mil"
"C","Nerlens Noel",5500,"Dal@Tor 07:30PM ET",21.750,"Dal"
"PG/SF","Tyreke Evans",5400,"Orl@Sac 10:30PM ET",22.136,"Sac"
"C","Pau Gasol",5400,"Atl@SA 08:00PM ET",28.427,"SA"
"C","Marcin Gortat",5300,"Was@Min 08:00PM ET",30.427,"Was"
"C","Bismack Biyombo",5200,"Orl@Sac 10:30PM ET",19.390,"Orl"
"PF/C","Derrick Favors",5200,"LAC@Uta 09:00PM ET",22.053,"Uta"
"SG/SF","Brandon Ingram",5100,"LAL@Den 10:30PM ET",18.205,"LAL"
"C","Cody Zeller",5100,"Chi@Cha 07:00PM ET",24.141,"Cha"
"SG","Rodney Hood",5100,"LAC@Uta 09:00PM ET",22.766,"Uta"
"SG/SF","Wesley Matthews",5100,"Dal@Tor 07:30PM ET",26.250,"Dal"
"SG","Tim Hardaway Jr.",5100,"Atl@SA 08:00PM ET",22.207,"Atl"
"PF/C","Gorgui Dieng",5000,"Was@Min 08:00PM ET",26.496,"Min"
"PG","Rajon Rondo",5000,"Chi@Cha 07:00PM ET",24.964,"Chi"
"SF","Terrence Ross",5000,"Orl@Sac 10:30PM ET",18.813,"Orl"
"PF/C","Willie Cauley-Stein",5000,"Orl@Sac 10:30PM ET",13.919,"Sac"
