PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,BLK,STL,FGM_DEFEND_RIM,FGA_DEFEND_RIM,FGP_DEFEND_RIM,BLK_TOT,X
201599,DeAndre Jordan,DeAndre,Jordan,LAC,79,31.8,1.6,0.6,3.5,7.0,0.503,130,NA
203457,Nerlens Noel,Nerlens,Noel,PHI,29,19.5,0.9,1.5,3.3,6.6,0.503,26,NA
204028,Tarik Black,Tarik,Black,LAL,65,16.2,0.6,0.4,2.2,4.3,0.505,41,NA
201143,Al Horford,Al,Horford,BOS,66,32.4,1.3,0.7,3.2,6.2,0.505,85,NA
1626257,Salah Mejri,Salah,Mejri,DAL,70,12.4,0.8,0.4,2.1,4.2,0.505,59,NA
1626143,Jahlil Okafor,Jahlil,Okafor,PHI,50,22.7,1.0,0.4,3.1,6.2,0.505,49,NA
201959,Taj Gibson,Taj,Gibson,TOTAL,77,25.5,0.8,0.5,2.1,4.1,0.506,63,NA
203077,Michael Kidd-Gilchrist,Michael,Kidd-Gilchrist,CHA,79,29.1,1.0,1.0,2.0,4.0,0.506,76,NA
203186,Willie Reed,Willie,Reed,MIA,69,14.6,0.7,0.3,1.9,3.8,0.506,47,NA
201585,Kosta Koufos,Kosta,Koufos,SAC,71,20.0,0.7,0.5,2.1,4.2,0.507,48,NA
203089,John Henson,John,Henson,MIL,56,19.5,1.4,0.5,2.9,5.8,0.508,77,NA
202397,Ish Smith,Ish,Smith,DET,79,23.9,0.4,0.8,1.0,2.0,0.509,32,NA
1627783,Pascal Siakam,Pascal,Siakam,TOR,53,15.1,0.8,0.5,1.5,3.0,0.509,43,NA
203481,Jeff Withey,Jeff,Withey,UTA,50,8.6,0.6,0.3,1.8,3.5,0.509,31,NA
1627826,Ivica Zubac,Ivica,Zubac,LAL,38,16.0,0.9,0.4,3.1,6.2,0.509,33,NA
2546,Carmelo Anthony,Carmelo,Anthony,NYK,73,34.5,0.5,0.8,1.4,2.7,0.51,33,NA
202357,Nemanja Bjelica,Nemanja,Bjelica,MIN,65,18.3,0.3,0.6,1.6,3.2,0.51,20,NA
2743,Kris Humphries,Kris,Humphries,ATL,54,12.1,0.4,0.2,1.5,2.9,0.51,19,NA
201586,Serge Ibaka,Serge,Ibaka,TOR,23,30.9,1.4,0.3,3.4,6.7,0.51,33,NA
201160,Jason Smith,Jason,Smith,WAS,72,14.4,0.7,0.3,1.6,3.1,0.511,53,NA
202326,DeMarcus Cousins,DeMarcus,Cousins,TOTAL,72,34.2,1.3,1.4,3.5,6.9,0.512,94,NA
202693,Markieff Morris,Markieff,Morris,WAS,75,31.1,0.6,1.1,2.4,4.6,0.512,42,NA
203460,Andre Roberson,Andre,Roberson,OKC,79,30.1,1.0,1.2,1.9,3.8,0.512,80,NA
201949,James Johnson,James,Johnson,MIA,74,27.2,1.1,1.0,2.1,4.0,0.513,85,NA
202685,Jonas Valanciunas,Jonas,Valanciunas,TOR,78,26.0,0.8,0.5,3.8,7.4,0.513,62,NA
1626155,Sam Dekker,Sam,Dekker,HOU,77,18.5,0.3,0.5,1.4,2.7,0.514,21,NA
203932,Aaron Gordon,Aaron,Gordon,ORL,78,28.7,0.5,0.8,1.3,2.5,0.515,38,NA
1626195,Willy Hernangomez,Willy,Hernangomez,NYK,71,18.4,0.5,0.6,2.8,5.5,0.515,36,NA
200794,Paul Millsap,Paul,Millsap,ATL,68,34.1,0.9,1.3,3.9,7.6,0.515,62,NA
203120,Justin Hamilton,Justin,Hamilton,BKN,61,18.2,0.7,0.4,3.0,5.7,0.517,41,NA
202344,Trevor Booker,Trevor,Booker,BKN,70,24.8,0.4,1.1,1.9,3.6,0.518,28,NA
203086,Meyers Leonard,Meyers,Leonard,POR,72,16.0,0.4,0.2,2.0,3.9,0.518,27,NA
1626157,Karl-Anthony Towns,Karl-Anthony,Towns,MIN,80,36.9,1.3,0.7,4.0,7.8,0.518,103,NA
NA,Terrence Jones,Terrence,Jones,NOP,51,24.8,1.0,0.8,2.6,5.1,0.519,53,NA
203524,Solomon Hill,Solomon,Hill,NOP,78,29.7,0.4,0.9,1.3,2.5,0.521,31,NA
NA,Terrence Jones,Terrence,Jones,TOTAL,54,23.6,1.0,0.7,2.5,4.8,0.521,54,NA
203457,Nerlens Noel,Nerlens,Noel,TOTAL,49,20.6,1.0,1.3,3.5,6.7,0.521,48,NA
203500,Steven Adams,Steven,Adams,OKC,78,30.1,1.0,1.1,3.2,6.2,0.522,76,NA
1626168,Trey Lyles,Trey,Lyles,UTA,70,16.4,0.3,0.4,1.4,2.6,0.522,20,NA
203141,Mirza Teletovic,Mirza,Teletovic,MIL,68,16.0,0.2,0.2,1.2,2.2,0.523,13,NA
202687,Bismack Biyombo,Bismack,Biyombo,ORL,79,22.4,1.1,0.3,2.9,5.6,0.524,89,NA
201163,Wilson Chandler,Wilson,Chandler,DEN,69,30.9,0.4,0.7,1.9,3.7,0.524,30,NA
201980,Danny Green,Danny,Green,SAS,65,26.8,0.8,1.0,1.5,2.9,0.524,55,NA
203210,JaMychal Green,JaMychal,Green,MEM,76,27.4,0.4,0.6,1.4,2.8,0.524,34,NA
101141,Ersan Ilyasova,Ersan,Ilyasova,TOTAL,80,26.4,0.3,0.7,1.9,3.6,0.524,23,NA
201586,Serge Ibaka,Serge,Ibaka,TOTAL,79,30.6,1.6,0.5,3.3,6.3,0.524,124,NA
101141,Ersan Ilyasova,Ersan,Ilyasova,PHI,53,27.3,0.3,0.6,1.8,3.5,0.525,14,NA
201609,Goran Dragic,Goran,Dragic,MIA,71,33.4,0.2,1.2,1.3,2.5,0.526,12,NA
1627748,Thon Maker,Thon,Maker,MIL,55,9.5,0.4,0.2,1.5,2.8,0.526,23,NA
203469,Cody Zeller,Cody,Zeller,CHA,60,28.0,1.0,1.0,3.6,6.9,0.527,57,NA
2544,LeBron James,LeBron,James,CLE,74,37.8,0.6,1.2,1.9,3.7,0.528,44,NA
203530,Joffrey Lauvergne,Joffrey,Lauvergne,TOTAL,68,14.2,0.1,0.4,1.3,2.4,0.528,6,NA
202689,Kemba Walker,Kemba,Walker,CHA,79,34.7,0.3,1.1,1.2,2.2,0.528,21,NA
203506,Victor Oladipo,Victor,Oladipo,OKC,65,33.3,0.3,1.2,1.4,2.6,0.529,20,NA
201939,Stephen Curry,Stephen,Curry,GSW,77,33.6,0.2,1.8,1.0,2.0,0.53,17,NA
201586,Serge Ibaka,Serge,Ibaka,ORL,56,30.4,1.6,0.6,3.3,6.2,0.53,91,NA
201973,Jonas Jerebko,Jonas,Jerebko,BOS,76,16.0,0.2,0.3,1.3,2.4,0.53,17,NA
203468,CJ McCollum,CJ,McCollum,POR,80,34.9,0.5,0.9,1.3,2.5,0.53,42,NA
2594,Kyle Korver,Kyle,Korver,TOTAL,65,26.3,0.3,0.5,1.4,2.7,0.531,20,NA
2199,Tyson Chandler,Tyson,Chandler,PHX,45,27.3,0.5,0.7,3.5,6.6,0.532,23,NA
1626149,Montrezl Harrell,Montrezl,Harrell,HOU,57,18.1,0.7,0.4,1.9,3.6,0.532,41,NA
202331,Paul George,Paul,George,IND,72,35.7,0.4,1.5,1.5,2.7,0.533,26,NA
203994,Jusuf Nurkic,Jusuf,Nurkic,POR,20,29.2,1.9,1.2,4.9,9.2,0.533,38,NA
204020,Tyler Johnson,Tyler,Johnson,MIA,71,29.9,0.6,1.2,1.6,3.0,0.535,44,NA
202389,Timofey Mozgov,Timofey,Mozgov,LAL,54,20.4,0.6,0.3,2.7,5.0,0.535,31,NA
203953,Jabari Parker,Jabari,Parker,MIL,51,33.8,0.4,1.0,2.0,3.7,0.535,22,NA
203476,Gorgui Dieng,Gorgui,Dieng,MIN,80,32.4,1.2,1.1,4.2,7.9,0.537,94,NA
201566,Russell Westbrook,Russell,Westbrook,OKC,80,34.8,0.4,1.7,1.3,2.4,0.537,30,NA
203486,Mason Plumlee,Mason,Plumlee,DEN,25,22.2,1.1,0.7,3.8,7.0,0.54,27,NA
2772,Trevor Ariza,Trevor,Ariza,HOU,78,34.6,0.2,1.8,1.4,2.7,0.541,19,NA
201567,Kevin Love,Kevin,Love,CLE,59,31.3,0.4,0.9,3.1,5.7,0.541,21,NA
201601,Luc Mbah a Moute,Luc,Mbah a Moute,LAC,78,22.2,0.4,1.0,1.2,2.2,0.541,34,NA
1717,Dirk Nowitzki,Dirk,Nowitzki,DAL,52,26.3,0.7,0.6,3.1,5.6,0.543,34,NA
203482,Kelly Olynyk,Kelly,Olynyk,BOS,73,20.6,0.4,0.6,2.0,3.7,0.543,29,NA
1626245,Cristiano Felicio,Cristiano,Felicio,CHI,64,15.7,0.3,0.4,2.0,3.7,0.544,17,NA
202328,Greg Monroe,Greg,Monroe,MIL,79,22.6,0.5,1.2,2.8,5.2,0.545,38,NA
2403,Nene, ,Nene,HOU,66,17.9,0.6,0.8,2.5,4.6,0.546,38,NA
202696,Nikola Vucevic,Nikola,Vucevic,ORL,73,28.8,1.0,1.0,4.2,7.7,0.546,71,NA
203994,Jusuf Nurkic,Jusuf,Nurkic,TOTAL,64,21.6,1.1,0.8,3.3,6.0,0.547,73,NA
1626171,Bobby Portis,Bobby,Portis,CHI,62,15.5,0.2,0.2,1.5,2.7,0.548,11,NA
201960,DeMarre Carroll,DeMarre,Carroll,TOR,70,26.3,0.4,1.1,1.7,3.0,0.549,27,NA
202683,Enes Kanter,Enes,Kanter,OKC,70,21.3,0.5,0.4,3.0,5.5,0.549,38,NA
1626161,Willie Cauley-Stein,Willie,Cauley-Stein,SAC,73,18.7,0.6,0.7,1.8,3.3,0.55,43,NA
201587,Nicolas Batum,Nicolas,Batum,CHA,75,34.4,0.4,1.1,1.5,2.7,0.551,28,NA
203083,Andre Drummond,Andre,Drummond,DET,79,29.9,1.1,1.5,3.9,7.1,0.551,88,NA
202702,Kenneth Faried,Kenneth,Faried,DEN,60,21.3,0.6,0.7,1.8,3.3,0.553,39,NA
201578,Marreese Speights,Marreese,Speights,LAC,80,15.7,0.5,0.3,2.2,4.0,0.557,41,NA
201583,Ryan Anderson,Ryan,Anderson,HOU,70,29.4,0.2,0.4,2.3,4.0,0.558,14,NA
1627737,Marquese Chriss,Marquese,Chriss,PHX,79,21.1,0.9,0.8,1.4,2.5,0.558,68,NA
2210,Richard Jefferson,Richard,Jefferson,CLE,77,20.3,0.1,0.3,1.2,2.1,0.558,9,NA
201149,Joakim Noah,Joakim,Noah,NYK,46,22.1,0.8,0.7,3.3,5.8,0.558,37,NA
202694,Marcus Morris,Marcus,Morris,DET,78,32.5,0.3,0.7,1.3,2.3,0.559,25,NA
203994,Jusuf Nurkic,Jusuf,Nurkic,DEN,44,18.1,0.8,0.6,2.6,4.6,0.559,35,NA
202337,Luke Babbitt,Luke,Babbitt,MIA,68,15.7,0.2,0.3,1.3,2.2,0.562,11,NA
2585,Zaza Pachulia,Zaza,Pachulia,GSW,68,18.1,0.5,0.9,3.0,5.3,0.563,31,NA
