Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
18347-14529,PG,Cory,Cory Joseph,Joseph,17.80588307,68,5000,CHI@TOR,TOR,CHI,,
18347-16359,PG,Malcolm,Malcolm Brogdon,Brogdon,20.49104514,67,5000,MIL@POR,MIL,POR,,
18347-67707,PF,Marquese,Marquese Chriss,Chriss,16.16857213,70,4900,PHO@MIA,PHO,MIA,,
18347-9495,PG,J.J.,J.J. Barea,Barea,21.57083384,24,4900,GS@DAL,DAL,GS,,
18347-9664,SF,Andre,Andre Iguodala,Iguodala,19.06268584,67,4900,GS@DAL,GS,DAL,,
18347-15636,SG,Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,23.89076961,65,4700,DET@BKN,DET,BKN,,
18347-12342,PF,Al-Farouq,Al-Farouq Aminu,Aminu,21.38163166,49,4600,MIL@POR,POR,MIL,,
18347-16233,SG,Josh,Josh Richardson,Richardson,18.87561035,41,4600,PHO@MIA,MIA,PHO,,
18347-9638,PF,David,David Lee,Lee,17.39558859,68,4600,SA@MIN,SA,MIN,,
18347-15814,C,Alex,Alex Len,Len,18.16923077,65,4600,PHO@MIA,PHO,MIA,,
18347-24546,SG,Denzel,Denzel Valentine,Valentine,9.962221951,45,4600,CHI@TOR,CHI,TOR,,
18347-66048,SF,Brandon,Brandon Ingram,Ingram,17.36142927,70,4500,LAC@LAL,LAL,LAC,,
18347-9799,SG,Wesley,Wesley Matthews,Matthews,23.57936508,63,4500,GS@DAL,DAL,GS,,
18347-12359,SF,Evan,Evan Turner,Turner,19.92115432,52,4500,MIL@POR,POR,MIL,,
18347-42148,SF,Rondae,Rondae Hollis-Jefferson,Hollis-Jefferson,19.12615309,65,4500,DET@BKN,BKN,DET,,
18347-23772,PG,Yogi,Yogi Ferrell,Ferrell,18.59697007,33,4500,GS@DAL,DAL,GS,,
18347-14522,PF,Nikola,Nikola Mirotic,Mirotic,19.04137973,58,4400,CHI@TOR,CHI,TOR,,
18347-9939,PG,Patty,Patty Mills,Mills,17.72794118,68,4400,SA@MIN,SA,MIN,,
18347-15417,SF,Solomon,Solomon Hill,Hill,15.73382389,68,4300,MEM@NO,NO,MEM,,
18347-70827,C,Ivica,Ivica Zubac,Zubac,14.94242443,33,4300,LAC@LAL,LAL,LAC,,
18347-12511,PG,Ish,Ish Smith,Smith,20.19275433,69,4300,DET@BKN,DET,BKN,,
18347-9454,C,Zaza,Zaza Pachulia,Pachulia,18.17931077,58,4300,GS@DAL,GS,DAL,,
18347-23798,SG,Caris,Caris LeVert,LeVert,15.41590881,44,4300,DET@BKN,BKN,DET,,
18347-9655,SG,J.J.,J.J. Redick,Redick,19.8647066,68,4300,LAC@LAL,LAC,LAL,,
18347-15405,PF,JaMychal,JaMychal Green,Green,20.64705882,68,4200,MEM@NO,MEM,NO,,
18347-12368,PF,Nemanja,Nemanja Bjelica,Bjelica,13.48461538,65,4200,SA@MIN,MIN,SA,O,Foot
18347-17517,SF,Tony,Tony Snell,Snell,15.34411801,68,4200,MIL@POR,MIL,POR,,
18347-14539,PF,Jon,Jon Leuer,Leuer,20.50156212,64,4200,DET@BKN,DET,BKN,,
18347-9657,SF,Matt,Matt Barnes,Barnes,18.33749962,64,4200,GS@DAL,GS,DAL,,
18347-9787,SF,DeMarre,DeMarre Carroll,Carroll,18.09354917,62,4100,CHI@TOR,TOR,CHI,,
18347-9458,SG,Tony,Tony Allen,Allen,20.48360656,61,4100,MEM@NO,MEM,NO,,
18347-9702,PG,Tony,Tony Parker,Parker,19.43333285,51,4100,SA@MIN,SA,MIN,,
18347-20992,PF,Larry,Larry Nance Jr.,Nance Jr.,18.17451028,51,4000,LAC@LAL,LAL,LAC,,
18347-12818,SG,Manny,Manny Harris,Harris,5.866666794,3,4000,GS@DAL,DAL,GS,,
18347-42156,PF,Bobby,Bobby Portis,Portis,11.92692331,52,4000,CHI@TOR,CHI,TOR,,
18347-14554,SG,E'Twaun,E'Twaun Moore,Moore,17.1984127,63,4000,MEM@NO,NO,MEM,,
18347-15592,PG,Austin,Austin Rivers,Rivers,18.95652174,69,4000,LAC@LAL,LAC,LAL,,
18347-9473,C,Tyson,Tyson Chandler,Chandler,24.1829782,47,4000,PHO@MIA,PHO,MIA,O,Coach's decision
18347-15757,PF,Terrence,Terrence Jones,Jones,22.60192402,52,4000,MIL@POR,MIL,POR,,
18347-15952,PF,John,John Henson,Henson,17.41090865,55,3900,MIL@POR,MIL,POR,,
18347-15520,SG,Sean,Sean Kilpatrick,Kilpatrick,20.99692383,65,3900,DET@BKN,BKN,DET,O,Hamstring
18347-23717,SF,Shabazz,Shabazz Muhammad,Muhammad,13.97846116,65,3900,SA@MIN,MIN,SA,,
