PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,PTS_TOT,X
201162,Jared Dudley,Jared,Dudley,PHX,64,21.2,4.1,1.5,3.8,0.394,1.1,3.0,0.37,0.541,261,NA
200768,Kyle Lowry,Kyle,Lowry,TOR,58,37.7,4.1,1.4,3.3,0.417,1.3,3.2,0.422,0.62,238,NA
203081,Damian Lillard,Damian,Lillard,POR,75,35.9,4.1,1.5,3.2,0.464,1.1,2.5,0.432,0.636,304,NA
203953,Jabari Parker,Jabari,Parker,MIL,51,33.8,4.1,1.5,4.0,0.374,1.1,3.0,0.371,0.51,210,NA
203082,Terrence Ross,Terrence,Ross,TOR,53,22.3,4.1,1.4,4.0,0.347,1.3,3.6,0.358,0.509,217,NA
203967,Dario Saric,Dario,Saric,PHI,81,26.3,4.1,1.5,4.5,0.322,1.2,3.7,0.318,0.451,330,NA
202689,Kemba Walker,Kemba,Walker,CHA,79,34.7,4.1,1.4,2.9,0.474,1.3,2.8,0.472,0.696,323,NA
203084,Harrison Barnes,Harrison,Barnes,DAL,78,35.5,4.0,1.6,3.9,0.397,0.8,2.3,0.365,0.505,310,NA
201975,Jodie Meeks,Jodie,Meeks,ORL,35,20.6,4.0,1.4,3.2,0.425,1.3,2.9,0.427,0.619,140,NA
1627782,Wayne Selden,Wayne,Selden,NOP,3,15.6,4.0,1.3,2.3,0.571,1.3,2.3,0.571,0.857,12,NA
1627786,Troy Williams,Troy,Williams,HOU,5,27.2,4.0,1.4,4.0,0.35,1.2,3.8,0.316,0.5,20,NA
203518,Alex Abrines,Alex,Abrines,OKC,66,15.4,3.9,1.3,3.4,0.396,1.3,3.2,0.397,0.583,259,NA
201158,Marco Belinelli,Marco,Belinelli,CHA,74,24.1,3.9,1.5,3.7,0.401,0.9,2.4,0.389,0.529,290,NA
201163,Wilson Chandler,Wilson,Chandler,DEN,69,30.9,3.9,1.4,3.9,0.353,1.2,3.5,0.344,0.511,272,NA
203552,Seth Curry,Seth,Curry,DAL,69,29.1,3.9,1.3,3.2,0.405,1.2,3.1,0.406,0.599,266,NA
1627741,Buddy Hield,Buddy,Hield,SAC,23,28.6,3.9,1.3,3.4,0.38,1.3,3.2,0.397,0.563,89,NA
200794,Paul Millsap,Paul,Millsap,ATL,68,34.1,3.9,1.5,4.3,0.339,1.0,3.1,0.313,0.453,267,NA
201578,Marreese Speights,Marreese,Speights,LAC,81,15.7,3.9,1.3,3.5,0.373,1.2,3.2,0.38,0.544,312,NA
203954,Joel Embiid,Joel,Embiid,PHI,31,25.3,3.8,1.4,3.5,0.407,1.0,2.6,0.37,0.546,118,NA
201933,Blake Griffin,Blake,Griffin,LAC,60,34.1,3.8,1.6,4.0,0.408,0.5,1.4,0.376,0.475,228,NA
202681,Kyrie Irving,Kyrie,Irving,CLE,72,35.1,3.8,1.3,2.7,0.482,1.1,2.3,0.479,0.685,270,NA
203926,Doug McDermott,Doug,McDermott,TOTAL,66,22.8,3.8,1.3,3.4,0.392,1.1,2.9,0.376,0.553,251,NA
1626196,Josh Richardson,Josh,Richardson,MIA,51,30.0,3.8,1.3,4.2,0.319,1.2,3.5,0.333,0.46,196,NA
201160,Jason Smith,Jason,Smith,WAS,73,14.6,3.8,1.7,3.2,0.522,0.5,1.1,0.468,0.599,278,NA
201976,Patrick Beverley,Patrick,Beverley,HOU,66,30.7,3.7,1.2,3.1,0.396,1.2,3.1,0.399,0.592,245,NA
202337,Luke Babbitt,Luke,Babbitt,MIA,68,15.7,3.7,1.3,3.0,0.415,1.2,2.9,0.41,0.609,252,NA
200752,Rudy Gay,Rudy,Gay,SAC,30,33.7,3.7,1.3,3.6,0.374,1.1,2.9,0.372,0.523,112,NA
203200,Justin Holiday,Justin,Holiday,NYK,81,20.0,3.7,1.3,3.5,0.382,1.0,2.9,0.36,0.532,303,NA
201988,Patty Mills,Patty,Mills,SAS,79,22.0,3.7,1.3,3.1,0.407,1.2,2.8,0.409,0.597,290,NA
1626156,D'Angelo Russell,D'Angelo,Russell,LAL,63,28.8,3.7,1.3,3.2,0.392,1.1,3.0,0.376,0.564,230,NA
202329,Al-Farouq Aminu,Al-Farouq,Aminu,POR,61,29.1,3.6,1.2,3.5,0.352,1.1,3.3,0.338,0.512,218,NA
1627741,Buddy Hield,Buddy,Hield,TOTAL,80,22.8,3.6,1.2,3.0,0.403,1.2,2.9,0.413,0.599,291,NA
NA,Alex Poythress,Alex,Poythress,PHI,5,25.1,3.6,1.2,3.4,0.353,1.2,3.2,0.375,0.529,18,NA
200782,PJ Tucker,PJ,Tucker,TOR,23,26.3,3.6,1.3,2.7,0.46,1.0,2.4,0.429,0.651,82,NA
201967,Dante Cunningham,Dante,Cunningham,NOP,64,25.2,3.5,1.2,3.0,0.41,1.0,2.5,0.399,0.577,225,NA
201144,Mike Conley,Mike,Conley,MEM,68,33.4,3.5,1.2,2.8,0.432,1.1,2.4,0.444,0.621,236,NA
201588,George Hill,George,Hill,UTA,48,31.7,3.5,1.2,2.9,0.406,1.1,2.8,0.409,0.601,166,NA
