"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","John Wall",10700,"Was@Ind 07:00PM ET",49.005,"Was"
"PG","Isaiah Thomas",9300,"Bos@Chi 08:00PM ET",45.034,"Bos"
"SG/SF","Jimmy Butler",9100,"Bos@Chi 08:00PM ET",43.685,"Chi"
"SF","Paul George",8200,"Was@Ind 07:00PM ET",38.880,"Ind"
"PG","Jeff Teague",7400,"Was@Ind 07:00PM ET",36.195,"Ind"
"SG","Bradley Beal",7100,"Was@Ind 07:00PM ET",34.380,"Was"
"SF/PF","Markieff Morris",6900,"Was@Ind 07:00PM ET",29.240,"Was"
"C","Al Horford",6800,"Bos@Chi 08:00PM ET",35.512,"Bos"
"SG","Dwyane Wade",6700,"Bos@Chi 08:00PM ET",34.417,"Chi"
"SF/PF","Otto Porter",6200,"Was@Ind 07:00PM ET",30.282,"Was"
"C","Marcin Gortat",6000,"Was@Ind 07:00PM ET",32.056,"Was"
"PG/SG","Marcus Smart",5700,"Bos@Chi 08:00PM ET",25.716,"Bos"
"SF","Jae Crowder",5600,"Bos@Chi 08:00PM ET",27.372,"Bos"
"C","Myles Turner",5500,"Was@Ind 07:00PM ET",32.130,"Ind"
"SG","Avery Bradley",5400,"Bos@Chi 08:00PM ET",33.458,"Bos"
"PF","Thaddeus Young",5200,"Was@Ind 07:00PM ET",26.097,"Ind"
"PG","Michael Carter-Williams",5100,"Bos@Chi 08:00PM ET",20.020,"Chi"
"PF/C","Taj Gibson",4700,"Bos@Chi 08:00PM ET",24.352,"Chi"
"PF/C","Kelly Olynyk",4500,"Bos@Chi 08:00PM ET",20.047,"Bos"
"C","Robin Lopez",4400,"Bos@Chi 08:00PM ET",22.817,"Chi"
"PG","Rajon Rondo",4200,"Bos@Chi 08:00PM ET",24.931,"Chi"
"SF","Doug McDermott",4000,"Bos@Chi 08:00PM ET",16.384,"Chi"
"SG/SF","Jaylen Brown",3800,"Bos@Chi 08:00PM ET",11.019,"Bos"
"PF","Nikola Mirotic",3700,"Bos@Chi 08:00PM ET",20.047,"Chi"
"SG","Monta Ellis",3700,"Was@Ind 07:00PM ET",18.383,"Ind"
"C","Cristiano Felicio",3600,"Bos@Chi 08:00PM ET",12.957,"Chi"
"SG/SF","C.J. Miles",3600,"Was@Ind 07:00PM ET",18.306,"Ind"
"PF/C","Kevin Seraphin",3500,"Was@Ind 07:00PM ET",10.125,"Ind"
"PF","Bobby Portis",3400,"Bos@Chi 08:00PM ET",9.651,"Chi"
"PF/C","Amir Johnson",3300,"Bos@Chi 08:00PM ET",16.912,"Bos"
"SG/SF","Kelly Oubre Jr.",3200,"Was@Ind 07:00PM ET",13.471,"Was"
"PF","Lavoy Allen",3200,"Was@Ind 07:00PM ET",8.512,"Ind"
"PG","Jerian Grant",3100,"Bos@Chi 08:00PM ET",11.617,"Chi"
"PG","Isaiah Canaan",3000,"Bos@Chi 08:00PM ET",10.053,"Chi"
"PG","Demetrius Jackson",3000,"Bos@Chi 08:00PM ET",5.000,"Bos"
"PG","Terry Rozier",3000,"Bos@Chi 08:00PM ET",13.765,"Bos"
"SG/SF","Paul Zipser",3000,"Bos@Chi 08:00PM ET",8.609,"Chi"
"SG","James Young",3000,"Bos@Chi 08:00PM ET",4.444,"Bos"
"SF","Gerald Green",3000,"Bos@Chi 08:00PM ET",10.029,"Bos"
"SF","Denzel Valentine",3000,"Bos@Chi 08:00PM ET",8.040,"Chi"
"PF","Jonas Jerebko",3000,"Bos@Chi 08:00PM ET",11.157,"Bos"
"PF","Jordan Mickey",3000,"Bos@Chi 08:00PM ET",5.188,"Bos"
"C","Tyler Zeller",3000,"Bos@Chi 08:00PM ET",10.333,"Bos"
"PG/SG","Tomas Satoransky",3000,"Was@Ind 07:00PM ET",9.184,"Was"
"PG","Aaron Brooks",3000,"Was@Ind 07:00PM ET",11.161,"Ind"
"PG","Rodney Stuckey",3000,"Was@Ind 07:00PM ET",15.141,"Ind"
"PG","Trey Burke",3000,"Was@Ind 07:00PM ET",9.180,"Was"
"SG/SF","Glenn Robinson III",3000,"Was@Ind 07:00PM ET",13.368,"Ind"
"SG","Joe Young",3000,"Was@Ind 07:00PM ET",4.396,"Ind"
"SG","Sheldon McClellan",3000,"Was@Ind 07:00PM ET",6.396,"Was"
"SG","Danuel House",3000,"Was@Ind 07:00PM ET",1.250,"Was"
"SF","Marcus Thornton",3000,"Was@Ind 07:00PM ET",12.712,"Was"
"PF/C","Jason Smith",3000,"Was@Ind 07:00PM ET",11.269,"Was"
"PF","Andrew Nicholson",3000,"Was@Ind 07:00PM ET",5.276,"Was"
"PF","Rakeem Christmas",3000,"Was@Ind 07:00PM ET",3.625,"Ind"
"PF","Georges Niang",3000,"Was@Ind 07:00PM ET",2.345,"Ind"
"C","Al Jefferson",3000,"Was@Ind 07:00PM ET",16.055,"Ind"
"C","Ian Mahinmi",3000,"Was@Ind 07:00PM ET",7.063,"Was"
"C","Daniel Ochefu",3000,"Was@Ind 07:00PM ET",2.788,"Was"
