"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",12500,"SA@OKC 08:00PM ET",65.100,"OKC"
"SF","LeBron James",10900,"Cle@Det 07:30PM ET",52.897,"Cle"
"SF","Kawhi Leonard",9700,"SA@OKC 08:00PM ET",43.711,"SA"
"PG","Damian Lillard",8900,"Phi@Por 10:00PM ET",43.386,"Por"
"PG/SG","Eric Bledsoe",8700,"LAL@Pho 10:30PM ET",40.079,"Pho"
"PG","Kyrie Irving",8600,"Cle@Det 07:30PM ET",41.701,"Cle"
"PF/C","Blake Griffin",8100,"LAC@Mem 08:00PM ET",42.472,"LAC"
"PG","Chris Paul",8000,"LAC@Mem 08:00PM ET",42.988,"LAC"
"PF/C","Kevin Love",7800,"Cle@Det 07:30PM ET",40.500,"Cle"
"PF","Dario Saric",7700,"Phi@Por 10:00PM ET",24.222,"Phi"
"C","Marc Gasol",7600,"LAC@Mem 08:00PM ET",39.169,"Mem"
"PG","Mike Conley",7400,"LAC@Mem 08:00PM ET",37.313,"Mem"
"PG/SG","C.J. McCollum",7200,"Phi@Por 10:00PM ET",36.440,"Por"
"PG","D'Angelo Russell",7100,"LAL@Pho 10:30PM ET",29.781,"LAL"
"C","Jusuf Nurkic",7000,"Phi@Por 10:00PM ET",21.264,"Por"
"PF","Julius Randle",7000,"LAL@Pho 10:30PM ET",30.938,"LAL"
"SF/PF","Robert Covington",6900,"Phi@Por 10:00PM ET",28.592,"Phi"
"C","Andre Drummond",6800,"Cle@Det 07:30PM ET",39.135,"Det"
"SG","Devin Booker",6600,"LAL@Pho 10:30PM ET",31.032,"Pho"
"C","Alan Williams",6500,"LAL@Pho 10:30PM ET",14.633,"Pho"
"PF","LaMarcus Aldridge",6400,"SA@OKC 08:00PM ET",32.965,"SA"
"C","DeAndre Jordan",6200,"LAC@Mem 08:00PM ET",35.042,"LAC"
"SF/PF","T.J. Warren",6100,"LAL@Pho 10:30PM ET",23.319,"Pho"
"SF/PF","Marcus Morris",6000,"Cle@Det 07:30PM ET",26.294,"Det"
"PF/C","Zach Randolph",5800,"LAC@Mem 08:00PM ET",28.433,"Mem"
"PF","Al-Farouq Aminu",5700,"Phi@Por 10:00PM ET",23.698,"Por"
"SG","Kentavious Caldwell-Pope",5600,"Cle@Det 07:30PM ET",26.047,"Det"
"C","Enes Kanter",5500,"SA@OKC 08:00PM ET",26.167,"OKC"
"SF","Maurice Harkless",5500,"Phi@Por 10:00PM ET",22.664,"Por"
"SF/PF","Tobias Harris",5400,"Cle@Det 07:30PM ET",27.551,"Det"
"PG","T.J. McConnell",5400,"Phi@Por 10:00PM ET",21.992,"Phi"
"PG/SG","Jordan Clarkson",5300,"LAL@Pho 10:30PM ET",23.211,"LAL"
"SG","Victor Oladipo",5200,"SA@OKC 08:00PM ET",28.648,"OKC"
"C","Pau Gasol",5200,"SA@OKC 08:00PM ET",28.533,"SA"
"C","Richaun Holmes",5200,"Phi@Por 10:00PM ET",17.158,"Phi"
"PG","Reggie Jackson",5100,"Cle@Det 07:30PM ET",26.994,"Det"
"PG","Tyler Ulis",5000,"LAL@Pho 10:30PM ET",9.221,"Pho"
"SG/SF","Brandon Ingram",4900,"LAL@Pho 10:30PM ET",17.887,"LAL"
"PF","Marquese Chriss",4900,"LAL@Pho 10:30PM ET",16.305,"Pho"
"C","Jahlil Okafor",4800,"Phi@Por 10:00PM ET",21.198,"Phi"
"C","Tristan Thompson",4700,"Cle@Det 07:30PM ET",24.940,"Cle"
"PG","Ish Smith",4600,"Cle@Det 07:30PM ET",21.353,"Det"
"PF","Jon Leuer",4600,"Cle@Det 07:30PM ET",22.259,"Det"
"C","Steven Adams",4500,"SA@OKC 08:00PM ET",26.996,"OKC"
"SG","Tony Allen",4400,"LAC@Mem 08:00PM ET",21.923,"Mem"
"SG/SF","Evan Turner",4300,"Phi@Por 10:00PM ET",21.465,"Por"
"PF","JaMychal Green",4200,"LAC@Mem 08:00PM ET",22.125,"Mem"
"C","Alex Len",4100,"LAL@Pho 10:30PM ET",19.061,"Pho"
"PG","Tony Parker",4000,"SA@OKC 08:00PM ET",20.490,"SA"
"SG/SF","Justin Anderson",4000,"Phi@Por 10:00PM ET",13.268,"Phi"
"SG","Nick Young",4000,"LAL@Pho 10:30PM ET",20.741,"LAL"
"PG","Deron Williams",3900,"Cle@Det 07:30PM ET",26.438,"Cle"
"SG/SF","Kyle Korver",3900,"Cle@Det 07:30PM ET",18.862,"Cle"
"SG","J.J. Redick",3900,"LAC@Mem 08:00PM ET",21.709,"LAC"
"SG/SF","Allen Crabbe",3900,"Phi@Por 10:00PM ET",17.512,"Por"
"PF","Taj Gibson",3800,"SA@OKC 08:00PM ET",23.468,"OKC"
"SF","Derrick Williams",3800,"Cle@Det 07:30PM ET",13.007,"Cle"
"SG","Jamal Crawford",3800,"LAC@Mem 08:00PM ET",20.207,"LAC"
"C","Ivica Zubac",3800,"LAL@Pho 10:30PM ET",13.648,"LAL"
