"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",11700,"Hou@LAC 10:30PM ET",60.073,"Hou"
"SF","LeBron James",10900,"Cle@Bos 08:00PM ET",52.114,"Cle"
"PG/SF","Giannis Antetokounmpo",10500,"Den@Mil 08:00PM ET",49.284,"Mil"
"PF/C","Anthony Davis",10400,"Det@NO 08:00PM ET",53.728,"NO"
"PG","John Wall",10200,"Was@Tor 07:30PM ET",48.943,"Was"
"PF/C","Karl-Anthony Towns",10000,"Min@Uta 09:00PM ET",48.213,"Min"
"PF/C","DeMarcus Cousins",9800,"Det@NO 08:00PM ET",52.975,"NO"
"SG","DeMar DeRozan",9300,"Was@Tor 07:30PM ET",41.644,"Tor"
"PF","Blake Griffin",9100,"Hou@LAC 10:30PM ET",43.692,"LAC"
"PG","Chris Paul",8900,"Hou@LAC 10:30PM ET",44.059,"LAC"
"C","Nikola Jokic",8800,"Den@Mil 08:00PM ET",37.075,"Den"
"PG","Kyrie Irving",8700,"Cle@Bos 08:00PM ET",41.160,"Cle"
"SF","Kawhi Leonard",8600,"Ind@SA 08:30PM ET",42.477,"SA"
"PG","Isaiah Thomas",8500,"Cle@Bos 08:00PM ET",44.311,"Bos"
"C","Hassan Whiteside",8300,"Phi@Mia 07:30PM ET",41.000,"Mia"
"SF/PF","Carmelo Anthony",8000,"NY@Orl 07:00PM ET",37.821,"NY"
"C","Joel Embiid",7800,"Phi@Mia 07:30PM ET",38.992,"Phi"
"PF/C","Kevin Love",7700,"Cle@Bos 08:00PM ET",40.500,"Cle"
"PF/C","Dario Saric",7700,"Phi@Mia 07:30PM ET",23.551,"Phi"
"SF","Gordon Hayward",7600,"Min@Uta 09:00PM ET",36.963,"Uta"
"PG","Kyle Lowry",7600,"Was@Tor 07:30PM ET",42.825,"Tor"
"C","Andre Drummond",7600,"Det@NO 08:00PM ET",39.157,"Det"
"SF/PF","Robert Covington",7500,"Phi@Mia 07:30PM ET",28.656,"Phi"
"C","Nikola Vucevic",7400,"NY@Orl 07:00PM ET",34.772,"Orl"
"SF","Andrew Wiggins",7400,"Min@Uta 09:00PM ET",34.583,"Min"
"SF","Paul George",7400,"Ind@SA 08:30PM ET",37.523,"Ind"
"SG","Bradley Beal",7300,"Was@Tor 07:30PM ET",34.759,"Was"
"C","Rudy Gobert",7200,"Min@Uta 09:00PM ET",37.050,"Uta"
"PG","Goran Dragic",7100,"Phi@Mia 07:30PM ET",36.279,"Mia"
"PF","Paul Millsap",7000,"Dal@Atl 07:30PM ET",37.408,"Atl"
"C","DeAndre Jordan",7000,"Hou@LAC 10:30PM ET",35.196,"LAC"
"PG/SG","Jrue Holiday",6900,"Det@NO 08:00PM ET",35.933,"NO"
"SG/SF","Dion Waiters",6800,"Phi@Mia 07:30PM ET",29.791,"Mia"
"SF/PF","Wilson Chandler",6700,"Den@Mil 08:00PM ET",29.819,"Den"
"PG","Jeff Teague",6600,"Ind@SA 08:30PM ET",35.883,"Ind"
"C","Dwight Howard",6500,"Dal@Atl 07:30PM ET",35.537,"Atl"
"C","Brook Lopez",6500,"Bkn@Sac 10:30PM ET",35.009,"Bkn"
"PF/C","Serge Ibaka",6500,"Was@Tor 07:30PM ET",30.089,"Tor"
"PF/C","Kristaps Porzingis",6400,"NY@Orl 07:00PM ET",34.565,"NY"
"PF","LaMarcus Aldridge",6400,"Ind@SA 08:30PM ET",33.000,"SA"
"PG","Derrick Rose",6300,"NY@Orl 07:00PM ET",30.235,"NY"
"PG","George Hill",6300,"Min@Uta 09:00PM ET",30.893,"Uta"
"PF","Markieff Morris",6300,"Was@Tor 07:30PM ET",29.335,"Was"
"PG","Dennis Schroder",6200,"Dal@Atl 07:30PM ET",31.728,"Atl"
"SF","Danilo Gallinari",6200,"Den@Mil 08:00PM ET",28.953,"Den"
"C","Guillermo Hernangomez",6200,"NY@Orl 07:00PM ET",17.697,"NY"
"PG","Darren Collison",6100,"Bkn@Sac 10:30PM ET",24.832,"Sac"
"PG","Ricky Rubio",6100,"Min@Uta 09:00PM ET",30.088,"Min"
"PG/SG","Lou Williams",6100,"Hou@LAC 10:30PM ET",29.053,"Hou"
"SF/PF","Harrison Barnes",6000,"Dal@Atl 07:30PM ET",30.877,"Dal"
"PG","Elfrid Payton",6000,"NY@Orl 07:00PM ET",28.329,"Orl"
"SF/PF","Otto Porter",6000,"Was@Tor 07:30PM ET",30.284,"Was"
"C","Marcin Gortat",6000,"Was@Tor 07:30PM ET",31.388,"Was"
"SF/PF","Marcus Morris",6000,"Det@NO 08:00PM ET",26.318,"Det"
"C","Myles Turner",6000,"Ind@SA 08:30PM ET",32.093,"Ind"
"SG","Seth Curry",5900,"Dal@Atl 07:30PM ET",22.705,"Dal"
"SG","Gary Harris",5900,"Den@Mil 08:00PM ET",24.819,"Den"
"SG","Evan Fournier",5900,"NY@Orl 07:00PM ET",27.000,"Orl"
"SG","Kentavious Caldwell-Pope",5900,"Det@NO 08:00PM ET",26.650,"Det"
"C","Greg Monroe",5800,"Den@Mil 08:00PM ET",26.298,"Mil"
"PF/C","Dirk Nowitzki",5700,"Dal@Atl 07:30PM ET",27.341,"Dal"
"PF","Aaron Gordon",5700,"NY@Orl 07:00PM ET",22.392,"Orl"
"PG/SF","Tyreke Evans",5700,"Bkn@Sac 10:30PM ET",21.276,"Sac"
"C","Al Horford",5600,"Cle@Bos 08:00PM ET",34.042,"Bos"
"SG/SF","Will Barton",5600,"Den@Mil 08:00PM ET",27.261,"Den"
"PF/C","James Johnson",5600,"Phi@Mia 07:30PM ET",26.768,"Mia"
"C","Pau Gasol",5600,"Ind@SA 08:30PM ET",28.933,"SA"
"C","Tristan Thompson",5500,"Cle@Bos 08:00PM ET",25.086,"Cle"
"SG/SF","Khris Middleton",5500,"Den@Mil 08:00PM ET",20.583,"Mil"
"C","Willie Cauley-Stein",5500,"Bkn@Sac 10:30PM ET",12.486,"Sac"
"PG","Jameer Nelson",5400,"Den@Mil 08:00PM ET",21.242,"Den"
"PG/SG","Cory Joseph",5400,"Was@Tor 07:30PM ET",17.703,"Tor"
"PG","Reggie Jackson",5400,"Det@NO 08:00PM ET",27.096,"Det"
"C","Nerlens Noel",5300,"Dal@Atl 07:30PM ET",20.968,"Dal"
"SF","Jae Crowder",5300,"Cle@Bos 08:00PM ET",27.060,"Bos"
"PF/C","Derrick Favors",5300,"Min@Uta 09:00PM ET",21.692,"Uta"
"PG/SG","Patrick Beverley",5300,"Hou@LAC 10:30PM ET",27.452,"Hou"
