PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,REB,REB_CHANCE,REB_COL_PCT,REB_CONTESTED,REB_UNCONTESTED,REB_UNCONTESTED_PCT,REB_TOT,OREB,OREB_CHANCE,OREB_COL_PCT,OREB_CONTESTED,OREB_UNCONTESTED,OREB_UNCONTESTED_PCT,DREB,DREB_CHANCE,DREB_COL_PCT,DREB_CONTESTED,DREB_UNCONTESTED,DREB_UNCONTESTED_PCT,X
1626155,Sam Dekker,Sam,Dekker,HOU,77,18.5,3.7,6.8,0.544,1.3,2.4,.352,284,1.2,2.5,.497,0.9,0.4,.702,2.5,4.3,0.571,0.4,2.0,.179,NA
203930,Sean Kilpatrick,Sean,Kilpatrick,BKN,69,25.1,4.0,6.8,0.596,0.6,3.4,.154,279,0.3,0.8,.386,0.1,0.2,.455,3.7,6.0,0.625,0.5,3.2,.128,NA
203114,Khris Middleton,Khris,Middleton,MIL,28,30.5,4.1,6.8,0.614,0.9,3.2,.224,116,0.4,0.7,.500,0.2,0.2,.500,3.8,6.0,0.627,0.8,3.0,.198,NA
203468,CJ McCollum,CJ,McCollum,POR,80,34.9,3.6,6.8,0.53,0.8,2.8,.225,289,0.8,1.7,.451,0.3,0.4,.417,2.9,5.2,0.556,0.5,2.4,.175,NA
1627751,Jakob Poeltl,Jakob,Poeltl,TOR,52,11.5,3.0,6.8,0.445,1.5,1.5,.506,158,1.4,3.2,.444,1.1,0.3,.760,1.6,3.6,0.446,0.4,1.2,.277,NA
1627834,Georgios Papagiannis,Georgios,Papagiannis,SAC,20,15.1,4.0,6.8,0.581,1.2,2.8,.304,79,1.1,1.8,.629,0.7,0.4,.636,2.8,5.0,0.564,0.5,2.4,.175,NA
201565,Derrick Rose,Derrick,Rose,NYK,64,32.6,3.8,6.8,0.562,0.9,2.9,.236,246,1.0,2.5,.418,0.6,0.4,.591,2.8,4.4,0.643,0.3,2.5,.106,NA
201160,Jason Smith,Jason,Smith,WAS,72,14.4,3.5,6.8,0.506,1.3,2.2,.365,249,0.9,2.2,.389,0.5,0.3,.619,2.6,4.6,0.564,0.7,1.9,.280,NA
203112,Quincy Acy,Quincy,Acy,BKN,32,16.0,3.3,6.7,0.5,1.1,2.2,.327,107,0.6,2.0,.277,0.4,0.1,.778,2.8,4.7,0.597,0.7,2.1,.236,NA
201936,Tyreke Evans,Tyreke,Evans,SAC,14,22.5,3.6,6.7,0.532,0.6,2.9,.180,50,0.4,1.8,.240,0.2,0.2,.500,3.1,4.9,0.638,0.4,2.7,.136,NA
201980,Danny Green,Danny,Green,SAS,65,26.8,3.3,6.7,0.491,0.8,2.5,.243,214,0.4,1.2,.367,0.3,0.2,.586,2.8,5.5,0.518,0.5,2.3,.189,NA
202323,Evan Turner,Evan,Turner,POR,63,25.5,3.8,6.7,0.565,0.9,2.9,.238,239,0.6,1.0,.547,0.3,0.2,.600,3.2,5.7,0.568,0.6,2.7,.176,NA
201956,Omri Casspi,Omri,Casspi,TOTAL,34,17.9,3.1,6.6,0.471,0.8,2.4,.245,106,0.7,1.8,.393,0.5,0.2,.708,2.4,4.8,0.5,0.3,2.1,.110,NA
202681,Kyrie Irving,Kyrie,Irving,CLE,72,35.1,3.2,6.6,0.481,0.9,2.3,.283,230,0.7,1.9,.371,0.4,0.3,.519,2.5,4.7,0.527,0.5,1.9,.213,NA
203087,Jeremy Lamb,Jeremy,Lamb,CHA,60,18.2,4.2,6.6,0.651,1.0,3.3,.223,255,0.4,1.0,.458,0.3,0.2,.593,3.8,5.6,0.686,0.7,3.1,.179,NA
1626168,Trey Lyles,Trey,Lyles,UTA,70,16.4,3.3,6.6,0.504,0.9,2.4,.272,232,0.7,1.6,.425,0.4,0.2,.646,2.6,5.0,0.53,0.5,2.2,.174,NA
201588,George Hill,George,Hill,UTA,47,32.0,3.5,6.5,0.536,0.7,2.8,.207,164,0.5,1.0,.468,0.2,0.2,.500,3.0,5.5,0.548,0.5,2.5,.162,NA
201150,Spencer Hawes,Spencer,Hawes,TOTAL,53,14.7,3.5,6.5,0.544,1.1,2.4,.323,186,0.7,1.5,.475,0.4,0.3,.553,2.8,4.9,0.565,0.7,2.1,.264,NA
202083,Wesley Matthews,Wesley,Matthews,DAL,72,34.1,3.6,6.5,0.551,0.6,3.0,.158,259,0.2,0.6,.391,0.1,0.2,.389,3.3,5.9,0.568,0.5,2.9,.141,NA
NA,Mike Tobey,Mike,Tobey,CHA,2,12.6,1.5,6.5,0.231,1.0,0.5,.667,3,1.0,3.5,.286,1.0,0.0,1.000,0.5,3.0,0.167,0.0,0.5,.000,NA
203145,Kent Bazemore,Kent,Bazemore,ATL,72,27.0,3.2,6.4,0.491,0.8,2.3,.268,228,0.6,1.2,.529,0.4,0.2,.622,2.5,5.3,0.483,0.5,2.1,.180,NA
203095,Evan Fournier,Evan,Fournier,ORL,66,32.9,3.1,6.4,0.487,0.8,2.3,.262,206,0.7,1.5,.436,0.4,0.3,.568,2.5,4.9,0.503,0.4,2.0,.179,NA
203530,Joffrey Lauvergne,Joffrey,Lauvergne,TOTAL,68,14.2,3.6,6.4,0.556,1.4,2.2,.383,243,1.0,2.2,.473,0.7,0.3,.676,2.5,4.2,0.599,0.7,1.9,.262,NA
1626156,D'Angelo Russell,D'Angelo,Russell,LAL,63,28.8,3.5,6.4,0.548,0.6,2.9,.172,221,0.5,1.3,.365,0.2,0.3,.484,3.0,5.0,0.597,0.4,2.7,.121,NA
202397,Ish Smith,Ish,Smith,DET,79,23.9,2.9,6.4,0.451,0.5,2.4,.188,229,0.2,0.6,.413,0.1,0.2,.316,2.7,5.8,0.455,0.5,2.2,.176,NA
NA,Hollis Thompson,Hollis,Thompson,NOP,9,21.2,3.1,6.4,0.483,0.4,2.7,.143,28,0.4,1.1,.400,0.1,0.3,.250,2.7,5.3,0.5,0.3,2.3,.125,NA
203079,Dion Waiters,Dion,Waiters,MIA,46,30.1,3.3,6.4,0.519,0.7,2.7,.196,153,0.4,1.0,.375,0.1,0.3,.222,2.9,5.4,0.547,0.6,2.4,.193,NA
NA,Chris Andersen,Chris,Andersen,CLE,12,9.5,2.6,6.3,0.408,0.9,1.7,.355,31,0.8,2.2,.346,0.7,0.1,.889,1.8,4.2,0.44,0.2,1.6,.136,NA
202711,Bojan Bogdanovic,Bojan,Bogdanovic,WAS,24,23.1,3.1,6.3,0.493,0.8,2.3,.267,75,0.5,1.4,.394,0.2,0.3,.462,2.6,5.0,0.521,0.6,2.0,.226,NA
204025,Tim Frazier,Tim,Frazier,NOP,63,23.5,2.7,6.3,0.428,0.6,2.1,.218,170,0.5,1.7,.317,0.2,0.3,.455,2.2,4.7,0.468,0.3,1.8,.161,NA
