"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",12200,"Min@Hou 09:00PM ET",60.292,"Hou"
"SF","LeBron James",11000,"Chi@Cle 08:30PM ET",52.218,"Cle"
"PF/C","DeMarcus Cousins",10700,"NO@Dal 08:30PM ET",53.211,"NO"
"PF/C","Karl-Anthony Towns",10500,"Min@Hou 09:00PM ET",47.578,"Min"
"SF","Kevin Durant",9900,"Bkn@GS 10:30PM ET",49.737,"GS"
"PG","Stephen Curry",9800,"Bkn@GS 10:30PM ET",44.263,"GS"
"PF/C","Anthony Davis",9500,"NO@Dal 08:30PM ET",53.559,"NO"
"SG/SF","Jimmy Butler",9000,"Chi@Cle 08:30PM ET",43.278,"Chi"
"SF","Carmelo Anthony",8500,"Phi@NY 07:30PM ET",37.677,"NY"
"PG","Kyrie Irving",8400,"Chi@Cle 08:30PM ET",40.706,"Cle"
"SG/SF","Andrew Wiggins",8100,"Min@Hou 09:00PM ET",34.358,"Min"
"C","Hassan Whiteside",8000,"Ind@Mia 08:00PM ET",40.764,"Mia"
"SF","Paul George",7900,"Ind@Mia 08:00PM ET",38.005,"Ind"
"PF/C","Joel Embiid",7800,"Phi@NY 07:30PM ET",38.992,"Phi"
"PF/C","Kevin Love",7700,"Chi@Cle 08:30PM ET",40.500,"Cle"
"PF/C","Draymond Green",7600,"Bkn@GS 10:30PM ET",38.005,"GS"
"C","Nikola Vucevic",7400,"Atl@Orl 07:00PM ET",34.616,"Orl"
"PF","Paul Millsap",7300,"Atl@Orl 07:00PM ET",37.618,"Atl"
"SG","Dwyane Wade",7200,"Chi@Cle 08:30PM ET",34.520,"Chi"
"PG","Jeff Teague",7100,"Ind@Mia 08:00PM ET",35.841,"Ind"
"SG/SF","Dion Waiters",7000,"Ind@Mia 08:00PM ET",29.771,"Mia"
"PG/SG","Jrue Holiday",7000,"NO@Dal 08:30PM ET",36.209,"NO"
"SF/PF","Dario Saric",6900,"Phi@NY 07:30PM ET",22.860,"Phi"
"SG","Klay Thompson",6800,"Bkn@GS 10:30PM ET",32.897,"GS"
"C","Brook Lopez",6800,"Bkn@GS 10:30PM ET",35.212,"Bkn"
"C","Dwight Howard",6800,"Atl@Orl 07:00PM ET",35.510,"Atl"
"PG","Goran Dragic",6800,"Ind@Mia 08:00PM ET",36.175,"Mia"
"PG","Derrick Rose",6700,"Phi@NY 07:30PM ET",30.240,"NY"
"PG","Ricky Rubio",6600,"Min@Hou 09:00PM ET",29.813,"Min"
"PF","Kristaps Porzingis",6600,"Phi@NY 07:30PM ET",34.565,"NY"
