"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",12500,"NY@OKC 09:30PM ET",63.866,"OKC"
"PG","James Harden",12200,"Mia@Hou 08:00PM ET",60.662,"Hou"
"PF/C","DeMarcus Cousins",11300,"Sac@GS 10:30PM ET",54.236,"Sac"
"PG/SF","Giannis Antetokounmpo",10800,"Mil@Bkn 07:30PM ET",49.198,"Mil"
"SF","LeBron James",10500,"Ind@Cle 07:00PM ET",52.598,"Cle"
"C","Nikola Jokic",10300,"Min@Den 09:00PM ET",37.047,"Den"
"PF/C","Karl-Anthony Towns",10200,"Min@Den 09:00PM ET",47.375,"Min"
"C","Anthony Davis",10000,"NO@Mem 08:00PM ET",53.726,"NO"
"SF","Kevin Durant",9700,"Sac@GS 10:30PM ET",49.368,"GS"
"PG","Stephen Curry",9600,"Sac@GS 10:30PM ET",44.181,"GS"
"PF","Blake Griffin",9500,"Atl@LAC 10:30PM ET",43.279,"LAC"
"PG","Isaiah Thomas",9400,"Phi@Bos 07:30PM ET",45.034,"Bos"
"SF","Kawhi Leonard",8900,"SA@Orl 07:00PM ET",43.590,"SA"
"PG","Eric Bledsoe",8600,"LAL@Pho 09:00PM ET",39.595,"Pho"
"C","Hassan Whiteside",8500,"Mia@Hou 08:00PM ET",40.882,"Mia"
"PG","Kyrie Irving",8400,"Ind@Cle 07:00PM ET",40.250,"Cle"
"PG","Chris Paul",8200,"Atl@LAC 10:30PM ET",43.917,"LAC"
"C","Joel Embiid",8100,"Phi@Bos 07:30PM ET",38.992,"Phi"
"PG","Kyle Lowry",8000,"Cha@Tor 07:30PM ET",43.055,"Tor"
"SF","Andrew Wiggins",7900,"Min@Den 09:00PM ET",33.884,"Min"
"SF","Paul George",7900,"Ind@Cle 07:00PM ET",38.880,"Ind"
"PF","Paul Millsap",7900,"Atl@LAC 10:30PM ET",38.591,"Atl"
