"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",12100,"Uta@OKC 08:00PM ET",64.475,"OKC"
"PG","John Wall",10300,"GS@Was 07:00PM ET",48.906,"Was"
"SF","Kevin Durant",9700,"GS@Was 07:00PM ET",49.648,"GS"
"PG","Stephen Curry",9500,"GS@Was 07:00PM ET",44.157,"GS"
"SG/SF","Jimmy Butler",9300,"Den@Chi 08:00PM ET",43.468,"Chi"
"C","Nikola Jokic",8900,"Den@Chi 08:00PM ET",36.601,"Den"
"PG","Damian Lillard",8400,"Por@Det 07:30PM ET",42.948,"Por"
"PG","Kemba Walker",8300,"Cha@LAL 10:30PM ET",38.890,"Cha"
"C","Andre Drummond",8200,"Por@Det 07:30PM ET",39.103,"Det"
"PG","Mike Conley",7900,"Pho@Mem 08:00PM ET",36.641,"Mem"
"PG","Eric Bledsoe",7800,"Pho@Mem 08:00PM ET",40.052,"Pho"
"SF","Gordon Hayward",7700,"Uta@OKC 08:00PM ET",36.972,"Uta"
"C","Marc Gasol",7600,"Pho@Mem 08:00PM ET",39.259,"Mem"
"SG","Dwyane Wade",7500,"Den@Chi 08:00PM ET",34.785,"Chi"
"SG/SF","Nicolas Batum",7500,"Cha@LAL 10:30PM ET",35.938,"Cha"
"PF/C","Draymond Green",7400,"GS@Was 07:00PM ET",37.882,"GS"
"C","Rudy Gobert",7300,"Uta@OKC 08:00PM ET",37.127,"Uta"
"SG","Bradley Beal",7200,"GS@Was 07:00PM ET",34.660,"Was"
"PG/SG","C.J. McCollum",7100,"Por@Det 07:30PM ET",36.530,"Por"
"PF/C","Frank Kaminsky",6900,"Cha@LAL 10:30PM ET",22.917,"Cha"
"SG","Klay Thompson",6800,"GS@Was 07:00PM ET",32.966,"GS"
"SF/PF","Wilson Chandler",6600,"Den@Chi 08:00PM ET",29.877,"Den"
"SG","Devin Booker",6500,"Pho@Mem 08:00PM ET",31.267,"Pho"
