"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",13300,"OKC@Por 10:30PM ET",64.652,"OKC"
"PG","Stephen Curry",10000,"GS@Chi 08:00PM ET",44.158,"GS"
"SF","Kevin Durant",9200,"GS@Chi 08:00PM ET",48.813,"GS"
"SG/SF","Jimmy Butler",8900,"GS@Chi 08:00PM ET",43.105,"Chi"
"PG","Damian Lillard",8800,"OKC@Por 10:30PM ET",43.343,"Por"
"PG","Kemba Walker",8400,"Cha@Pho 09:00PM ET",39.038,"Cha"
"PG","Eric Bledsoe",8100,"Cha@Pho 09:00PM ET",40.131,"Pho"
"PF/C","Draymond Green",8000,"GS@Chi 08:00PM ET",38.134,"GS"
"PG/SG","C.J. McCollum",7300,"OKC@Por 10:30PM ET",36.500,"Por"
"SG","Klay Thompson",7200,"GS@Chi 08:00PM ET",32.877,"GS"
"PF/C","Frank Kaminsky",7200,"Cha@Pho 09:00PM ET",23.358,"Cha"
"SG/SF","Nicolas Batum",7100,"Cha@Pho 09:00PM ET",35.671,"Cha"
"SG","Dwyane Wade",7000,"GS@Chi 08:00PM ET",34.740,"Chi"
"SG","Devin Booker",6500,"Cha@Pho 09:00PM ET",30.992,"Pho"
"SG","Victor Oladipo",5800,"OKC@Por 10:30PM ET",28.750,"OKC"
"C","Jusuf Nurkic",5600,"OKC@Por 10:30PM ET",20.097,"Por"
"SF/PF","T.J. Warren",5500,"Cha@Pho 09:00PM ET",22.718,"Pho"
"C","Steven Adams",5400,"OKC@Por 10:30PM ET",27.586,"OKC"
"PG","Rajon Rondo",5300,"GS@Chi 08:00PM ET",25.377,"Chi"
"C","Enes Kanter",5200,"OKC@Por 10:30PM ET",26.180,"OKC"
"SF","Michael Kidd-Gilchrist",5100,"Cha@Pho 09:00PM ET",24.309,"Cha"
"PF","Nikola Mirotic",5000,"GS@Chi 08:00PM ET",20.431,"Chi"
"SF/PF","Al-Farouq Aminu",5000,"OKC@Por 10:30PM ET",23.144,"Por"
"SF","Andre Iguodala",4900,"GS@Chi 08:00PM ET",19.349,"GS"
"PF","Marvin Williams",4900,"Cha@Pho 09:00PM ET",23.176,"Cha"
"SF","Maurice Harkless",4800,"OKC@Por 10:30PM ET",22.377,"Por"
"PG","Michael Carter-Williams",4700,"GS@Chi 08:00PM ET",19.361,"Chi"
"SF","Evan Turner",4600,"OKC@Por 10:30PM ET",21.465,"Por"
"C","Alan Williams",4400,"Cha@Pho 09:00PM ET",11.452,"Pho"
"C","Zaza Pachulia",4300,"GS@Chi 08:00PM ET",19.125,"GS"
"C","Cody Zeller",4300,"Cha@Pho 09:00PM ET",23.950,"Cha"
"C","Robin Lopez",4200,"GS@Chi 08:00PM ET",22.933,"Chi"
"PF","Marquese Chriss",4200,"Cha@Pho 09:00PM ET",15.942,"Pho"
"PF","Bobby Portis",4100,"GS@Chi 08:00PM ET",10.917,"Chi"
"C","Alex Len",4000,"Cha@Pho 09:00PM ET",19.228,"Pho"
