PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,TCH,FC_TCH,TOP,CL_TCH,EL_TCH,PTS,PTS_TCH,PTS_HCCT,TCH_TOT,X
1626202,Joe Young,Joe,Young,IND,32,4.2,10.0,9.2,0.9,0.0,0.1,2.0,0.197,0.213,320,NA
1627850,Marshall Plumlee,Marshall,Plumlee,NYK,20,7.2,9.9,5.6,0.2,1.1,0.9,1.3,0.131,0.234,198,NA
1626192,Pat Connaughton,Pat,Connaughton,POR,38,7.3,9.8,7.6,0.4,0.1,0.2,2.1,0.213,0.273,371,NA
203527,Ryan Kelly,Ryan,Kelly,ATL,15,5.9,9.5,5.6,0.2,0.4,0.5,1.1,0.119,0.202,143,NA
1626191,Chris McCullough,Chris,McCullough,BKN,14,5.2,9.3,5.0,0.1,0.6,0.4,2.5,0.269,0.5,130,NA
203948,Johnny O'Bryant III,Johnny,O'Bryant III,TOTAL,11,7.4,9.2,6.4,0.2,1.1,0.9,3.5,0.376,0.543,101,NA
1626191,Chris McCullough,Chris,McCullough,TOTAL,15,5.0,8.9,4.8,0.1,0.5,0.3,2.4,0.269,0.5,134,NA
1627868,Patricio Garino,Patricio,Garino,ORL,4,7.9,8.8,6.5,0.3,0.2,0.2,0.0,0.0,0.0,35,NA
203923,James Young,James,Young,BOS,28,7.8,8.5,6.4,0.2,0.2,0.1,2.4,0.282,0.376,238,NA
201941,Jordan Hill,Jordan,Hill,MIN,7,6.7,8.4,4.7,0.3,0.1,0.6,1.7,0.203,0.364,59,NA
1627745,Damian Jones,Damian,Jones,GSW,9,7.3,8.3,5.2,0.2,0.9,0.6,1.7,0.2,0.319,75,NA
1627773,AJ Hammons,AJ,Hammons,DAL,20,7.2,8.2,5.6,0.2,1.1,0.4,1.9,0.232,0.336,164,NA
201628,Bobby Brown,Bobby,Brown,HOU,24,5.1,8.0,7.2,0.6,0.0,0.0,2.6,0.325,0.358,191,NA
1627744,Brice Johnson,Brice,Johnson,LAC,3,3.1,8.0,4.7,0.2,1.7,0.0,1.3,0.167,0.286,24,NA
1627774,Jake Layman,Jake,Layman,POR,34,6.2,7.8,6.1,0.2,0.1,0.1,2.0,0.258,0.329,264,NA
1627777,Georges Niang,Georges,Niang,IND,22,4.1,7.7,4.6,0.2,0.2,0.3,0.9,0.112,0.186,170,NA
201627,Anthony Morrow,Anthony,Morrow,CHI,8,10.4,7.6,6.6,0.2,0.0,0.1,4.5,0.59,0.679,61,NA
NA,Alonzo Gee,Alonzo,Gee,DEN,13,6.9,7.5,5.9,0.2,0.4,0.3,0.8,0.113,0.143,97,NA
1627738,Deyonta Davis,Deyonta,Davis,MEM,35,6.6,7.3,4.0,0.2,0.7,0.9,1.7,0.226,0.414,257,NA
1627762,Joel Bolomboy,Joel,Bolomboy,UTA,12,4.4,7.1,3.3,0.1,1.1,0.3,1.8,0.259,0.55,85,NA
203948,Johnny O'Bryant III,Johnny,O'Bryant III,DEN,7,6.6,7.1,4.6,0.2,1.3,0.3,2.9,0.4,0.625,50,NA
1626176,Rakeem Christmas,Rakeem,Christmas,IND,29,7.6,7.0,4.6,0.1,0.9,0.6,2.0,0.292,0.44,202,NA
201202,Joel Anthony,Joel,Anthony,SAS,19,6.4,6.9,3.5,0.2,1.2,0.8,1.3,0.191,0.379,131,NA
NA,Arinze Onuaku,Arinze,Onuaku,ORL,8,3.6,6.9,4.2,0.2,0.9,0.9,0.5,0.073,0.118,55,NA
1897,Metta World Peace,Metta,World Peace,LAL,23,5.5,6.9,5.3,0.2,0.1,0.3,1.6,0.228,0.298,158,NA
203909,KJ McDaniels,KJ,McDaniels,HOU,29,7.3,6.8,5.3,0.2,0.4,0.1,2.8,0.404,0.516,198,NA
1627787,Kyle Wiltjer,Kyle,Wiltjer,HOU,13,3.3,6.5,4.1,0.1,0.0,0.0,1.0,0.155,0.245,84,NA
1627736,Malik Beasley,Malik,Beasley,DEN,19,4.7,6.3,5.2,0.2,0.0,0.2,2.4,0.383,0.469,120,NA
1626203,Treveon Graham,Treveon,Graham,CHA,25,5.9,6.0,4.1,0.2,0.1,0.0,1.4,0.232,0.34,151,NA
1627817,Tim Quarterman,Tim,Quarterman,POR,15,3.9,5.9,5.1,0.3,0.0,0.1,1.4,0.239,0.273,88,NA
NA,C.J. Wilcox,C.J.,Wilcox,ORL,22,4.9,5.9,5.0,0.2,0.1,0.2,1.0,0.163,0.189,129,NA
NA,Aaron Harrison,Aaron,Harrison,CHA,5,3.3,5.6,5.2,0.3,0.2,0.6,0.2,0.036,0.038,28,NA
1627743,Demetrius Jackson,Demetrius,Jackson,BOS,5,3.4,5.4,5.2,0.4,0.0,0.0,2.0,0.37,0.385,27,NA
1627754,Diamond Stone,Diamond,Stone,LAC,7,3.5,5.3,2.9,0.1,0.6,0.3,1.4,0.27,0.5,37,NA
NA,Edy Tavares,Edy,Tavares,ATL,1,3.6,5.0,3.0,0.0,1.0,0.0,2.0,0.4,0.667,5,NA
1627771,Michael Gbinije,Michael,Gbinije,DET,9,3.5,4.3,2.6,0.1,0.1,0.0,0.4,0.103,0.174,39,NA
1627849,Daniel Ochefu,Daniel,Ochefu,WAS,18,3.3,4.3,2.2,0.1,0.4,0.4,0.9,0.208,0.41,77,NA
NA,John Jenkins,John,Jenkins,PHX,4,3.3,4.0,3.2,0.2,0.0,0.2,1.8,0.438,0.538,16,NA
1626191,Chris McCullough,Chris,McCullough,WAS,1,1.7,4.0,2.0,0.1,0.0,0.0,1.0,0.25,0.5,4,NA
NA,Ben Bentil,Ben,Bentil,DAL,3,3.3,3.7,2.7,0.1,0.7,0.0,0.0,0.0,0.0,11,NA
203998,Bruno Caboclo,Bruno,Caboclo,TOR,7,3.0,3.7,2.4,0.1,0.0,0.0,0.4,0.115,0.176,26,NA
NA,John Lucas III,John,Lucas III,MIN,5,2.2,3.4,3.4,0.2,0.0,0.0,0.4,0.118,0.118,17,NA
NA,R.J. Hunter,R.J.,Hunter,CHI,3,3.1,3.0,2.7,0.1,0.0,0.0,0.0,0.0,0.0,9,NA
NA,Terrence Jones,Terrence,Jones,MIL,3,2.3,3.0,2.0,0.1,0.0,0.3,0.0,0.0,0.0,9,NA
202336,Larry Sanders,Larry,Sanders,CLE,4,2.6,3.0,1.0,0.1,0.2,0.0,0.5,0.167,0.5,12,NA
NA,Steve Novak,Steve,Novak,MIL,8,2.8,2.6,1.5,0.0,0.0,0.0,0.6,0.238,0.417,21,NA
NA,Jarnell Stokes,Jarnell,Stokes,DEN,2,3.3,2.5,2.0,0.0,1.0,0.0,1.5,0.6,0.75,5,NA
201579,Roy Hibbert,Roy,Hibbert,DEN,6,1.8,1.7,1.3,0.1,0.5,0.0,0.7,0.4,0.5,10,NA
1626253,Axel Toupane,Axel,Toupane,MIL,2,3.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3,NA
NA,Andrew Bogut,Andrew,Bogut,CLE,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,NA
NA,Danuel House,Danuel,House,WAS,1,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,NA
