"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF","Terrence Ross",4800,"Orl@Pho 10:00PM ET",18.677,"Orl"
"SG","Sean Kilpatrick",4700,"Bos@Bkn 07:30PM ET",23.058,"Bkn"
"PF","Nemanja Bjelica",4600,"Min@Mia 08:00PM ET",14.669,"Min"
"SG/SF","Norman Powell",4500,"Tor@Det 07:30PM ET",14.398,"Tor"
"SG/SF","Bojan Bogdanovic",4500,"Chi@Was 07:00PM ET",22.198,"Was"
"PG","Yogi Ferrell",4500,"Dal@Phi 07:00PM ET",20.073,"Dal"
"PF","Ryan Anderson",4500,"Hou@NO 08:00PM ET",23.492,"Hou"
"C","Bismack Biyombo",4500,"Orl@Pho 10:00PM ET",19.210,"Orl"
"SG","Jordan Crawford",4400,"Hou@NO 08:00PM ET",23.550,"NO"
"SF/PF","Michael Beasley",4400,"Mil@LAL 10:30PM ET",17.030,"Mil"
"PF","Nikola Mirotic",4300,"Chi@Was 07:00PM ET",20.674,"Chi"
"SG/SF","Josh Richardson",4300,"Min@Mia 08:00PM ET",20.250,"Mia"
"SF","Caris LeVert",4200,"Bos@Bkn 07:30PM ET",16.607,"Bkn"
"PG","Ish Smith",4100,"Tor@Det 07:30PM ET",21.310,"Det"
"SG/SF","Denzel Valentine",4100,"Chi@Was 07:00PM ET",10.314,"Chi"
"PF/C","Kelly Olynyk",4000,"Bos@Bkn 07:30PM ET",19.602,"Bos"
"PF","Rondae Hollis-Jefferson",4000,"Bos@Bkn 07:30PM ET",20.405,"Bkn"
"PF/C","Jon Leuer",4000,"Tor@Det 07:30PM ET",21.625,"Det"
"PG","Brandon Jennings",4000,"Chi@Was 07:00PM ET",19.705,"Was"
"C","Robin Lopez",4000,"Chi@Was 07:00PM ET",22.548,"Chi"
"C","Alex Len",4000,"Orl@Pho 10:00PM ET",19.060,"Pho"
"SG/SF","Tony Snell",4000,"Mil@LAL 10:30PM ET",16.686,"Mil"
"SF/PF","Larry Nance Jr.",4000,"Mil@LAL 10:30PM ET",19.112,"LAL"
"SG/SF","Jaylen Brown",3900,"Bos@Bkn 07:30PM ET",12.602,"Bos"
"PF","Bobby Portis",3900,"Chi@Was 07:00PM ET",12.300,"Chi"
"SF","Wayne Ellington",3900,"Min@Mia 08:00PM ET",18.286,"Mia"
"C","Nene Hilario",3900,"Hou@NO 08:00PM ET",17.421,"Hou"
"PG/SG","Matthew Dellavedova",3900,"Mil@LAL 10:30PM ET",18.859,"Mil"
