"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",11800,"Cle@Hou 09:00PM ET",59.716,"Hou"
"SF","LeBron James",11300,"Cle@Hou 09:00PM ET",53.321,"Cle"
"PG","Kyrie Irving",9200,"Cle@Hou 09:00PM ET",41.672,"Cle"
"PG","Damian Lillard",9000,"Por@Pho 09:00PM ET",43.335,"Por"
"PG/SG","Eric Bledsoe",8600,"Por@Pho 09:00PM ET",39.742,"Pho"
"PF","Dario Saric",7900,"Phi@LAL 09:30PM ET",24.562,"Phi"
"PF/C","Kevin Love",7800,"Cle@Hou 09:00PM ET",40.500,"Cle"
"C","Hassan Whiteside",7800,"Mia@Ind 06:00PM ET",40.877,"Mia"
"SF/PF","Carmelo Anthony",7600,"NY@Bkn 06:00PM ET",37.165,"NY"
"SF","Paul George",7600,"Mia@Ind 06:00PM ET",38.106,"Ind"
"PG/SG","C.J. McCollum",7600,"Por@Pho 09:00PM ET",36.535,"Por"
"PG","D'Angelo Russell",7400,"Phi@LAL 09:30PM ET",30.122,"LAL"
"SF/PF","Robert Covington",7400,"Phi@LAL 09:30PM ET",28.958,"Phi"
"PF","Julius Randle",7300,"Phi@LAL 09:30PM ET",30.974,"LAL"
"PG","Goran Dragic",7200,"Mia@Ind 06:00PM ET",35.978,"Mia"
"PF/C","Kristaps Porzingis",6900,"NY@Bkn 06:00PM ET",34.830,"NY"
"C","Jusuf Nurkic",6800,"Por@Pho 09:00PM ET",22.426,"Por"
"C","Alan Williams",6700,"Por@Pho 09:00PM ET",15.570,"Pho"
"SG","Devin Booker",6600,"Por@Pho 09:00PM ET",31.304,"Pho"
"C","Brook Lopez",6500,"NY@Bkn 06:00PM ET",34.750,"Bkn"
"SG/SF","Dion Waiters",6500,"Mia@Ind 06:00PM ET",29.384,"Mia"
"PG","Jeff Teague",6400,"Mia@Ind 06:00PM ET",35.392,"Ind"
"PG","Derrick Rose",6300,"NY@Bkn 06:00PM ET",30.294,"NY"
"SF/PF","T.J. Warren",6100,"Por@Pho 09:00PM ET",23.821,"Pho"
"PF/C","James Johnson",5800,"Mia@Ind 06:00PM ET",27.158,"Mia"
"PG","T.J. McConnell",5800,"Phi@LAL 09:30PM ET",22.031,"Phi"
"PF","Al-Farouq Aminu",5700,"Por@Pho 09:00PM ET",23.583,"Por"
"SF","Maurice Harkless",5600,"Por@Pho 09:00PM ET",22.767,"Por"
"PG/SG","Patrick Beverley",5500,"Cle@Hou 09:00PM ET",27.587,"Hou"
"C","Guillermo Hernangomez",5400,"NY@Bkn 06:00PM ET",18.290,"NY"
"C","Tristan Thompson",5400,"Cle@Hou 09:00PM ET",25.000,"Cle"
"PG/SG","Jordan Clarkson",5400,"Phi@LAL 09:30PM ET",23.315,"LAL"
"SG","Sean Kilpatrick",5300,"NY@Bkn 06:00PM ET",23.357,"Bkn"
"PG","Tyler Johnson",5300,"Mia@Ind 06:00PM ET",27.658,"Mia"
"C","Myles Turner",5300,"Mia@Ind 06:00PM ET",31.504,"Ind"
"PG","Jeremy Lin",5200,"NY@Bkn 06:00PM ET",27.763,"Bkn"
"C","Richaun Holmes",5200,"Phi@LAL 09:30PM ET",17.719,"Phi"
"PG/SG","Lou Williams",5100,"Cle@Hou 09:00PM ET",28.223,"Hou"
"PF/C","Trevor Booker",5000,"NY@Bkn 06:00PM ET",26.987,"Bkn"
"SG","Eric Gordon",5000,"Cle@Hou 09:00PM ET",27.167,"Hou"
"C","Clint Capela",5000,"Cle@Hou 09:00PM ET",26.721,"Hou"
"PF","Marquese Chriss",5000,"Por@Pho 09:00PM ET",16.636,"Pho"
"C","Jahlil Okafor",5000,"Phi@LAL 09:30PM ET",21.500,"Phi"
"SG/SF","Brandon Ingram",4900,"Phi@LAL 09:30PM ET",18.088,"LAL"
