"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",12400,"Atl@Hou 08:00PM ET",60.183,"Hou"
"PG","John Wall",10400,"LAL@Was 07:00PM ET",48.462,"Was"
"SF","Kevin Durant",10300,"GS@LAC 10:30PM ET",49.796,"GS"
"SF","Kawhi Leonard",9000,"Phi@SA 08:30PM ET",42.881,"SA"
"PG","Stephen Curry",8700,"GS@LAC 10:30PM ET",44.490,"GS"
"C","Joel Embiid",8500,"Phi@SA 08:30PM ET",38.992,"Phi"
"PG","Chris Paul",8100,"GS@LAC 10:30PM ET",43.917,"LAC"
"PF/C","Draymond Green",8100,"GS@LAC 10:30PM ET",38.718,"GS"
"PF","Paul Millsap",7800,"Atl@Hou 08:00PM ET",38.766,"Atl"
"PF","Blake Griffin",7700,"GS@LAC 10:30PM ET",41.491,"LAC"
"C","DeAndre Jordan",7400,"GS@LAC 10:30PM ET",35.821,"LAC"
"SG","Bradley Beal",7000,"LAL@Was 07:00PM ET",33.852,"Was"
"C","Dwight Howard",6900,"Atl@Hou 08:00PM ET",35.756,"Atl"
"SF/PF","Markieff Morris",6800,"LAL@Was 07:00PM ET",28.628,"Was"
"SG","Klay Thompson",6700,"GS@LAC 10:30PM ET",32.349,"GS"
"PF","LaMarcus Aldridge",6700,"Phi@SA 08:30PM ET",33.165,"SA"
"SF/PF","Otto Porter",6500,"LAL@Was 07:00PM ET",29.917,"Was"
"PG","Dennis Schroder",6400,"Atl@Hou 08:00PM ET",31.679,"Atl"
"PG/SG","Austin Rivers",6400,"GS@LAC 10:30PM ET",20.441,"LAC"
"SF","Robert Covington",6400,"Phi@SA 08:30PM ET",26.852,"Phi"
"PF","Julius Randle",6200,"LAL@Was 07:00PM ET",30.938,"LAL"
"C","Marcin Gortat",6000,"LAL@Was 07:00PM ET",31.359,"Was"
"PF/C","Nerlens Noel",6000,"Phi@SA 08:30PM ET",19.648,"Phi"
"PF","Ersan Ilyasova",5800,"Phi@SA 08:30PM ET",27.083,"Phi"
"PG","D'Angelo Russell",5700,"LAL@Was 07:00PM ET",28.907,"LAL"
"SG","Lou Williams",5700,"LAL@Was 07:00PM ET",28.451,"LAL"
"PG","T.J. McConnell",5600,"Phi@SA 08:30PM ET",20.660,"Phi"
"SG/SF","Kent Bazemore",5300,"Atl@Hou 08:00PM ET",22.521,"Atl"
"PF","Ryan Anderson",5200,"Atl@Hou 08:00PM ET",24.648,"Hou"
"SG","J.J. Redick",5200,"GS@LAC 10:30PM ET",22.484,"LAC"
"PF/C","David Lee",5200,"Phi@SA 08:30PM ET",17.580,"SA"
"SG","Eric Gordon",5100,"Atl@Hou 08:00PM ET",27.964,"Hou"
