"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",13300,"Orl@Hou 08:00PM ET",60.750,"Hou"
"PG","Damian Lillard",8600,"Por@Dal 08:30PM ET",42.952,"Por"
"PG","Kemba Walker",8500,"Bkn@Cha 07:00PM ET",39.335,"Cha"
"SG/SF","Nicolas Batum",7600,"Bkn@Cha 07:00PM ET",35.620,"Cha"
"PG/SG","C.J. McCollum",7300,"Por@Dal 08:30PM ET",37.034,"Por"
"C","Brook Lopez",7000,"Bkn@Cha 07:00PM ET",34.799,"Bkn"
"C","Nikola Vucevic",6800,"Orl@Hou 08:00PM ET",34.160,"Orl"
"SF/PF","Harrison Barnes",6400,"Por@Dal 08:30PM ET",31.118,"Dal"
"PF/C","Serge Ibaka",6200,"Orl@Hou 08:00PM ET",30.005,"Orl"
"PG","Yogi Ferrell",6000,"Por@Dal 08:30PM ET",17.733,"Dal"
"SG","Seth Curry",5900,"Por@Dal 08:30PM ET",21.824,"Dal"
"C","Mason Plumlee",5900,"Por@Dal 08:30PM ET",30.745,"Por"
"SG/SF","Wesley Matthews",5800,"Por@Dal 08:30PM ET",26.458,"Dal"
"PG","Elfrid Payton",5700,"Orl@Hou 08:00PM ET",28.854,"Orl"
"SG","Evan Fournier",5600,"Orl@Hou 08:00PM ET",26.707,"Orl"
"PG","Deron Williams",5500,"Por@Dal 08:30PM ET",28.453,"Dal"
"SG","Eric Gordon",5400,"Orl@Hou 08:00PM ET",27.945,"Hou"
"SF/PF","Trevor Ariza",5300,"Orl@Hou 08:00PM ET",27.028,"Hou"
"C","Clint Capela",5300,"Orl@Hou 08:00PM ET",26.179,"Hou"
"PG","Patrick Beverley",5200,"Orl@Hou 08:00PM ET",27.013,"Hou"
"PF","Al-Farouq Aminu",5200,"Por@Dal 08:30PM ET",22.243,"Por"
"SF","Michael Kidd-Gilchrist",5100,"Bkn@Cha 07:00PM ET",23.770,"Cha"
"PF","Trevor Booker",5000,"Bkn@Cha 07:00PM ET",27.348,"Bkn"
"PF","Ryan Anderson",5000,"Orl@Hou 08:00PM ET",24.123,"Hou"
